unpaid_squash v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unpaid_squash v3 48 games, 35179 moves, e=0.965, loss: 928.3, -, 28.3% elo% vs. random_no_suicide, avg. reward: 9.120, 1.508 sec/game, 1.0 min. total, 435.5 MB
unpaid_squash v3 49 games, 35776 moves, e=0.965, loss: 872.4, -, 27.3% elo% vs. random_no_suicide, avg. reward: 9.034, 1.488 sec/game, 1.0 min. total, 435.9 MB
unpaid_squash v3 50 games, 36480 moves, e=0.964, loss: 864.0, -, 26.3% elo% vs. random_no_suicide, avg. reward: 8.889, 1.478 sec/game, 1.0 min. total, 435.5 MB
unpaid_squash v3 51 games, 37296 moves, e=0.963, loss: 837.0, -, 25.4% elo% vs. random_no_suicide, avg. reward: 8.905, 1.465 sec/game, 1.1 min. total, 436.2 MB
unpaid_squash v3 52 games, 38090 moves, e=0.962, loss: 772.4, -, 24.5% elo% vs. random_no_suicide, avg. reward: 8.870, 1.469 sec/game, 1.1 min. total, 438.0 MB
unpaid_squash v3 53 games, 38917 moves, e=0.961, loss: 724.7, -, 23.7% elo% vs. random_no_suicide, avg. reward: 8.917, 1.480 sec/game, 1.1 min. total, 438.1 MB
unpaid_squash v3 54 games, 39661 moves, e=0.961, loss: 712.5, -, 22.9% elo% vs. random_no_suicide, avg. reward: 8.789, 1.473 sec/game, 1.1 min. total, 438.1 MB
unpaid_squash v3 55 games, 40455 moves, e=0.960, loss: 703.8, -, 22.2% elo% vs. random_no_suicide, avg. reward: 8.755, 1.470 sec/game, 1.2 min. total, 437.8 MB
unpaid_squash v3 56 games, 41173 moves, e=0.959, loss: 700.4, -, 21.5% elo% vs. random_no_suicide, avg. reward: 8.682, 1.458 sec/game, 1.2 min. total, 437.8 MB
unpaid_squash v3 57 games, 41965 moves, e=0.958, loss: 702.0, -, 20.8% elo% vs. random_no_suicide, avg. reward: 8.779, 1.460 sec/game, 1.2 min. total, 438.3 MB
unpaid_squash v3 58 games, 42699 moves, e=0.958, loss: 752.3, -, 20.2% elo% vs. random_no_suicide, avg. reward: 8.735, 1.462 sec/game, 1.2 min. total, 438.2 MB
unpaid_squash v3 59 games, 43281 moves, e=0.957, loss: 786.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: 8.620, 1.451 sec/game, 1.3 min. total, 438.5 MB
unpaid_squash v3 60 games, 44018 moves, e=0.956, loss: 772.5, -, 19.0% elo% vs. random_no_suicide, avg. reward: 8.535, 1.471 sec/game, 1.3 min. total, 438.1 MB
unpaid_squash v3 61 games, 44827 moves, e=0.956, loss: 781.6, -, 18.5% elo% vs. random_no_suicide, avg. reward: 8.463, 1.485 sec/game, 1.3 min. total, 438.4 MB
unpaid_squash v3 62 games, 45535 moves, e=0.955, loss: 823.7, -, 18.0% elo% vs. random_no_suicide, avg. reward: 8.376, 1.492 sec/game, 1.3 min. total, 438.7 MB
unpaid_squash v3 63 games, 46204 moves, e=0.954, loss: 839.8, -, 17.5% elo% vs. random_no_suicide, avg. reward: 8.485, 1.482 sec/game, 1.4 min. total, 438.1 MB
unpaid_squash v3 64 games, 46887 moves, e=0.954, loss: 879.9, -, 17.0% elo% vs. random_no_suicide, avg. reward: 8.560, 1.481 sec/game, 1.4 min. total, 438.3 MB
unpaid_squash v3 65 games, 47552 moves, e=0.953, loss: 906.9, -, 16.6% elo% vs. random_no_suicide, avg. reward: 8.556, 1.481 sec/game, 1.4 min. total, 438.7 MB
unpaid_squash v3 66 games, 48273 moves, e=0.952, loss: 940.6, -, 16.2% elo% vs. random_no_suicide, avg. reward: 8.665, 1.480 sec/game, 1.4 min. total, 438.8 MB
unpaid_squash v3 67 games, 49035 moves, e=0.951, loss: 951.4, -, 15.8% elo% vs. random_no_suicide, avg. reward: 8.742, 1.468 sec/game, 1.4 min. total, 438.8 MB
unpaid_squash v3 68 games, 49736 moves, e=0.951, loss: 968.7, -, 15.4% elo% vs. random_no_suicide, avg. reward: 8.627, 1.467 sec/game, 1.5 min. total, 438.4 MB
unpaid_squash v3 69 games, 50452 moves, e=0.950, loss: 999.2, -, 15.0% elo% vs. random_no_suicide, avg. reward: 8.504, 1.478 sec/game, 1.5 min. total, 438.8 MB
unpaid_squash v3 70 games, 51234 moves, e=0.949, loss: 1002.9, -, 14.7% elo% vs. random_no_suicide, avg. reward: 8.394, 1.482 sec/game, 1.5 min. total, 438.8 MB
unpaid_squash v3 71 games, 52009 moves, e=0.949, loss: 1026.5, -, 14.3% elo% vs. random_no_suicide, avg. reward: 8.409, 1.482 sec/game, 1.5 min. total, 438.5 MB
unpaid_squash v3 72 games, 52677 moves, e=0.948, loss: 999.7, -, 14.0% elo% vs. random_no_suicide, avg. reward: 8.409, 1.471 sec/game, 1.6 min. total, 439.7 MB
unpaid_squash v3 73 games, 53533 moves, e=0.947, loss: 982.1, -, 13.7% elo% vs. random_no_suicide, avg. reward: 8.487, 1.454 sec/game, 1.6 min. total, 440.8 MB
unpaid_squash v3 74 games, 54216 moves, e=0.946, loss: 983.5, -, 13.4% elo% vs. random_no_suicide, avg. reward: 8.499, 1.454 sec/game, 1.6 min. total, 441.5 MB
unpaid_squash v3 75 games, 54943 moves, e=0.946, loss: 1035.6, -, 13.1% elo% vs. random_no_suicide, avg. reward: 8.495, 1.445 sec/game, 1.6 min. total, 442.1 MB
unpaid_squash v3 76 games, 55608 moves, e=0.945, loss: 1039.0, -, 12.9% elo% vs. random_no_suicide, avg. reward: 8.527, 1.443 sec/game, 1.7 min. total, 442.0 MB
unpaid_squash v3 77 games, 56392 moves, e=0.944, loss: 1082.6, -, 12.6% elo% vs. random_no_suicide, avg. reward: 8.505, 1.448 sec/game, 1.7 min. total, 442.1 MB
unpaid_squash v3 78 games, 57109 moves, e=0.943, loss: 1056.0, -, 12.3% elo% vs. random_no_suicide, avg. reward: 8.495, 1.448 sec/game, 1.7 min. total, 441.5 MB
unpaid_squash v3 79 games, 57871 moves, e=0.943, loss: 1064.8, -, 12.1% elo% vs. random_no_suicide, avg. reward: 8.392, 1.463 sec/game, 1.7 min. total, 441.7 MB
unpaid_squash v3 80 games, 58624 moves, e=0.942, loss: 1033.5, -, 11.9% elo% vs. random_no_suicide, avg. reward: 8.377, 1.468 sec/game, 1.8 min. total, 442.1 MB
unpaid_squash v3 81 games, 59329 moves, e=0.941, loss: 1046.5, -, 11.6% elo% vs. random_no_suicide, avg. reward: 8.297, 1.448 sec/game, 1.8 min. total, 442.3 MB
unpaid_squash v3 82 games, 60113 moves, e=0.940, loss: 980.8, -, 11.4% elo% vs. random_no_suicide, avg. reward: 8.317, 1.458 sec/game, 1.8 min. total, 441.7 MB
unpaid_squash v3 83 games, 60762 moves, e=0.940, loss: 945.8, -, 11.2% elo% vs. random_no_suicide, avg. reward: 8.369, 1.455 sec/game, 1.8 min. total, 442.2 MB
unpaid_squash v3 84 games, 61466 moves, e=0.939, loss: 951.8, -, 11.0% elo% vs. random_no_suicide, avg. reward: 8.322, 1.457 sec/game, 1.9 min. total, 442.9 MB
unpaid_squash v3 85 games, 62119 moves, e=0.939, loss: 970.3, -, 10.8% elo% vs. random_no_suicide, avg. reward: 8.347, 1.457 sec/game, 1.9 min. total, 443.2 MB
unpaid_squash v3 86 games, 62820 moves, e=0.938, loss: 963.2, -, 10.6% elo% vs. random_no_suicide, avg. reward: 8.252, 1.448 sec/game, 1.9 min. total, 443.7 MB
unpaid_squash v3 87 games, 63584 moves, e=0.937, loss: 982.4, -, 10.4% elo% vs. random_no_suicide, avg. reward: 8.319, 1.452 sec/game, 1.9 min. total, 444.1 MB
unpaid_squash v3 88 games, 64282 moves, e=0.936, loss: 964.7, -, 10.3% elo% vs. random_no_suicide, avg. reward: 8.544, 1.464 sec/game, 2.0 min. total, 444.1 MB
unpaid_squash v3 89 games, 65000 moves, e=0.936, loss: 967.3, -, 10.1% elo% vs. random_no_suicide, avg. reward: 8.473, 1.457 sec/game, 2.0 min. total, 444.2 MB
unpaid_squash v3 90 games, 65798 moves, e=0.935, loss: 944.0, -, 9.9% elo% vs. random_no_suicide, avg. reward: 8.464, 1.468 sec/game, 2.0 min. total, 444.0 MB
unpaid_squash v3 91 games, 66390 moves, e=0.934, loss: 942.2, -, 9.8% elo% vs. random_no_suicide, avg. reward: 8.426, 1.457 sec/game, 2.0 min. total, 444.6 MB
unpaid_squash v3 92 games, 67023 moves, e=0.934, loss: 980.3, -, 9.6% elo% vs. random_no_suicide, avg. reward: 8.477, 1.461 sec/game, 2.1 min. total, 444.6 MB
unpaid_squash v3 93 games, 67785 moves, e=0.933, loss: 994.6, -, 9.4% elo% vs. random_no_suicide, avg. reward: 8.412, 1.452 sec/game, 2.1 min. total, 444.5 MB
unpaid_squash v3 94 games, 68566 moves, e=0.932, loss: 1023.0, -, 9.3% elo% vs. random_no_suicide, avg. reward: 8.384, 1.467 sec/game, 2.1 min. total, 445.0 MB
unpaid_squash v3 95 games, 69324 moves, e=0.931, loss: 1044.5, -, 9.2% elo% vs. random_no_suicide, avg. reward: 8.342, 1.468 sec/game, 2.1 min. total, 445.0 MB
unpaid_squash v3 96 games, 70002 moves, e=0.931, loss: 1056.2, -, 9.0% elo% vs. random_no_suicide, avg. reward: 8.285, 1.470 sec/game, 2.2 min. total, 445.0 MB
unpaid_squash v3 97 games, 70728 moves, e=0.930, loss: 1055.2, -, 8.9% elo% vs. random_no_suicide, avg. reward: 8.191, 1.464 sec/game, 2.2 min. total, 445.7 MB
unpaid_squash v3 98 games, 71546 moves, e=0.929, loss: 1066.5, -, 8.7% elo% vs. random_no_suicide, avg. reward: 8.097, 1.467 sec/game, 2.2 min. total, 445.5 MB
unpaid_squash v3 99 games, 72517 moves, e=0.928, loss: 1064.8, -, 8.6% elo% vs. random_no_suicide, avg. reward: 8.075, 1.491 sec/game, 2.2 min. total, 445.2 MB
unpaid_squash v3 100 games, 73316 moves, e=0.927, loss: 1013.1, -, 8.5% elo% vs. random_no_suicide, avg. reward: 8.110, 1.494 sec/game, 2.3 min. total, 445.6 MB
unpaid_squash v3 101 games, 74031 moves, e=0.927, loss: 1001.9, -, 8.4% elo% vs. random_no_suicide, avg. reward: 8.216, 1.505 sec/game, 2.3 min. total, 445.7 MB
unpaid_squash v3 102 games, 74837 moves, e=0.926, loss: 1008.7, -, 8.3% elo% vs. random_no_suicide, avg. reward: 8.250, 1.507 sec/game, 2.3 min. total, 446.2 MB
unpaid_squash v3 103 games, 75538 moves, e=0.925, loss: 1013.5, -, 8.1% elo% vs. random_no_suicide, avg. reward: 8.202, 1.516 sec/game, 2.3 min. total, 445.9 MB
unpaid_squash v3 104 games, 76356 moves, e=0.924, loss: 1024.1, -, 8.0% elo% vs. random_no_suicide, avg. reward: 8.164, 1.524 sec/game, 2.4 min. total, 447.4 MB
unpaid_squash v3 105 games, 77073 moves, e=0.924, loss: 990.0, -, 7.9% elo% vs. random_no_suicide, avg. reward: 8.197, 1.536 sec/game, 2.4 min. total, 448.9 MB
unpaid_squash v3 106 games, 77892 moves, e=0.923, loss: 984.1, -, 7.8% elo% vs. random_no_suicide, avg. reward: 8.214, 1.557 sec/game, 2.4 min. total, 449.1 MB
unpaid_squash v3 107 games, 78682 moves, e=0.922, loss: 1016.1, -, 7.7% elo% vs. random_no_suicide, avg. reward: 8.044, 1.567 sec/game, 2.5 min. total, 448.8 MB
unpaid_squash v3 108 games, 79422 moves, e=0.921, loss: 993.1, -, 7.6% elo% vs. random_no_suicide, avg. reward: 8.161, 1.565 sec/game, 2.5 min. total, 449.1 MB
unpaid_squash v3 109 games, 80153 moves, e=0.921, loss: 1018.1, -, 7.5% elo% vs. random_no_suicide, avg. reward: 8.194, 1.577 sec/game, 2.5 min. total, 448.6 MB
unpaid_squash v3 110 games, 80920 moves, e=0.920, loss: 1055.4, -, 7.4% elo% vs. random_no_suicide, avg. reward: 8.157, 1.571 sec/game, 2.5 min. total, 449.0 MB
unpaid_squash v3 111 games, 81560 moves, e=0.919, loss: 1091.8, -, 7.3% elo% vs. random_no_suicide, avg. reward: 8.253, 1.572 sec/game, 2.6 min. total, 449.5 MB
unpaid_squash v3 112 games, 82355 moves, e=0.918, loss: 1125.4, -, 7.2% elo% vs. random_no_suicide, avg. reward: 8.326, 1.584 sec/game, 2.6 min. total, 449.6 MB
unpaid_squash v3 113 games, 83185 moves, e=0.918, loss: 1158.3, -, 7.1% elo% vs. random_no_suicide, avg. reward: 8.067, 1.592 sec/game, 2.6 min. total, 449.4 MB
unpaid_squash v3 114 games, 84059 moves, e=0.917, loss: 1168.9, -, 7.1% elo% vs. random_no_suicide, avg. reward: 8.028, 1.606 sec/game, 2.6 min. total, 449.3 MB
unpaid_squash v3 115 games, 84700 moves, e=0.916, loss: 1194.9, -, 7.0% elo% vs. random_no_suicide, avg. reward: 8.095, 1.597 sec/game, 2.7 min. total, 450.2 MB
unpaid_squash v3 116 games, 85490 moves, e=0.915, loss: 1222.3, -, 6.9% elo% vs. random_no_suicide, avg. reward: 8.101, 1.614 sec/game, 2.7 min. total, 449.4 MB
unpaid_squash v3 117 games, 86310 moves, e=0.915, loss: 1246.6, -, 6.8% elo% vs. random_no_suicide, avg. reward: 7.868, 1.628 sec/game, 2.7 min. total, 450.0 MB
unpaid_squash v3 118 games, 87069 moves, e=0.914, loss: 1285.5, -, 6.7% elo% vs. random_no_suicide, avg. reward: 8.032, 1.630 sec/game, 2.7 min. total, 449.5 MB
unpaid_squash v3 119 games, 87702 moves, e=0.913, loss: 1303.1, -, 6.7% elo% vs. random_no_suicide, avg. reward: 8.042, 1.597 sec/game, 2.8 min. total, 450.1 MB
unpaid_squash v3 120 games, 88518 moves, e=0.912, loss: 1276.6, -, 6.6% elo% vs. random_no_suicide, avg. reward: 8.006, 1.597 sec/game, 2.8 min. total, 449.5 MB
unpaid_squash v3 121 games, 89224 moves, e=0.912, loss: 1315.3, -, 6.5% elo% vs. random_no_suicide, avg. reward: 7.544, 1.595 sec/game, 2.8 min. total, 450.1 MB
unpaid_squash v3 122 games, 90127 moves, e=0.911, loss: 1292.6, -, 6.4% elo% vs. random_no_suicide, avg. reward: 7.550, 1.610 sec/game, 2.9 min. total, 449.4 MB
unpaid_squash v3 123 games, 90879 moves, e=0.910, loss: 1321.1, -, 6.4% elo% vs. random_no_suicide, avg. reward: 7.514, 1.605 sec/game, 2.9 min. total, 450.1 MB
unpaid_squash v3 124 games, 91683 moves, e=0.909, loss: 1294.7, -, 6.3% elo% vs. random_no_suicide, avg. reward: 7.387, 1.608 sec/game, 2.9 min. total, 450.2 MB
unpaid_squash v3 125 games, 92399 moves, e=0.909, loss: 1287.9, -, 6.2% elo% vs. random_no_suicide, avg. reward: 7.403, 1.600 sec/game, 2.9 min. total, 450.2 MB
unpaid_squash v3 126 games, 93200 moves, e=0.908, loss: 1253.0, -, 6.2% elo% vs. random_no_suicide, avg. reward: 7.346, 1.602 sec/game, 3.0 min. total, 451.5 MB
unpaid_squash v3 127 games, 93980 moves, e=0.907, loss: 1226.8, -, 6.1% elo% vs. random_no_suicide, avg. reward: 7.385, 1.591 sec/game, 3.0 min. total, 451.8 MB
unpaid_squash v3 128 games, 94772 moves, e=0.906, loss: 1241.6, -, 6.0% elo% vs. random_no_suicide, avg. reward: 7.572, 1.596 sec/game, 3.0 min. total, 452.3 MB
unpaid_squash v3 129 games, 95491 moves, e=0.905, loss: 1203.9, -, 6.0% elo% vs. random_no_suicide, avg. reward: 7.554, 1.595 sec/game, 3.0 min. total, 452.2 MB
unpaid_squash v3 130 games, 96299 moves, e=0.905, loss: 1171.4, -, 5.9% elo% vs. random_no_suicide, avg. reward: 7.394, 1.594 sec/game, 3.1 min. total, 452.4 MB
unpaid_squash v3 131 games, 97130 moves, e=0.904, loss: 1190.7, -, 5.8% elo% vs. random_no_suicide, avg. reward: 7.404, 1.611 sec/game, 3.1 min. total, 452.5 MB
unpaid_squash v3 132 games, 98009 moves, e=0.903, loss: 1179.9, -, 5.8% elo% vs. random_no_suicide, avg. reward: 7.365, 1.622 sec/game, 3.1 min. total, 452.4 MB
unpaid_squash v3 133 games, 98756 moves, e=0.902, loss: 1184.5, -, 5.7% elo% vs. random_no_suicide, avg. reward: 7.392, 1.615 sec/game, 3.1 min. total, 452.9 MB
unpaid_squash v3 134 games, 99487 moves, e=0.902, loss: 1193.8, -, 5.7% elo% vs. random_no_suicide, avg. reward: 7.363, 1.599 sec/game, 3.2 min. total, 453.0 MB
unpaid_squash v3 135 games, 100192 moves, e=0.901, loss: 1154.2, -, 5.6% elo% vs. random_no_suicide, avg. reward: 7.414, 1.599 sec/game, 3.2 min. total, 453.1 MB
unpaid_squash v3 136 games, 100962 moves, e=0.900, loss: 1136.7, -, 5.6% elo% vs. random_no_suicide, avg. reward: 7.308, 1.595 sec/game, 3.2 min. total, 454.8 MB
unpaid_squash v3 137 games, 101729 moves, e=0.899, loss: 1137.1, -, 5.5% elo% vs. random_no_suicide, avg. reward: 7.121, 1.590 sec/game, 3.3 min. total, 454.8 MB
unpaid_squash v3 138 games, 102467 moves, e=0.899, loss: 1180.4, -, 5.5% elo% vs. random_no_suicide, avg. reward: 7.182, 1.589 sec/game, 3.3 min. total, 454.9 MB
unpaid_squash v3 139 games, 103240 moves, e=0.898, loss: 1193.0, -, 5.4% elo% vs. random_no_suicide, avg. reward: 7.241, 1.601 sec/game, 3.3 min. total, 454.9 MB
unpaid_squash v3 140 games, 103986 moves, e=0.897, loss: 1153.1, -, 5.4% elo% vs. random_no_suicide, avg. reward: 7.194, 1.600 sec/game, 3.3 min. total, 454.9 MB
unpaid_squash v3 141 games, 104769 moves, e=0.896, loss: 1121.6, -, 5.3% elo% vs. random_no_suicide, avg. reward: 7.240, 1.604 sec/game, 3.4 min. total, 454.9 MB
unpaid_squash v3 142 games, 105603 moves, e=0.895, loss: 1092.3, -, 5.3% elo% vs. random_no_suicide, avg. reward: 7.308, 1.601 sec/game, 3.4 min. total, 455.1 MB
unpaid_squash v3 143 games, 106317 moves, e=0.895, loss: 1100.0, -, 5.2% elo% vs. random_no_suicide, avg. reward: 7.457, 1.600 sec/game, 3.4 min. total, 455.1 MB
unpaid_squash v3 144 games, 107165 moves, e=0.894, loss: 1185.1, -, 5.2% elo% vs. random_no_suicide, avg. reward: 7.421, 1.605 sec/game, 3.4 min. total, 455.2 MB
unpaid_squash v3 145 games, 108043 moves, e=0.893, loss: 1181.5, -, 5.1% elo% vs. random_no_suicide, avg. reward: 7.456, 1.634 sec/game, 3.5 min. total, 455.6 MB
unpaid_squash v3 146 games, 108829 moves, e=0.892, loss: 1218.4, -, 5.1% elo% vs. random_no_suicide, avg. reward: 7.545, 1.628 sec/game, 3.5 min. total, 457.1 MB
