unpaid_squash v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unpaid_squash v3 1524 games, 1737572 moves, e=0.010, loss: 1876.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.972, 3.130 sec/game, 65.3 min. total, 951.5 MB
unpaid_squash v3 1525 games, 1738950 moves, e=0.010, loss: 1832.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.676, 3.131 sec/game, 65.4 min. total, 951.4 MB
unpaid_squash v3 1526 games, 1740367 moves, e=0.010, loss: 993.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.747, 3.136 sec/game, 65.4 min. total, 951.9 MB
unpaid_squash v3 1527 games, 1741768 moves, e=0.010, loss: 872.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.707, 3.131 sec/game, 65.5 min. total, 951.7 MB
unpaid_squash v3 1528 games, 1743241 moves, e=0.010, loss: 984.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.797, 3.139 sec/game, 65.5 min. total, 952.1 MB
unpaid_squash v3 1529 games, 1744726 moves, e=0.010, loss: 1140.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.822, 3.141 sec/game, 65.6 min. total, 954.3 MB
unpaid_squash v3 1530 games, 1746218 moves, e=0.010, loss: 1263.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.805, 3.147 sec/game, 65.6 min. total, 953.8 MB
unpaid_squash v3 1531 games, 1747719 moves, e=0.010, loss: 1219.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.279, 3.145 sec/game, 65.7 min. total, 954.2 MB
unpaid_squash v3 1532 games, 1749224 moves, e=0.010, loss: 1177.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.896, 3.147 sec/game, 65.7 min. total, 954.3 MB
unpaid_squash v3 1533 games, 1750617 moves, e=0.010, loss: 1104.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.950, 3.147 sec/game, 65.8 min. total, 954.7 MB
unpaid_squash v3 1534 games, 1752134 moves, e=0.010, loss: 904.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.864, 3.159 sec/game, 65.8 min. total, 955.4 MB
unpaid_squash v3 1535 games, 1753477 moves, e=0.010, loss: 815.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.840, 3.168 sec/game, 65.9 min. total, 954.9 MB
unpaid_squash v3 1536 games, 1754742 moves, e=0.010, loss: 733.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.974, 3.145 sec/game, 65.9 min. total, 957.2 MB
unpaid_squash v3 1537 games, 1756015 moves, e=0.010, loss: 804.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.580, 3.163 sec/game, 66.0 min. total, 956.7 MB
unpaid_squash v3 1538 games, 1757341 moves, e=0.010, loss: 1009.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.597, 3.092 sec/game, 66.0 min. total, 957.3 MB
unpaid_squash v3 1539 games, 1758778 moves, e=0.010, loss: 1092.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.653, 3.059 sec/game, 66.1 min. total, 957.3 MB
unpaid_squash v3 1540 games, 1760122 moves, e=0.010, loss: 1173.9, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.665, 3.071 sec/game, 66.1 min. total, 957.3 MB
unpaid_squash v3 1541 games, 1761501 moves, e=0.010, loss: 1190.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.687, 3.088 sec/game, 66.2 min. total, 957.3 MB
unpaid_squash v3 1542 games, 1762906 moves, e=0.010, loss: 1126.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.566, 3.104 sec/game, 66.2 min. total, 956.9 MB
unpaid_squash v3 1543 games, 1764309 moves, e=0.010, loss: 1100.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.364, 3.096 sec/game, 66.3 min. total, 958.8 MB
unpaid_squash v3 1544 games, 1765684 moves, e=0.010, loss: 1016.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.431, 3.111 sec/game, 66.4 min. total, 960.6 MB
unpaid_squash v3 1545 games, 1767201 moves, e=0.010, loss: 865.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.413, 3.126 sec/game, 66.4 min. total, 960.3 MB
unpaid_squash v3 1546 games, 1768570 moves, e=0.010, loss: 844.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.660, 3.117 sec/game, 66.5 min. total, 960.7 MB
unpaid_squash v3 1547 games, 1770082 moves, e=0.010, loss: 1025.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.412, 3.125 sec/game, 66.5 min. total, 960.6 MB
unpaid_squash v3 1548 games, 1771570 moves, e=0.010, loss: 1093.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.518, 3.126 sec/game, 66.6 min. total, 960.2 MB
unpaid_squash v3 1549 games, 1772962 moves, e=0.010, loss: 1283.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.557, 3.123 sec/game, 66.6 min. total, 961.1 MB
unpaid_squash v3 1550 games, 1774598 moves, e=0.010, loss: 1446.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.682, 3.133 sec/game, 66.7 min. total, 960.5 MB
unpaid_squash v3 1551 games, 1775942 moves, e=0.010, loss: 1605.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.651, 3.115 sec/game, 66.7 min. total, 962.9 MB
unpaid_squash v3 1552 games, 1777201 moves, e=0.010, loss: 1701.9, -, 0.4% elo% vs. random_no_suicide, avg. reward: 1.743, 3.105 sec/game, 66.8 min. total, 962.9 MB
unpaid_squash v3 1553 games, 1779371 moves, e=0.010, loss: 1968.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.217, 3.185 sec/game, 66.9 min. total, 962.8 MB
unpaid_squash v3 1554 games, 1780701 moves, e=0.010, loss: 2422.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.191, 3.158 sec/game, 66.9 min. total, 962.9 MB
unpaid_squash v3 1555 games, 1782113 moves, e=0.010, loss: 2497.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.205, 3.169 sec/game, 67.0 min. total, 963.3 MB
unpaid_squash v3 1556 games, 1783520 moves, e=0.010, loss: 2467.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.352, 3.195 sec/game, 67.0 min. total, 963.2 MB
unpaid_squash v3 1557 games, 1784904 moves, e=0.010, loss: 2437.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.580, 3.199 sec/game, 67.1 min. total, 963.9 MB
unpaid_squash v3 1558 games, 1786514 moves, e=0.010, loss: 2596.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.687, 3.226 sec/game, 67.1 min. total, 966.8 MB
unpaid_squash v3 1559 games, 1787909 moves, e=0.010, loss: 2617.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.745, 3.229 sec/game, 67.2 min. total, 966.2 MB
unpaid_squash v3 1560 games, 1789319 moves, e=0.010, loss: 2332.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.801, 3.240 sec/game, 67.2 min. total, 966.8 MB
unpaid_squash v3 1561 games, 1790691 moves, e=0.010, loss: 1862.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.797, 3.231 sec/game, 67.3 min. total, 966.9 MB
unpaid_squash v3 1562 games, 1792074 moves, e=0.010, loss: 1649.9, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.754, 3.226 sec/game, 67.3 min. total, 967.0 MB
unpaid_squash v3 1563 games, 1793384 moves, e=0.010, loss: 1558.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.744, 3.213 sec/game, 67.4 min. total, 967.2 MB
unpaid_squash v3 1564 games, 1794858 moves, e=0.010, loss: 1409.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.946, 3.224 sec/game, 67.4 min. total, 967.2 MB
unpaid_squash v3 1565 games, 1796340 moves, e=0.010, loss: 1355.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.837, 3.208 sec/game, 67.5 min. total, 968.7 MB
unpaid_squash v3 1566 games, 1797706 moves, e=0.010, loss: 1307.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.829, 3.212 sec/game, 67.5 min. total, 969.2 MB
unpaid_squash v3 1567 games, 1799152 moves, e=0.010, loss: 1183.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.729, 3.201 sec/game, 67.6 min. total, 969.9 MB
unpaid_squash v3 1568 games, 1800628 moves, e=0.010, loss: 1085.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.861, 3.202 sec/game, 67.6 min. total, 969.8 MB
unpaid_squash v3 1569 games, 1802071 moves, e=0.010, loss: 1245.9, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.952, 3.202 sec/game, 67.7 min. total, 970.0 MB
unpaid_squash v3 1570 games, 1803487 moves, e=0.010, loss: 1452.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.052, 3.179 sec/game, 67.7 min. total, 969.9 MB
unpaid_squash v3 1571 games, 1804870 moves, e=0.010, loss: 1618.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.065, 3.184 sec/game, 67.8 min. total, 970.0 MB
unpaid_squash v3 1572 games, 1806247 moves, e=0.010, loss: 1466.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.122, 3.190 sec/game, 67.8 min. total, 970.2 MB
unpaid_squash v3 1573 games, 1807672 moves, e=0.010, loss: 1443.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.200, 3.119 sec/game, 67.9 min. total, 971.6 MB
unpaid_squash v3 1574 games, 1809111 moves, e=0.010, loss: 1567.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.034, 3.134 sec/game, 67.9 min. total, 972.8 MB
unpaid_squash v3 1575 games, 1810530 moves, e=0.010, loss: 1574.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.235, 3.130 sec/game, 68.0 min. total, 973.3 MB
unpaid_squash v3 1576 games, 1811834 moves, e=0.010, loss: 1699.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.313, 3.120 sec/game, 68.0 min. total, 972.9 MB
unpaid_squash v3 1577 games, 1813319 moves, e=0.010, loss: 1703.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.326, 3.135 sec/game, 68.1 min. total, 973.3 MB
unpaid_squash v3 1578 games, 1814749 moves, e=0.010, loss: 1563.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.206, 3.110 sec/game, 68.2 min. total, 973.5 MB
unpaid_squash v3 1579 games, 1816162 moves, e=0.010, loss: 1381.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.228, 3.110 sec/game, 68.2 min. total, 974.0 MB
unpaid_squash v3 1580 games, 1817546 moves, e=0.010, loss: 1280.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.222, 3.107 sec/game, 68.3 min. total, 974.4 MB
unpaid_squash v3 1581 games, 1819017 moves, e=0.010, loss: 1115.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.242, 3.130 sec/game, 68.3 min. total, 975.5 MB
unpaid_squash v3 1582 games, 1820460 moves, e=0.010, loss: 983.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.219, 3.139 sec/game, 68.4 min. total, 974.8 MB
unpaid_squash v3 1583 games, 1821905 moves, e=0.010, loss: 690.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.146, 3.151 sec/game, 68.4 min. total, 975.5 MB
unpaid_squash v3 1584 games, 1823231 moves, e=0.010, loss: 545.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.120, 3.129 sec/game, 68.5 min. total, 975.5 MB
unpaid_squash v3 1585 games, 1824648 moves, e=0.010, loss: 451.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.915, 3.135 sec/game, 68.5 min. total, 975.7 MB
unpaid_squash v3 1586 games, 1825635 moves, e=0.010, loss: 457.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.873, 3.089 sec/game, 68.6 min. total, 975.8 MB
unpaid_squash v3 1587 games, 1826614 moves, e=0.010, loss: 422.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.823, 3.050 sec/game, 68.6 min. total, 976.1 MB
unpaid_squash v3 1588 games, 1827776 moves, e=0.010, loss: 393.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.840, 3.014 sec/game, 68.6 min. total, 976.6 MB
unpaid_squash v3 1589 games, 1829091 moves, e=0.010, loss: 443.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.194, 3.009 sec/game, 68.7 min. total, 978.2 MB
unpaid_squash v3 1590 games, 1830405 moves, e=0.010, loss: 789.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.274, 3.018 sec/game, 68.7 min. total, 978.0 MB
unpaid_squash v3 1591 games, 1831698 moves, e=0.010, loss: 968.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.358, 3.006 sec/game, 68.8 min. total, 978.2 MB
unpaid_squash v3 1592 games, 1832910 moves, e=0.010, loss: 1103.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.364, 2.983 sec/game, 68.8 min. total, 978.0 MB
unpaid_squash v3 1593 games, 1833897 moves, e=0.010, loss: 1171.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.342, 2.937 sec/game, 68.9 min. total, 978.2 MB
unpaid_squash v3 1594 games, 1834883 moves, e=0.010, loss: 1236.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.296, 2.895 sec/game, 68.9 min. total, 978.0 MB
unpaid_squash v3 1595 games, 1835962 moves, e=0.010, loss: 1234.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.158, 2.855 sec/game, 69.0 min. total, 978.4 MB
unpaid_squash v3 1596 games, 1837047 moves, e=0.010, loss: 1306.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.113, 2.825 sec/game, 69.0 min. total, 979.0 MB
unpaid_squash v3 1597 games, 1838130 moves, e=0.010, loss: 1339.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.970, 2.786 sec/game, 69.0 min. total, 979.6 MB
unpaid_squash v3 1598 games, 1839084 moves, e=0.010, loss: 1257.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.888, 2.740 sec/game, 69.1 min. total, 981.1 MB
unpaid_squash v3 1599 games, 1840123 moves, e=0.010, loss: 895.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.921, 2.702 sec/game, 69.1 min. total, 982.7 MB
unpaid_squash v3 1600 games, 1841434 moves, e=0.010, loss: 666.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.822, 2.718 sec/game, 69.2 min. total, 982.5 MB
unpaid_squash v3 1601 games, 1842919 moves, e=0.010, loss: 536.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.844, 2.707 sec/game, 69.2 min. total, 982.1 MB
unpaid_squash v3 1602 games, 1844379 moves, e=0.010, loss: 618.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.739, 2.709 sec/game, 69.3 min. total, 982.1 MB
unpaid_squash v3 1603 games, 1845732 moves, e=0.010, loss: 658.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.768, 2.698 sec/game, 69.3 min. total, 982.6 MB
unpaid_squash v3 1604 games, 1847180 moves, e=0.010, loss: 659.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.730, 2.714 sec/game, 69.4 min. total, 982.6 MB
unpaid_squash v3 1605 games, 1848597 moves, e=0.010, loss: 701.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.763, 2.706 sec/game, 69.4 min. total, 983.2 MB
unpaid_squash v3 1606 games, 1850096 moves, e=0.010, loss: 715.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.728, 2.754 sec/game, 69.5 min. total, 984.3 MB
unpaid_squash v3 1607 games, 1851545 moves, e=0.010, loss: 700.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.849, 2.808 sec/game, 69.5 min. total, 984.1 MB
unpaid_squash v3 1608 games, 1852773 moves, e=0.010, loss: 821.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.883, 2.811 sec/game, 69.6 min. total, 984.1 MB
unpaid_squash v3 1609 games, 1853990 moves, e=0.010, loss: 798.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.781, 2.803 sec/game, 69.6 min. total, 984.2 MB
unpaid_squash v3 1610 games, 1855284 moves, e=0.010, loss: 855.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.848, 2.781 sec/game, 69.7 min. total, 984.4 MB
unpaid_squash v3 1611 games, 1856830 moves, e=0.010, loss: 946.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.819, 2.809 sec/game, 69.7 min. total, 984.4 MB
unpaid_squash v3 1612 games, 1858123 moves, e=0.010, loss: 971.9, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.788, 2.821 sec/game, 69.8 min. total, 984.2 MB
unpaid_squash v3 1613 games, 1859522 moves, e=0.010, loss: 968.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.825, 2.861 sec/game, 69.8 min. total, 985.8 MB
unpaid_squash v3 1614 games, 1860893 moves, e=0.010, loss: 1051.9, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.009, 2.899 sec/game, 69.9 min. total, 987.0 MB
unpaid_squash v3 1615 games, 1862293 moves, e=0.010, loss: 1055.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.931, 2.934 sec/game, 69.9 min. total, 987.6 MB
unpaid_squash v3 1616 games, 1863706 moves, e=0.010, loss: 1046.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.995, 2.969 sec/game, 70.0 min. total, 987.8 MB
unpaid_squash v3 1617 games, 1865047 moves, e=0.010, loss: 1035.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.026, 2.986 sec/game, 70.0 min. total, 987.2 MB
unpaid_squash v3 1618 games, 1866520 moves, e=0.010, loss: 974.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.672, 3.042 sec/game, 70.1 min. total, 987.7 MB
unpaid_squash v3 1619 games, 1868038 moves, e=0.010, loss: 943.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.707, 3.091 sec/game, 70.1 min. total, 988.1 MB
unpaid_squash v3 1620 games, 1869423 moves, e=0.010, loss: 909.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.732, 3.067 sec/game, 70.2 min. total, 989.5 MB
unpaid_squash v3 1621 games, 1871204 moves, e=0.010, loss: 964.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.181, 3.105 sec/game, 70.3 min. total, 991.8 MB
unpaid_squash v3 1622 games, 1872412 moves, e=0.010, loss: 1490.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.173, 3.100 sec/game, 70.3 min. total, 990.9 MB
unpaid_squash v3 1623 games, 1873829 moves, e=0.010, loss: 1742.9, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.318, 3.111 sec/game, 70.4 min. total, 991.3 MB
unpaid_squash v3 1624 games, 1875144 moves, e=0.010, loss: 1893.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.324, 3.093 sec/game, 70.4 min. total, 991.5 MB
unpaid_squash v3 1625 games, 1876440 moves, e=0.010, loss: 1913.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.390, 3.082 sec/game, 70.5 min. total, 991.5 MB
unpaid_squash v3 1626 games, 1877740 moves, e=0.010, loss: 2061.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.634, 3.067 sec/game, 70.5 min. total, 992.1 MB
unpaid_squash v3 1627 games, 1879166 moves, e=0.010, loss: 2448.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.522, 3.052 sec/game, 70.6 min. total, 991.8 MB
unpaid_squash v3 1628 games, 1880719 moves, e=0.010, loss: 2699.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.555, 3.093 sec/game, 70.6 min. total, 992.1 MB
unpaid_squash v3 1629 games, 1882087 moves, e=0.010, loss: 2282.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.527, 3.103 sec/game, 70.7 min. total, 992.4 MB
unpaid_squash v3 1630 games, 1883549 moves, e=0.010, loss: 2020.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.806, 3.127 sec/game, 70.7 min. total, 993.2 MB
unpaid_squash v3 1631 games, 1884936 moves, e=0.010, loss: 1993.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.844, 3.111 sec/game, 70.8 min. total, 992.9 MB
unpaid_squash v3 1632 games, 1886324 moves, e=0.010, loss: 2026.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.997, 3.117 sec/game, 70.8 min. total, 993.3 MB
unpaid_squash v3 1633 games, 1888120 moves, e=0.010, loss: 1824.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.978, 3.150 sec/game, 70.9 min. total, 993.1 MB
unpaid_squash v3 1634 games, 1889382 moves, e=0.010, loss: 1670.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.871, 3.139 sec/game, 70.9 min. total, 994.2 MB
unpaid_squash v3 1635 games, 1890714 moves, e=0.010, loss: 1555.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.826, 3.136 sec/game, 71.0 min. total, 995.3 MB
unpaid_squash v3 1636 games, 1892082 moves, e=0.010, loss: 1404.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.797, 3.132 sec/game, 71.0 min. total, 994.7 MB
unpaid_squash v3 1637 games, 1893458 moves, e=0.010, loss: 1385.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.707, 3.139 sec/game, 71.1 min. total, 995.8 MB
unpaid_squash v3 1638 games, 1894894 moves, e=0.010, loss: 1125.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.601, 3.130 sec/game, 71.1 min. total, 995.6 MB
unpaid_squash v3 1639 games, 1896323 moves, e=0.010, loss: 927.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.599, 3.132 sec/game, 71.2 min. total, 996.3 MB
unpaid_squash v3 1640 games, 1897666 moves, e=0.010, loss: 867.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.669, 3.134 sec/game, 71.2 min. total, 996.3 MB
unpaid_squash v3 1641 games, 1899035 moves, e=0.010, loss: 865.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.662, 3.099 sec/game, 71.3 min. total, 996.6 MB
unpaid_squash v3 1642 games, 1900348 moves, e=0.010, loss: 895.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.689, 3.084 sec/game, 71.3 min. total, 998.2 MB
unpaid_squash v3 1643 games, 1901710 moves, e=0.010, loss: 931.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.704, 3.085 sec/game, 71.4 min. total, 998.8 MB
unpaid_squash v3 1644 games, 1903086 moves, e=0.010, loss: 888.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.695, 3.083 sec/game, 71.4 min. total, 998.9 MB
unpaid_squash v3 1645 games, 1904462 moves, e=0.010, loss: 878.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.669, 3.097 sec/game, 71.5 min. total, 998.7 MB
unpaid_squash v3 1646 games, 1905765 moves, e=0.010, loss: 883.9, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.476, 3.099 sec/game, 71.5 min. total, 998.7 MB
unpaid_squash v3 1647 games, 1907039 moves, e=0.010, loss: 906.2, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.538, 3.087 sec/game, 71.6 min. total, 999.3 MB
unpaid_squash v3 1648 games, 1908329 moves, e=0.010, loss: 869.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.370, 3.055 sec/game, 71.6 min. total, 999.3 MB
unpaid_squash v3 1649 games, 1909731 moves, e=0.010, loss: 854.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.506, 3.069 sec/game, 71.7 min. total, 999.3 MB
unpaid_squash v3 1650 games, 1911042 moves, e=0.010, loss: 1004.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.393, 3.054 sec/game, 71.7 min. total, 1001.6 MB
unpaid_squash v3 1651 games, 1912449 moves, e=0.010, loss: 1004.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.405, 3.062 sec/game, 71.8 min. total, 1002.3 MB
unpaid_squash v3 1652 games, 1913828 moves, e=0.010, loss: 1037.3, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.488, 3.058 sec/game, 71.8 min. total, 1002.4 MB
unpaid_squash v3 1653 games, 1915157 moves, e=0.010, loss: 1164.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.008, 3.027 sec/game, 71.9 min. total, 1002.8 MB
unpaid_squash v3 1654 games, 1916575 moves, e=0.010, loss: 1188.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.061, 3.042 sec/game, 71.9 min. total, 1002.3 MB
unpaid_squash v3 1655 games, 1917905 moves, e=0.010, loss: 1161.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 3.024, 3.046 sec/game, 72.0 min. total, 1003.0 MB
unpaid_squash v3 1656 games, 1919234 moves, e=0.010, loss: 1160.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.944, 3.052 sec/game, 72.0 min. total, 1003.1 MB
unpaid_squash v3 1657 games, 1920582 moves, e=0.010, loss: 978.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.799, 3.044 sec/game, 72.1 min. total, 1004.4 MB
unpaid_squash v3 1658 games, 1921843 moves, e=0.010, loss: 986.7, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.745, 3.031 sec/game, 72.1 min. total, 1003.8 MB
unpaid_squash v3 1659 games, 1923248 moves, e=0.010, loss: 1017.0, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.693, 3.013 sec/game, 72.2 min. total, 1005.4 MB
unpaid_squash v3 1660 games, 1924597 moves, e=0.010, loss: 881.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.637, 3.011 sec/game, 72.2 min. total, 1005.3 MB
unpaid_squash v3 1661 games, 1926169 moves, e=0.010, loss: 859.6, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.664, 3.029 sec/game, 72.3 min. total, 1005.3 MB
unpaid_squash v3 1662 games, 1927536 moves, e=0.010, loss: 845.8, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.643, 3.031 sec/game, 72.3 min. total, 1005.3 MB
unpaid_squash v3 1663 games, 1928893 moves, e=0.010, loss: 855.1, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.666, 3.028 sec/game, 72.4 min. total, 1005.4 MB
unpaid_squash v3 1664 games, 1930326 moves, e=0.010, loss: 894.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.477, 3.040 sec/game, 72.4 min. total, 1005.9 MB
unpaid_squash v3 1665 games, 1931715 moves, e=0.010, loss: 892.4, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.523, 3.039 sec/game, 72.5 min. total, 1008.2 MB
unpaid_squash v3 1666 games, 1932984 moves, e=0.010, loss: 931.5, -, 0.4% elo% vs. random_no_suicide, avg. reward: 2.515, 3.044 sec/game, 72.5 min. total, 1008.1 MB
