majestic_scorch v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.4 MB
majestic_scorch v4 110 games, 78200 moves, e=0.923, loss: 0.2, +, 56.6% elo% vs. random_no_suicide, avg. reward: 0.049, 1.668 sec/game, 2.4 min. total, 482.2 MB
majestic_scorch v4 111 games, 78947 moves, e=0.922, loss: 0.2, +, 58.5% elo% vs. random_no_suicide, avg. reward: 0.049, 1.674 sec/game, 2.5 min. total, 478.3 MB
majestic_scorch v4 112 games, 79693 moves, e=0.921, loss: 0.2, -, 55.9% elo% vs. random_no_suicide, avg. reward: 0.049, 1.666 sec/game, 2.5 min. total, 477.8 MB
majestic_scorch v4 113 games, 80426 moves, e=0.920, loss: 0.2, +, 57.9% elo% vs. random_no_suicide, avg. reward: 0.049, 1.673 sec/game, 2.5 min. total, 481.3 MB
majestic_scorch v4 114 games, 81133 moves, e=0.920, loss: 0.2, +, 59.8% elo% vs. random_no_suicide, avg. reward: 0.049, 1.683 sec/game, 2.6 min. total, 480.1 MB
majestic_scorch v4 115 games, 81802 moves, e=0.919, loss: 0.2, -, 57.1% elo% vs. random_no_suicide, avg. reward: 0.049, 1.701 sec/game, 2.6 min. total, 479.9 MB
majestic_scorch v4 116 games, 82538 moves, e=0.918, loss: 0.2, +, 59.0% elo% vs. random_no_suicide, avg. reward: 0.050, 1.694 sec/game, 2.6 min. total, 480.0 MB
majestic_scorch v4 117 games, 83225 moves, e=0.918, loss: 0.1, +, 60.8% elo% vs. random_no_suicide, avg. reward: 0.049, 1.699 sec/game, 2.6 min. total, 480.1 MB
majestic_scorch v4 118 games, 83959 moves, e=0.917, loss: 0.2, +, 62.5% elo% vs. random_no_suicide, avg. reward: 0.050, 1.698 sec/game, 2.7 min. total, 482.0 MB
majestic_scorch v4 119 games, 84627 moves, e=0.916, loss: 0.1, +, 64.1% elo% vs. random_no_suicide, avg. reward: 0.051, 1.700 sec/game, 2.7 min. total, 482.1 MB
majestic_scorch v4 120 games, 85390 moves, e=0.915, loss: 0.2, +, 65.6% elo% vs. random_no_suicide, avg. reward: 0.051, 1.703 sec/game, 2.7 min. total, 480.2 MB
majestic_scorch v4 121 games, 86162 moves, e=0.915, loss: 0.2, -, 62.9% elo% vs. random_no_suicide, avg. reward: 0.051, 1.714 sec/game, 2.7 min. total, 480.0 MB
majestic_scorch v4 122 games, 86903 moves, e=0.914, loss: 0.2, +, 64.4% elo% vs. random_no_suicide, avg. reward: 0.052, 1.661 sec/game, 2.8 min. total, 481.4 MB
majestic_scorch v4 123 games, 87707 moves, e=0.913, loss: 0.1, +, 65.9% elo% vs. random_no_suicide, avg. reward: 0.053, 1.670 sec/game, 2.8 min. total, 483.8 MB
majestic_scorch v4 124 games, 88492 moves, e=0.912, loss: 0.2, +, 67.3% elo% vs. random_no_suicide, avg. reward: 0.053, 1.684 sec/game, 2.8 min. total, 484.1 MB
majestic_scorch v4 125 games, 89055 moves, e=0.912, loss: 0.1, -, 64.5% elo% vs. random_no_suicide, avg. reward: 0.054, 1.647 sec/game, 2.8 min. total, 481.8 MB
majestic_scorch v4 126 games, 89938 moves, e=0.911, loss: 0.2, -, 61.8% elo% vs. random_no_suicide, avg. reward: 0.055, 1.658 sec/game, 2.9 min. total, 481.9 MB
majestic_scorch v4 127 games, 90690 moves, e=0.910, loss: 0.2, -, 59.1% elo% vs. random_no_suicide, avg. reward: 0.055, 1.662 sec/game, 2.9 min. total, 482.0 MB
majestic_scorch v4 128 games, 91405 moves, e=0.910, loss: 0.2, +, 60.9% elo% vs. random_no_suicide, avg. reward: 0.056, 1.672 sec/game, 2.9 min. total, 484.2 MB
majestic_scorch v4 129 games, 92100 moves, e=0.909, loss: 0.2, -, 58.2% elo% vs. random_no_suicide, avg. reward: 0.055, 1.676 sec/game, 3.0 min. total, 481.7 MB
majestic_scorch v4 130 games, 92809 moves, e=0.908, loss: 0.2, +, 60.0% elo% vs. random_no_suicide, avg. reward: 0.055, 1.683 sec/game, 3.0 min. total, 486.0 MB
majestic_scorch v4 131 games, 93454 moves, e=0.907, loss: 0.2, +, 61.8% elo% vs. random_no_suicide, avg. reward: 0.055, 1.700 sec/game, 3.0 min. total, 483.4 MB
majestic_scorch v4 132 games, 94153 moves, e=0.907, loss: 0.2, +, 63.4% elo% vs. random_no_suicide, avg. reward: 0.057, 1.699 sec/game, 3.1 min. total, 483.6 MB
majestic_scorch v4 133 games, 94907 moves, e=0.906, loss: 0.2, -, 60.7% elo% vs. random_no_suicide, avg. reward: 0.057, 1.700 sec/game, 3.1 min. total, 483.5 MB
majestic_scorch v4 134 games, 95655 moves, e=0.905, loss: 0.2, +, 62.4% elo% vs. random_no_suicide, avg. reward: 0.057, 1.713 sec/game, 3.1 min. total, 483.6 MB
majestic_scorch v4 135 games, 96454 moves, e=0.905, loss: 0.2, +, 64.0% elo% vs. random_no_suicide, avg. reward: 0.057, 1.716 sec/game, 3.1 min. total, 485.7 MB
