majestic_scorch v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.4 MB
majestic_scorch v25 1055 games, 1515761 moves, e=0.010, loss: 1.2, +, 67.0% elo% vs. v24, avg. reward: 0.899, 7.554 sec/game, 4.8 min. total, 429.1 MB
majestic_scorch v25 1056 games, 1518798 moves, e=0.010, loss: 1.2, ., 66.3% elo% vs. v24, avg. reward: 0.899, 7.617 sec/game, 4.9 min. total, 428.3 MB
majestic_scorch v25 1057 games, 1521731 moves, e=0.010, loss: 1.2, ., 65.7% elo% vs. v24, avg. reward: 0.899, 7.565 sec/game, 5.0 min. total, 432.5 MB
majestic_scorch v25 1058 games, 1524421 moves, e=0.010, loss: 1.3, +, 67.1% elo% vs. v24, avg. reward: 0.903, 7.495 sec/game, 5.1 min. total, 427.8 MB
majestic_scorch v25 1059 games, 1527098 moves, e=0.010, loss: 1.2, +, 68.4% elo% vs. v24, avg. reward: 0.909, 7.495 sec/game, 5.2 min. total, 427.2 MB
majestic_scorch v25 1060 games, 1529792 moves, e=0.010, loss: 1.2, +, 69.7% elo% vs. v24, avg. reward: 0.914, 7.406 sec/game, 5.3 min. total, 426.9 MB
majestic_scorch v25 1061 games, 1532678 moves, e=0.010, loss: 1.3, +, 70.8% elo% vs. v24, avg. reward: 0.915, 7.402 sec/game, 5.4 min. total, 430.6 MB
majestic_scorch v26 1062 games, 1535931 moves, e=0.010, loss: 1.3, +, 54.5% elo% vs. v25, avg. reward: 0.912, 7.271 sec/game, 5.6 min. total, 495.6 MB
majestic_scorch v26 1063 games, 1539065 moves, e=0.010, loss: 1.2, +, 56.6% elo% vs. v25, avg. reward: 0.913, 7.232 sec/game, 5.7 min. total, 498.1 MB
majestic_scorch v26 1064 games, 1542304 moves, e=0.010, loss: 1.1, +, 58.5% elo% vs. v25, avg. reward: 0.911, 7.304 sec/game, 5.8 min. total, 503.0 MB
majestic_scorch v26 1065 games, 1545506 moves, e=0.010, loss: 1.1, -, 55.9% elo% vs. v25, avg. reward: 0.908, 7.350 sec/game, 5.9 min. total, 504.7 MB
majestic_scorch v26 1066 games, 1548239 moves, e=0.010, loss: 1.1, -, 53.3% elo% vs. v25, avg. reward: 0.910, 7.381 sec/game, 6.1 min. total, 503.9 MB
majestic_scorch v26 1067 games, 1551673 moves, e=0.010, loss: 1.2, +, 55.5% elo% vs. v25, avg. reward: 0.907, 7.428 sec/game, 6.2 min. total, 509.5 MB
majestic_scorch v26 1068 games, 1555223 moves, e=0.010, loss: 1.1, +, 57.5% elo% vs. v25, avg. reward: 0.903, 7.410 sec/game, 6.3 min. total, 510.4 MB
majestic_scorch v26 1069 games, 1558602 moves, e=0.010, loss: 0.9, -, 54.9% elo% vs. v25, avg. reward: 0.901, 7.389 sec/game, 6.4 min. total, 510.7 MB
majestic_scorch v26 1070 games, 1562050 moves, e=0.010, loss: 1.0, +, 56.9% elo% vs. v25, avg. reward: 0.899, 7.411 sec/game, 6.6 min. total, 461.7 MB
majestic_scorch v26 1071 games, 1565506 moves, e=0.010, loss: 1.0, +, 58.9% elo% vs. v25, avg. reward: 0.895, 7.481 sec/game, 6.8 min. total, 463.8 MB
majestic_scorch v26 1072 games, 1568681 moves, e=0.010, loss: 1.0, +, 60.7% elo% vs. v25, avg. reward: 0.894, 7.491 sec/game, 6.9 min. total, 450.7 MB
majestic_scorch v26 1073 games, 1571780 moves, e=0.010, loss: 1.1, +, 62.4% elo% vs. v25, avg. reward: 0.893, 7.430 sec/game, 7.0 min. total, 452.9 MB
majestic_scorch v26 1074 games, 1574486 moves, e=0.010, loss: 1.1, +, 64.0% elo% vs. v25, avg. reward: 0.895, 7.360 sec/game, 7.1 min. total, 454.0 MB
majestic_scorch v26 1075 games, 1577795 moves, e=0.010, loss: 1.1, -, 61.2% elo% vs. v25, avg. reward: 0.894, 7.406 sec/game, 7.2 min. total, 458.0 MB
majestic_scorch v26 1076 games, 1580965 moves, e=0.010, loss: 1.1, ., 60.7% elo% vs. v25, avg. reward: 0.893, 7.412 sec/game, 7.4 min. total, 459.4 MB
majestic_scorch v26 1077 games, 1584152 moves, e=0.010, loss: 1.1, +, 62.5% elo% vs. v25, avg. reward: 0.893, 7.487 sec/game, 7.5 min. total, 460.1 MB
majestic_scorch v26 1078 games, 1587597 moves, e=0.010, loss: 1.1, -, 59.7% elo% vs. v25, avg. reward: 0.892, 7.593 sec/game, 7.6 min. total, 460.4 MB
majestic_scorch v26 1079 games, 1591109 moves, e=0.010, loss: 1.0, -, 57.1% elo% vs. v25, avg. reward: 0.890, 7.680 sec/game, 7.8 min. total, 460.5 MB
majestic_scorch v26 1080 games, 1594594 moves, e=0.010, loss: 1.1, +, 59.0% elo% vs. v25, avg. reward: 0.887, 7.755 sec/game, 7.9 min. total, 461.5 MB
majestic_scorch v26 1081 games, 1598283 moves, e=0.010, loss: 1.1, -, 56.3% elo% vs. v25, avg. reward: 0.884, 7.801 sec/game, 8.0 min. total, 460.7 MB
majestic_scorch v26 1082 games, 1601736 moves, e=0.010, loss: 1.0, -, 53.8% elo% vs. v25, avg. reward: 0.882, 7.891 sec/game, 8.2 min. total, 464.5 MB
majestic_scorch v26 1083 games, 1604989 moves, e=0.010, loss: 1.0, -, 51.3% elo% vs. v25, avg. reward: 0.879, 7.902 sec/game, 8.3 min. total, 464.7 MB
majestic_scorch v26 1084 games, 1608479 moves, e=0.010, loss: 1.1, -, 48.9% elo% vs. v25, avg. reward: 0.876, 7.933 sec/game, 8.5 min. total, 465.0 MB
majestic_scorch v26 1085 games, 1611642 moves, e=0.010, loss: 1.1, ., 49.0% elo% vs. v25, avg. reward: 0.876, 7.915 sec/game, 8.6 min. total, 464.9 MB
majestic_scorch v26 1086 games, 1615063 moves, e=0.010, loss: 1.0, +, 51.3% elo% vs. v25, avg. reward: 0.876, 7.963 sec/game, 8.7 min. total, 465.2 MB
majestic_scorch v26 1087 games, 1618474 moves, e=0.010, loss: 1.0, -, 49.0% elo% vs. v25, avg. reward: 0.875, 7.995 sec/game, 8.8 min. total, 465.1 MB
majestic_scorch v26 1088 games, 1621780 moves, e=0.010, loss: 1.1, -, 46.7% elo% vs. v25, avg. reward: 0.873, 7.992 sec/game, 9.0 min. total, 465.7 MB
majestic_scorch v26 1089 games, 1625454 moves, e=0.010, loss: 1.0, +, 49.2% elo% vs. v25, avg. reward: 0.870, 7.972 sec/game, 9.1 min. total, 471.1 MB
majestic_scorch v26 1090 games, 1628860 moves, e=0.010, loss: 1.1, +, 51.5% elo% vs. v25, avg. reward: 0.867, 7.875 sec/game, 9.2 min. total, 469.2 MB
majestic_scorch v26 1091 games, 1632400 moves, e=0.010, loss: 1.0, -, 49.1% elo% vs. v25, avg. reward: 0.866, 7.794 sec/game, 9.4 min. total, 471.7 MB
majestic_scorch v26 1092 games, 1635920 moves, e=0.010, loss: 1.0, +, 51.5% elo% vs. v25, avg. reward: 0.864, 7.751 sec/game, 9.5 min. total, 471.4 MB
majestic_scorch v26 1093 games, 1639488 moves, e=0.010, loss: 0.9, +, 53.7% elo% vs. v25, avg. reward: 0.863, 7.762 sec/game, 9.6 min. total, 470.6 MB
majestic_scorch v26 1094 games, 1642879 moves, e=0.010, loss: 0.9, -, 51.2% elo% vs. v25, avg. reward: 0.863, 7.816 sec/game, 9.7 min. total, 469.8 MB
majestic_scorch v26 1095 games, 1646140 moves, e=0.010, loss: 1.0, +, 53.5% elo% vs. v25, avg. reward: 0.862, 7.781 sec/game, 9.8 min. total, 470.9 MB
majestic_scorch v26 1096 games, 1649617 moves, e=0.010, loss: 0.9, +, 55.6% elo% vs. v25, avg. reward: 0.861, 7.781 sec/game, 10.0 min. total, 473.2 MB
majestic_scorch v26 1097 games, 1653032 moves, e=0.010, loss: 0.9, -, 53.1% elo% vs. v25, avg. reward: 0.859, 7.728 sec/game, 10.1 min. total, 472.1 MB
majestic_scorch v26 1098 games, 1656258 moves, e=0.010, loss: 0.9, +, 55.2% elo% vs. v25, avg. reward: 0.860, 7.639 sec/game, 10.2 min. total, 474.0 MB
majestic_scorch v26 1099 games, 1659558 moves, e=0.010, loss: 0.9, -, 52.7% elo% vs. v25, avg. reward: 0.859, 7.587 sec/game, 10.3 min. total, 473.7 MB
majestic_scorch v26 1100 games, 1662958 moves, e=0.010, loss: 1.0, -, 50.3% elo% vs. v25, avg. reward: 0.858, 7.555 sec/game, 10.4 min. total, 472.6 MB
majestic_scorch v26 1101 games, 1665780 moves, e=0.010, loss: 1.1, +, 52.5% elo% vs. v25, avg. reward: 0.859, 7.423 sec/game, 10.5 min. total, 475.6 MB
majestic_scorch v26 1102 games, 1669075 moves, e=0.010, loss: 1.1, +, 54.7% elo% vs. v25, avg. reward: 0.858, 7.357 sec/game, 10.6 min. total, 476.1 MB
majestic_scorch v26 1103 games, 1672073 moves, e=0.010, loss: 1.1, -, 52.2% elo% vs. v25, avg. reward: 0.858, 7.288 sec/game, 10.7 min. total, 475.2 MB
majestic_scorch v26 1104 games, 1674849 moves, e=0.010, loss: 1.2, +, 54.4% elo% vs. v25, avg. reward: 0.860, 7.153 sec/game, 10.8 min. total, 474.2 MB
majestic_scorch v26 1105 games, 1677487 moves, e=0.010, loss: 1.2, -, 51.9% elo% vs. v25, avg. reward: 0.862, 7.069 sec/game, 10.9 min. total, 473.8 MB
majestic_scorch v26 1106 games, 1680543 moves, e=0.010, loss: 1.2, +, 54.1% elo% vs. v25, avg. reward: 0.862, 6.992 sec/game, 11.0 min. total, 475.5 MB
majestic_scorch v26 1107 games, 1683762 moves, e=0.010, loss: 1.2, +, 56.2% elo% vs. v25, avg. reward: 0.861, 6.924 sec/game, 11.2 min. total, 474.4 MB
majestic_scorch v26 1108 games, 1686996 moves, e=0.010, loss: 1.2, -, 53.6% elo% vs. v25, avg. reward: 0.861, 6.869 sec/game, 11.3 min. total, 480.2 MB
majestic_scorch v26 1109 games, 1690388 moves, e=0.010, loss: 1.1, -, 51.2% elo% vs. v25, avg. reward: 0.860, 6.850 sec/game, 11.4 min. total, 484.6 MB
majestic_scorch v26 1110 games, 1694075 moves, e=0.010, loss: 1.1, +, 53.4% elo% vs. v25, avg. reward: 0.858, 6.870 sec/game, 11.5 min. total, 485.9 MB
majestic_scorch v26 1111 games, 1697280 moves, e=0.010, loss: 1.1, ., 53.3% elo% vs. v25, avg. reward: 0.857, 6.885 sec/game, 11.6 min. total, 485.0 MB
majestic_scorch v26 1112 games, 1700410 moves, e=0.010, loss: 1.1, +, 55.4% elo% vs. v25, avg. reward: 0.857, 6.866 sec/game, 11.8 min. total, 481.9 MB
majestic_scorch v26 1113 games, 1703523 moves, e=0.010, loss: 1.1, +, 57.4% elo% vs. v25, avg. reward: 0.857, 6.827 sec/game, 11.9 min. total, 483.1 MB
majestic_scorch v26 1114 games, 1706480 moves, e=0.010, loss: 1.1, +, 59.3% elo% vs. v25, avg. reward: 0.858, 6.778 sec/game, 12.0 min. total, 483.3 MB
majestic_scorch v26 1115 games, 1709439 moves, e=0.010, loss: 1.2, -, 56.7% elo% vs. v25, avg. reward: 0.858, 6.745 sec/game, 12.1 min. total, 480.2 MB
majestic_scorch v26 1116 games, 1712477 moves, e=0.010, loss: 1.2, +, 58.6% elo% vs. v25, avg. reward: 0.858, 6.705 sec/game, 12.2 min. total, 480.7 MB
majestic_scorch v26 1117 games, 1715486 moves, e=0.010, loss: 1.3, -, 56.0% elo% vs. v25, avg. reward: 0.858, 6.676 sec/game, 12.3 min. total, 483.2 MB
majestic_scorch v26 1118 games, 1718862 moves, e=0.010, loss: 1.2, -, 53.4% elo% vs. v25, avg. reward: 0.854, 6.688 sec/game, 12.4 min. total, 488.0 MB
majestic_scorch v26 1119 games, 1722233 moves, e=0.010, loss: 1.2, +, 55.5% elo% vs. v25, avg. reward: 0.852, 6.687 sec/game, 12.5 min. total, 488.9 MB
majestic_scorch v26 1120 games, 1725863 moves, e=0.010, loss: 1.0, +, 57.6% elo% vs. v25, avg. reward: 0.848, 6.723 sec/game, 12.7 min. total, 494.4 MB
majestic_scorch v26 1121 games, 1729712 moves, e=0.010, loss: 0.9, +, 59.5% elo% vs. v25, avg. reward: 0.846, 6.823 sec/game, 12.8 min. total, 495.1 MB
majestic_scorch v26 1122 games, 1733042 moves, e=0.010, loss: 0.9, +, 61.2% elo% vs. v25, avg. reward: 0.843, 6.821 sec/game, 12.9 min. total, 493.1 MB
majestic_scorch v26 1123 games, 1736668 moves, e=0.010, loss: 0.9, +, 62.9% elo% vs. v25, avg. reward: 0.841, 6.882 sec/game, 13.0 min. total, 492.8 MB
majestic_scorch v26 1124 games, 1740137 moves, e=0.010, loss: 0.9, +, 64.5% elo% vs. v25, avg. reward: 0.841, 6.964 sec/game, 13.2 min. total, 493.3 MB
majestic_scorch v26 1125 games, 1743427 moves, e=0.010, loss: 0.9, +, 66.0% elo% vs. v25, avg. reward: 0.840, 7.039 sec/game, 13.3 min. total, 493.4 MB
majestic_scorch v26 1126 games, 1746733 moves, e=0.010, loss: 1.0, +, 67.4% elo% vs. v25, avg. reward: 0.838, 7.066 sec/game, 13.4 min. total, 497.0 MB
majestic_scorch v26 1127 games, 1749872 moves, e=0.010, loss: 1.1, -, 64.6% elo% vs. v25, avg. reward: 0.839, 7.060 sec/game, 13.5 min. total, 494.7 MB
majestic_scorch v26 1128 games, 1752973 moves, e=0.010, loss: 1.1, -, 61.8% elo% vs. v25, avg. reward: 0.839, 7.074 sec/game, 13.6 min. total, 494.3 MB
majestic_scorch v26 1129 games, 1756372 moves, e=0.010, loss: 1.1, +, 63.5% elo% vs. v25, avg. reward: 0.839, 7.059 sec/game, 13.7 min. total, 495.3 MB
majestic_scorch v26 1130 games, 1759837 moves, e=0.010, loss: 1.0, -, 60.7% elo% vs. v25, avg. reward: 0.837, 7.040 sec/game, 13.9 min. total, 497.4 MB
majestic_scorch v26 1131 games, 1763307 moves, e=0.010, loss: 1.0, +, 62.4% elo% vs. v25, avg. reward: 0.835, 7.015 sec/game, 14.0 min. total, 500.8 MB
majestic_scorch v26 1132 games, 1766420 moves, e=0.010, loss: 1.0, +, 64.0% elo% vs. v25, avg. reward: 0.836, 7.024 sec/game, 14.1 min. total, 500.6 MB
majestic_scorch v26 1133 games, 1769642 moves, e=0.010, loss: 1.1, -, 61.3% elo% vs. v25, avg. reward: 0.834, 7.029 sec/game, 14.2 min. total, 498.5 MB
majestic_scorch v26 1134 games, 1773148 moves, e=0.010, loss: 1.1, +, 63.0% elo% vs. v25, avg. reward: 0.832, 7.081 sec/game, 14.3 min. total, 502.1 MB
majestic_scorch v26 1135 games, 1776893 moves, e=0.010, loss: 1.0, ., 62.4% elo% vs. v25, avg. reward: 0.831, 7.156 sec/game, 14.5 min. total, 503.3 MB
majestic_scorch v26 1136 games, 1779936 moves, e=0.010, loss: 1.0, +, 64.0% elo% vs. v25, avg. reward: 0.827, 7.169 sec/game, 14.6 min. total, 503.6 MB
majestic_scorch v26 1137 games, 1783039 moves, e=0.010, loss: 1.0, +, 65.5% elo% vs. v25, avg. reward: 0.828, 7.163 sec/game, 14.7 min. total, 503.5 MB
majestic_scorch v26 1138 games, 1786017 moves, e=0.010, loss: 1.0, +, 66.9% elo% vs. v25, avg. reward: 0.829, 7.142 sec/game, 14.8 min. total, 503.6 MB
majestic_scorch v26 1139 games, 1789471 moves, e=0.010, loss: 1.0, +, 68.3% elo% vs. v25, avg. reward: 0.827, 7.157 sec/game, 14.9 min. total, 502.3 MB
majestic_scorch v26 1140 games, 1792834 moves, e=0.010, loss: 1.0, -, 65.5% elo% vs. v25, avg. reward: 0.825, 7.122 sec/game, 15.0 min. total, 503.8 MB
majestic_scorch v26 1141 games, 1796333 moves, e=0.010, loss: 0.9, +, 66.9% elo% vs. v25, avg. reward: 0.824, 7.079 sec/game, 15.2 min. total, 506.5 MB
majestic_scorch v26 1142 games, 1799189 moves, e=0.010, loss: 1.1, +, 68.2% elo% vs. v25, avg. reward: 0.826, 7.041 sec/game, 15.3 min. total, 502.1 MB
majestic_scorch v26 1143 games, 1802380 moves, e=0.010, loss: 1.1, +, 69.5% elo% vs. v25, avg. reward: 0.828, 7.000 sec/game, 15.4 min. total, 500.8 MB
majestic_scorch v26 1144 games, 1805763 moves, e=0.010, loss: 1.1, -, 66.7% elo% vs. v25, avg. reward: 0.826, 6.979 sec/game, 15.5 min. total, 503.5 MB
majestic_scorch v26 1145 games, 1808934 moves, e=0.010, loss: 1.0, -, 63.9% elo% vs. v25, avg. reward: 0.825, 6.958 sec/game, 15.6 min. total, 502.8 MB
majestic_scorch v26 1146 games, 1812036 moves, e=0.010, loss: 1.1, -, 61.2% elo% vs. v25, avg. reward: 0.823, 6.933 sec/game, 15.7 min. total, 506.7 MB
majestic_scorch v26 1147 games, 1815105 moves, e=0.010, loss: 1.1, +, 62.9% elo% vs. v25, avg. reward: 0.820, 6.945 sec/game, 15.8 min. total, 509.3 MB
majestic_scorch v26 1148 games, 1818488 moves, e=0.010, loss: 1.1, -, 60.1% elo% vs. v25, avg. reward: 0.818, 6.957 sec/game, 15.9 min. total, 508.8 MB
majestic_scorch v26 1149 games, 1821823 moves, e=0.010, loss: 1.2, ., 59.7% elo% vs. v25, avg. reward: 0.817, 6.967 sec/game, 16.1 min. total, 508.4 MB
majestic_scorch v26 1150 games, 1825170 moves, e=0.010, loss: 1.1, ., 59.2% elo% vs. v25, avg. reward: 0.818, 6.961 sec/game, 16.2 min. total, 507.6 MB
majestic_scorch v26 1151 games, 1828532 moves, e=0.010, loss: 1.1, -, 56.6% elo% vs. v25, avg. reward: 0.818, 6.948 sec/game, 16.3 min. total, 511.3 MB
majestic_scorch v26 1152 games, 1832098 moves, e=0.010, loss: 1.2, +, 58.5% elo% vs. v25, avg. reward: 0.819, 6.978 sec/game, 16.4 min. total, 510.8 MB
majestic_scorch v26 1153 games, 1835506 moves, e=0.010, loss: 1.1, ., 58.2% elo% vs. v25, avg. reward: 0.819, 6.994 sec/game, 16.5 min. total, 513.6 MB
majestic_scorch v26 1154 games, 1839043 moves, e=0.010, loss: 1.2, +, 60.0% elo% vs. v25, avg. reward: 0.818, 7.014 sec/game, 16.7 min. total, 513.3 MB
majestic_scorch v26 1155 games, 1842660 moves, e=0.010, loss: 1.2, +, 61.8% elo% vs. v25, avg. reward: 0.817, 7.007 sec/game, 16.8 min. total, 514.7 MB
majestic_scorch v26 1156 games, 1846130 moves, e=0.010, loss: 1.1, -, 59.1% elo% vs. v25, avg. reward: 0.816, 7.036 sec/game, 16.9 min. total, 513.8 MB
majestic_scorch v26 1157 games, 1849570 moves, e=0.010, loss: 1.1, +, 60.9% elo% vs. v25, avg. reward: 0.815, 7.074 sec/game, 17.0 min. total, 516.6 MB
majestic_scorch v26 1158 games, 1852797 moves, e=0.010, loss: 1.1, -, 58.2% elo% vs. v25, avg. reward: 0.813, 7.084 sec/game, 17.2 min. total, 516.0 MB
majestic_scorch v26 1159 games, 1856261 moves, e=0.010, loss: 1.0, +, 60.0% elo% vs. v25, avg. reward: 0.809, 7.093 sec/game, 17.3 min. total, 518.8 MB
majestic_scorch v26 1160 games, 1859787 moves, e=0.010, loss: 1.1, +, 61.8% elo% vs. v25, avg. reward: 0.806, 7.106 sec/game, 17.4 min. total, 520.7 MB
majestic_scorch v26 1161 games, 1863068 moves, e=0.010, loss: 1.0, +, 63.4% elo% vs. v25, avg. reward: 0.803, 7.100 sec/game, 17.5 min. total, 518.8 MB
majestic_scorch v26 1162 games, 1866372 moves, e=0.010, loss: 1.0, +, 65.0% elo% vs. v25, avg. reward: 0.803, 7.139 sec/game, 17.6 min. total, 518.9 MB
majestic_scorch v26 1163 games, 1869364 moves, e=0.010, loss: 1.0, -, 62.2% elo% vs. v25, avg. reward: 0.804, 7.109 sec/game, 17.7 min. total, 518.6 MB
majestic_scorch v26 1164 games, 1872084 moves, e=0.010, loss: 1.1, -, 59.5% elo% vs. v25, avg. reward: 0.806, 7.048 sec/game, 17.8 min. total, 518.2 MB
majestic_scorch v26 1165 games, 1875393 moves, e=0.010, loss: 1.1, +, 61.3% elo% vs. v25, avg. reward: 0.806, 7.057 sec/game, 18.0 min. total, 520.1 MB
majestic_scorch v26 1166 games, 1878241 moves, e=0.010, loss: 1.2, -, 58.6% elo% vs. v25, avg. reward: 0.806, 7.039 sec/game, 18.1 min. total, 518.5 MB
majestic_scorch v26 1167 games, 1881573 moves, e=0.010, loss: 1.2, -, 55.9% elo% vs. v25, avg. reward: 0.806, 7.053 sec/game, 18.2 min. total, 520.1 MB
majestic_scorch v26 1168 games, 1885223 moves, e=0.010, loss: 1.0, -, 53.4% elo% vs. v25, avg. reward: 0.806, 7.087 sec/game, 18.3 min. total, 525.2 MB
majestic_scorch v26 1169 games, 1888735 moves, e=0.010, loss: 1.1, -, 50.9% elo% vs. v25, avg. reward: 0.806, 7.092 sec/game, 18.4 min. total, 526.3 MB
majestic_scorch v26 1170 games, 1892117 moves, e=0.010, loss: 1.2, ., 50.9% elo% vs. v25, avg. reward: 0.806, 7.093 sec/game, 18.5 min. total, 524.6 MB
majestic_scorch v26 1171 games, 1895199 moves, e=0.010, loss: 1.2, -, 48.5% elo% vs. v25, avg. reward: 0.808, 7.068 sec/game, 18.7 min. total, 527.8 MB
majestic_scorch v26 1172 games, 1898520 moves, e=0.010, loss: 1.2, ., 48.6% elo% vs. v25, avg. reward: 0.808, 7.041 sec/game, 18.8 min. total, 527.0 MB
majestic_scorch v26 1173 games, 1901759 moves, e=0.010, loss: 1.2, -, 46.4% elo% vs. v25, avg. reward: 0.808, 7.030 sec/game, 18.9 min. total, 528.0 MB
majestic_scorch v26 1174 games, 1905330 moves, e=0.010, loss: 1.1, +, 48.8% elo% vs. v25, avg. reward: 0.806, 7.021 sec/game, 19.0 min. total, 527.9 MB
majestic_scorch v26 1175 games, 1909073 moves, e=0.010, loss: 1.2, +, 51.2% elo% vs. v25, avg. reward: 0.805, 7.029 sec/game, 19.1 min. total, 531.2 MB
majestic_scorch v26 1176 games, 1912504 moves, e=0.010, loss: 1.0, +, 53.4% elo% vs. v25, avg. reward: 0.805, 7.033 sec/game, 19.3 min. total, 531.4 MB
majestic_scorch v26 1177 games, 1916249 moves, e=0.010, loss: 1.0, +, 55.6% elo% vs. v25, avg. reward: 0.803, 7.058 sec/game, 19.4 min. total, 532.9 MB
majestic_scorch v26 1178 games, 1919684 moves, e=0.010, loss: 1.0, -, 53.0% elo% vs. v25, avg. reward: 0.802, 7.083 sec/game, 19.5 min. total, 533.6 MB
majestic_scorch v26 1179 games, 1923197 moves, e=0.010, loss: 0.9, ., 52.9% elo% vs. v25, avg. reward: 0.802, 7.081 sec/game, 19.6 min. total, 533.7 MB
majestic_scorch v26 1180 games, 1926700 moves, e=0.010, loss: 0.9, +, 55.0% elo% vs. v25, avg. reward: 0.804, 7.099 sec/game, 19.8 min. total, 531.7 MB
majestic_scorch v26 1181 games, 1930017 moves, e=0.010, loss: 0.9, -, 52.5% elo% vs. v25, avg. reward: 0.805, 7.100 sec/game, 19.9 min. total, 530.6 MB
majestic_scorch v26 1182 games, 1933346 moves, e=0.010, loss: 1.0, ., 52.4% elo% vs. v25, avg. reward: 0.806, 7.104 sec/game, 20.0 min. total, 535.4 MB
majestic_scorch v26 1183 games, 1936589 moves, e=0.010, loss: 1.0, ., 52.3% elo% vs. v25, avg. reward: 0.808, 7.140 sec/game, 20.1 min. total, 532.9 MB
majestic_scorch v26 1184 games, 1940096 moves, e=0.010, loss: 1.0, +, 54.5% elo% vs. v25, avg. reward: 0.809, 7.256 sec/game, 20.3 min. total, 535.8 MB
majestic_scorch v26 1185 games, 1943655 moves, e=0.010, loss: 0.9, -, 52.0% elo% vs. v25, avg. reward: 0.808, 7.274 sec/game, 20.4 min. total, 537.2 MB
majestic_scorch v26 1186 games, 1947120 moves, e=0.010, loss: 0.9, +, 54.2% elo% vs. v25, avg. reward: 0.807, 7.332 sec/game, 20.5 min. total, 537.3 MB
majestic_scorch v26 1187 games, 1950600 moves, e=0.010, loss: 1.0, -, 51.7% elo% vs. v25, avg. reward: 0.807, 7.361 sec/game, 20.6 min. total, 537.3 MB
majestic_scorch v26 1188 games, 1954109 moves, e=0.010, loss: 1.0, -, 49.3% elo% vs. v25, avg. reward: 0.807, 7.332 sec/game, 20.7 min. total, 539.8 MB
majestic_scorch v26 1189 games, 1957542 moves, e=0.010, loss: 1.1, +, 51.6% elo% vs. v25, avg. reward: 0.808, 7.334 sec/game, 20.9 min. total, 537.6 MB
majestic_scorch v26 1190 games, 1960756 moves, e=0.010, loss: 1.1, -, 49.3% elo% vs. v25, avg. reward: 0.811, 7.320 sec/game, 21.0 min. total, 536.9 MB
majestic_scorch v26 1191 games, 1964004 moves, e=0.010, loss: 1.0, -, 47.0% elo% vs. v25, avg. reward: 0.811, 7.334 sec/game, 21.1 min. total, 537.4 MB
majestic_scorch v26 1192 games, 1966938 moves, e=0.010, loss: 1.1, +, 49.4% elo% vs. v25, avg. reward: 0.813, 7.293 sec/game, 21.2 min. total, 539.9 MB
majestic_scorch v26 1193 games, 1969472 moves, e=0.010, loss: 1.2, +, 51.8% elo% vs. v25, avg. reward: 0.816, 7.232 sec/game, 21.3 min. total, 538.9 MB
majestic_scorch v26 1194 games, 1973013 moves, e=0.010, loss: 1.2, +, 54.0% elo% vs. v25, avg. reward: 0.814, 7.245 sec/game, 21.4 min. total, 537.8 MB
majestic_scorch v26 1195 games, 1976497 moves, e=0.010, loss: 1.1, ., 53.8% elo% vs. v25, avg. reward: 0.814, 7.223 sec/game, 21.5 min. total, 539.0 MB
majestic_scorch v26 1196 games, 1980233 moves, e=0.010, loss: 0.9, -, 51.3% elo% vs. v25, avg. reward: 0.813, 7.247 sec/game, 21.7 min. total, 541.3 MB
majestic_scorch v26 1197 games, 1983828 moves, e=0.010, loss: 0.8, +, 53.6% elo% vs. v25, avg. reward: 0.813, 7.244 sec/game, 21.8 min. total, 542.3 MB
majestic_scorch v26 1198 games, 1986465 moves, e=0.010, loss: 0.9, +, 55.7% elo% vs. v25, avg. reward: 0.815, 7.170 sec/game, 21.9 min. total, 541.8 MB
majestic_scorch v26 1199 games, 1989477 moves, e=0.010, loss: 1.0, -, 53.1% elo% vs. v25, avg. reward: 0.816, 7.114 sec/game, 22.0 min. total, 541.8 MB
majestic_scorch v26 1200 games, 1992854 moves, e=0.010, loss: 1.1, ., 53.0% elo% vs. v25, avg. reward: 0.817, 7.095 sec/game, 22.1 min. total, 545.8 MB
majestic_scorch v26 1201 games, 1996162 moves, e=0.010, loss: 1.0, +, 55.1% elo% vs. v25, avg. reward: 0.816, 7.099 sec/game, 22.3 min. total, 545.4 MB
majestic_scorch v26 1202 games, 1999567 moves, e=0.010, loss: 1.0, +, 57.2% elo% vs. v25, avg. reward: 0.816, 7.102 sec/game, 22.4 min. total, 549.5 MB
majestic_scorch v26 1203 games, 2003005 moves, e=0.010, loss: 1.0, +, 59.1% elo% vs. v25, avg. reward: 0.815, 7.116 sec/game, 22.5 min. total, 547.0 MB
majestic_scorch v26 1204 games, 2006186 moves, e=0.010, loss: 1.0, -, 56.4% elo% vs. v25, avg. reward: 0.814, 7.053 sec/game, 22.6 min. total, 548.6 MB
majestic_scorch v26 1205 games, 2009462 moves, e=0.010, loss: 1.0, +, 58.4% elo% vs. v25, avg. reward: 0.812, 7.027 sec/game, 22.7 min. total, 548.7 MB
majestic_scorch v26 1206 games, 2012652 moves, e=0.010, loss: 1.0, +, 60.3% elo% vs. v25, avg. reward: 0.812, 6.998 sec/game, 22.8 min. total, 545.9 MB
