cherub_squatting v2 156 games, 69186 moves, e=0.932, loss: nan, ., 22.9% elo% vs. random_bot, avg. reward: -12.986, 0.199 sec/game, 0.5 min. total, 552.6 MB
cherub_squatting v2 158 games, 69928 moves, e=0.931, loss: nan, -, 22.2% elo% vs. random_bot, avg. reward: -13.052, 0.198 sec/game, 0.5 min. total, 555.9 MB
cherub_squatting v2 160 games, 70747 moves, e=0.930, loss: nan, -, 21.5% elo% vs. random_bot, avg. reward: -13.094, 0.197 sec/game, 0.5 min. total, 559.6 MB
cherub_squatting v2 162 games, 71541 moves, e=0.929, loss: nan, -, 20.8% elo% vs. random_bot, avg. reward: -13.139, 0.199 sec/game, 0.5 min. total, 562.8 MB
cherub_squatting v2 164 games, 72343 moves, e=0.928, loss: nan, -, 20.2% elo% vs. random_bot, avg. reward: -13.173, 0.207 sec/game, 0.5 min. total, 565.0 MB
cherub_squatting v2 166 games, 73109 moves, e=0.928, loss: nan, -, 19.6% elo% vs. random_bot, avg. reward: -13.257, 0.206 sec/game, 0.5 min. total, 565.4 MB
cherub_squatting v2 168 games, 73854 moves, e=0.927, loss: nan, -, 19.0% elo% vs. random_bot, avg. reward: -13.306, 0.206 sec/game, 0.5 min. total, 565.8 MB
cherub_squatting v2 170 games, 74658 moves, e=0.926, loss: nan, -, 18.5% elo% vs. random_bot, avg. reward: -13.358, 0.206 sec/game, 0.5 min. total, 566.8 MB
cherub_squatting v2 172 games, 75408 moves, e=0.925, loss: nan, -, 18.0% elo% vs. random_bot, avg. reward: -13.373, 0.206 sec/game, 0.5 min. total, 567.5 MB
cherub_squatting v2 174 games, 76164 moves, e=0.925, loss: nan, -, 17.5% elo% vs. random_bot, avg. reward: -13.431, 0.212 sec/game, 0.6 min. total, 569.3 MB
cherub_squatting v2 176 games, 77033 moves, e=0.924, loss: nan, -, 17.1% elo% vs. random_bot, avg. reward: -13.435, 0.215 sec/game, 0.6 min. total, 571.2 MB
cherub_squatting v2 178 games, 77756 moves, e=0.923, loss: nan, -, 16.6% elo% vs. random_bot, avg. reward: -13.502, 0.216 sec/game, 0.6 min. total, 572.8 MB
cherub_squatting v2 180 games, 78470 moves, e=0.922, loss: nan, -, 16.2% elo% vs. random_bot, avg. reward: -13.567, 0.216 sec/game, 0.6 min. total, 574.7 MB
cherub_squatting v2 182 games, 79275 moves, e=0.922, loss: nan, -, 15.8% elo% vs. random_bot, avg. reward: -13.611, 0.216 sec/game, 0.6 min. total, 576.8 MB
cherub_squatting v2 184 games, 80080 moves, e=0.921, loss: nan, -, 15.4% elo% vs. random_bot, avg. reward: -13.618, 0.210 sec/game, 0.6 min. total, 579.0 MB
cherub_squatting v2 186 games, 80811 moves, e=0.920, loss: nan, -, 15.0% elo% vs. random_bot, avg. reward: -13.664, 0.211 sec/game, 0.6 min. total, 581.0 MB
cherub_squatting v2 188 games, 81591 moves, e=0.919, loss: nan, -, 14.7% elo% vs. random_bot, avg. reward: -13.690, 0.212 sec/game, 0.6 min. total, 583.5 MB
cherub_squatting v2 190 games, 82302 moves, e=0.919, loss: nan, -, 14.4% elo% vs. random_bot, avg. reward: -13.735, 0.211 sec/game, 0.6 min. total, 585.7 MB
cherub_squatting v2 192 games, 83036 moves, e=0.918, loss: nan, -, 14.0% elo% vs. random_bot, avg. reward: -13.786, 0.212 sec/game, 0.6 min. total, 588.8 MB
cherub_squatting v2 194 games, 83849 moves, e=0.917, loss: nan, -, 13.7% elo% vs. random_bot, avg. reward: -13.827, 0.211 sec/game, 0.6 min. total, 591.3 MB
