unlaced_neglector v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
unlaced_neglector v1 45 games, 32274 moves, e=0.968, loss: 81.2, +, 70.2% elo% vs. v0, avg. reward: -0.052, 1.632 sec/game, 0.9 min. total, 405.1 MB
unlaced_neglector v2 46 games, 32898 moves, e=0.967, loss: 78.7, +, 54.5% elo% vs. v1, avg. reward: -0.096, 1.623 sec/game, 0.9 min. total, 469.2 MB
unlaced_neglector v2 47 games, 33626 moves, e=0.967, loss: 81.0, +, 56.6% elo% vs. v1, avg. reward: -0.132, 1.610 sec/game, 0.9 min. total, 469.2 MB
unlaced_neglector v2 48 games, 34303 moves, e=0.966, loss: 89.2, ., 56.3% elo% vs. v1, avg. reward: -0.071, 1.589 sec/game, 1.0 min. total, 469.6 MB
unlaced_neglector v2 49 games, 35024 moves, e=0.965, loss: 89.6, +, 58.2% elo% vs. v1, avg. reward: -0.062, 1.599 sec/game, 1.0 min. total, 469.5 MB
unlaced_neglector v2 50 games, 35681 moves, e=0.965, loss: 92.7, +, 60.1% elo% vs. v1, avg. reward: -0.098, 1.593 sec/game, 1.0 min. total, 469.3 MB
unlaced_neglector v2 51 games, 36493 moves, e=0.964, loss: 93.3, +, 61.8% elo% vs. v1, avg. reward: -0.086, 1.603 sec/game, 1.0 min. total, 469.9 MB
unlaced_neglector v2 52 games, 37111 moves, e=0.963, loss: 100.6, +, 63.5% elo% vs. v1, avg. reward: -0.070, 1.569 sec/game, 1.1 min. total, 469.8 MB
unlaced_neglector v2 53 games, 37963 moves, e=0.962, loss: 107.8, ., 62.9% elo% vs. v1, avg. reward: 0.113, 1.591 sec/game, 1.1 min. total, 470.4 MB
unlaced_neglector v2 54 games, 38589 moves, e=0.962, loss: 111.6, +, 64.5% elo% vs. v1, avg. reward: 0.146, 1.551 sec/game, 1.1 min. total, 471.7 MB
unlaced_neglector v2 55 games, 39313 moves, e=0.961, loss: 118.7, +, 66.0% elo% vs. v1, avg. reward: 0.205, 1.539 sec/game, 1.1 min. total, 475.9 MB
unlaced_neglector v2 56 games, 40099 moves, e=0.960, loss: 119.5, +, 67.4% elo% vs. v1, avg. reward: 0.308, 1.542 sec/game, 1.2 min. total, 476.4 MB
unlaced_neglector v2 57 games, 40765 moves, e=0.960, loss: 122.0, ., 66.7% elo% vs. v1, avg. reward: 0.309, 1.523 sec/game, 1.2 min. total, 477.8 MB
unlaced_neglector v2 58 games, 41500 moves, e=0.959, loss: 121.9, ., 66.0% elo% vs. v1, avg. reward: 0.266, 1.524 sec/game, 1.2 min. total, 479.8 MB
unlaced_neglector v2 59 games, 42201 moves, e=0.958, loss: 134.9, ., 65.3% elo% vs. v1, avg. reward: 0.302, 1.512 sec/game, 1.2 min. total, 479.8 MB
unlaced_neglector v2 60 games, 43020 moves, e=0.957, loss: 126.9, +, 66.7% elo% vs. v1, avg. reward: 0.363, 1.547 sec/game, 1.3 min. total, 479.3 MB
unlaced_neglector v2 61 games, 43781 moves, e=0.957, loss: 138.5, -, 64.0% elo% vs. v1, avg. reward: 0.372, 1.578 sec/game, 1.3 min. total, 479.7 MB
unlaced_neglector v2 62 games, 44405 moves, e=0.956, loss: 143.6, ., 63.4% elo% vs. v1, avg. reward: 0.366, 1.542 sec/game, 1.3 min. total, 479.7 MB
unlaced_neglector v2 63 games, 45234 moves, e=0.955, loss: 143.7, -, 60.6% elo% vs. v1, avg. reward: 0.466, 1.567 sec/game, 1.4 min. total, 479.6 MB
unlaced_neglector v2 64 games, 46015 moves, e=0.954, loss: 149.7, +, 62.3% elo% vs. v1, avg. reward: 0.557, 1.567 sec/game, 1.4 min. total, 479.9 MB
unlaced_neglector v2 65 games, 46760 moves, e=0.954, loss: 159.2, +, 63.9% elo% vs. v1, avg. reward: 0.547, 1.563 sec/game, 1.4 min. total, 480.1 MB
unlaced_neglector v2 66 games, 47571 moves, e=0.953, loss: 165.3, -, 61.2% elo% vs. v1, avg. reward: 0.536, 1.603 sec/game, 1.4 min. total, 479.8 MB
unlaced_neglector v2 67 games, 48356 moves, e=0.952, loss: 158.7, -, 58.5% elo% vs. v1, avg. reward: 0.504, 1.623 sec/game, 1.5 min. total, 480.4 MB
unlaced_neglector v2 68 games, 49226 moves, e=0.951, loss: 164.3, +, 60.3% elo% vs. v1, avg. reward: 0.529, 1.667 sec/game, 1.5 min. total, 481.1 MB
unlaced_neglector v2 69 games, 49938 moves, e=0.951, loss: 165.2, +, 62.1% elo% vs. v1, avg. reward: 0.540, 1.676 sec/game, 1.5 min. total, 482.2 MB
unlaced_neglector v2 70 games, 50701 moves, e=0.950, loss: 173.3, +, 63.7% elo% vs. v1, avg. reward: 0.586, 1.696 sec/game, 1.6 min. total, 483.6 MB
