irritably_crown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 281.5 MB
irritably_crown v3 86 games, 61751 moves, e=0.939, loss: 18.4, -, 15.8% elo% vs. random_no_suicide, avg. reward: -6.054, 1.814 sec/game, 2.3 min. total, 348.2 MB
irritably_crown v3 87 games, 62500 moves, e=0.938, loss: 18.0, -, 15.4% elo% vs. random_no_suicide, avg. reward: -6.043, 1.807 sec/game, 2.3 min. total, 348.2 MB
irritably_crown v3 88 games, 63186 moves, e=0.937, loss: 19.1, -, 15.0% elo% vs. random_no_suicide, avg. reward: -6.050, 1.803 sec/game, 2.4 min. total, 347.7 MB
irritably_crown v3 89 games, 63972 moves, e=0.937, loss: 18.1, -, 14.7% elo% vs. random_no_suicide, avg. reward: -6.039, 1.783 sec/game, 2.4 min. total, 348.7 MB
irritably_crown v3 90 games, 64737 moves, e=0.936, loss: 16.9, -, 14.3% elo% vs. random_no_suicide, avg. reward: -6.032, 1.798 sec/game, 2.4 min. total, 350.0 MB
irritably_crown v3 91 games, 65578 moves, e=0.935, loss: 17.4, -, 14.0% elo% vs. random_no_suicide, avg. reward: -6.017, 1.817 sec/game, 2.4 min. total, 350.8 MB
irritably_crown v3 92 games, 66343 moves, e=0.934, loss: 19.2, -, 13.7% elo% vs. random_no_suicide, avg. reward: -6.011, 1.815 sec/game, 2.5 min. total, 350.9 MB
irritably_crown v3 93 games, 67023 moves, e=0.934, loss: 19.2, -, 13.4% elo% vs. random_no_suicide, avg. reward: -6.017, 1.765 sec/game, 2.5 min. total, 351.5 MB
irritably_crown v3 94 games, 67717 moves, e=0.933, loss: 19.4, -, 13.1% elo% vs. random_no_suicide, avg. reward: -6.024, 1.763 sec/game, 2.5 min. total, 351.3 MB
irritably_crown v3 95 games, 68487 moves, e=0.932, loss: 19.6, -, 12.9% elo% vs. random_no_suicide, avg. reward: -6.019, 1.741 sec/game, 2.5 min. total, 351.0 MB
irritably_crown v3 96 games, 69157 moves, e=0.932, loss: 20.3, -, 12.6% elo% vs. random_no_suicide, avg. reward: -6.031, 1.709 sec/game, 2.6 min. total, 348.2 MB
irritably_crown v3 97 games, 69912 moves, e=0.931, loss: 20.0, -, 12.3% elo% vs. random_no_suicide, avg. reward: -6.025, 1.690 sec/game, 2.6 min. total, 348.3 MB
irritably_crown v3 98 games, 70775 moves, e=0.930, loss: 19.4, -, 12.1% elo% vs. random_no_suicide, avg. reward: -6.010, 1.722 sec/game, 2.6 min. total, 347.5 MB
irritably_crown v3 99 games, 71537 moves, e=0.929, loss: 19.8, -, 11.9% elo% vs. random_no_suicide, avg. reward: -6.008, 1.740 sec/game, 2.7 min. total, 347.5 MB
irritably_crown v3 100 games, 72299 moves, e=0.928, loss: 21.0, -, 11.6% elo% vs. random_no_suicide, avg. reward: -6.005, 1.762 sec/game, 2.7 min. total, 347.7 MB
irritably_crown v4 101 games, 72964 moves, e=0.928, loss: 19.3, -, 47.7% elo% vs. random_no_suicide, avg. reward: -6.013, 1.767 sec/game, 2.7 min. total, 348.5 MB
irritably_crown v4 102 games, 73611 moves, e=0.927, loss: 19.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: -6.010, 1.782 sec/game, 2.8 min. total, 350.0 MB
irritably_crown v4 103 games, 74366 moves, e=0.926, loss: 18.5, -, 43.4% elo% vs. random_no_suicide, avg. reward: -6.011, 1.795 sec/game, 2.8 min. total, 349.8 MB
irritably_crown v4 104 games, 75103 moves, e=0.926, loss: 18.7, -, 41.5% elo% vs. random_no_suicide, avg. reward: -6.014, 1.789 sec/game, 2.8 min. total, 349.9 MB
irritably_crown v4 105 games, 75787 moves, e=0.925, loss: 18.6, -, 39.6% elo% vs. random_no_suicide, avg. reward: -6.023, 1.794 sec/game, 2.9 min. total, 349.8 MB
irritably_crown v4 106 games, 76444 moves, e=0.924, loss: 18.6, -, 37.9% elo% vs. random_no_suicide, avg. reward: -6.026, 1.794 sec/game, 2.9 min. total, 349.7 MB
irritably_crown v4 107 games, 77143 moves, e=0.924, loss: 19.8, -, 36.3% elo% vs. random_no_suicide, avg. reward: -6.041, 1.782 sec/game, 2.9 min. total, 349.9 MB
irritably_crown v4 108 games, 77867 moves, e=0.923, loss: 18.7, -, 34.8% elo% vs. random_no_suicide, avg. reward: -6.034, 1.795 sec/game, 2.9 min. total, 349.7 MB
irritably_crown v4 109 games, 78554 moves, e=0.922, loss: 19.9, -, 33.3% elo% vs. random_no_suicide, avg. reward: -6.008, 1.789 sec/game, 3.0 min. total, 347.5 MB
irritably_crown v4 110 games, 79353 moves, e=0.921, loss: 20.5, -, 32.0% elo% vs. random_no_suicide, avg. reward: -5.995, 1.783 sec/game, 3.0 min. total, 348.2 MB
irritably_crown v4 111 games, 80096 moves, e=0.921, loss: 20.6, -, 30.7% elo% vs. random_no_suicide, avg. reward: -5.986, 1.798 sec/game, 3.0 min. total, 344.9 MB
irritably_crown v4 112 games, 80718 moves, e=0.920, loss: 19.9, -, 29.5% elo% vs. random_no_suicide, avg. reward: -6.002, 1.784 sec/game, 3.1 min. total, 344.6 MB
irritably_crown v4 113 games, 81501 moves, e=0.919, loss: 17.8, -, 28.4% elo% vs. random_no_suicide, avg. reward: -5.985, 1.797 sec/game, 3.1 min. total, 344.9 MB
irritably_crown v4 114 games, 82331 moves, e=0.918, loss: 17.7, -, 27.3% elo% vs. random_no_suicide, avg. reward: -5.978, 1.813 sec/game, 3.1 min. total, 345.9 MB
irritably_crown v4 115 games, 83109 moves, e=0.918, loss: 19.0, -, 26.4% elo% vs. random_no_suicide, avg. reward: -5.971, 1.815 sec/game, 3.2 min. total, 345.9 MB
irritably_crown v4 116 games, 83830 moves, e=0.917, loss: 19.7, -, 25.4% elo% vs. random_no_suicide, avg. reward: -5.970, 1.845 sec/game, 3.2 min. total, 344.7 MB
irritably_crown v4 117 games, 84521 moves, e=0.916, loss: 22.5, -, 24.5% elo% vs. random_no_suicide, avg. reward: -5.971, 1.845 sec/game, 3.2 min. total, 345.0 MB
irritably_crown v4 118 games, 85170 moves, e=0.916, loss: 22.4, -, 23.7% elo% vs. random_no_suicide, avg. reward: -5.981, 1.782 sec/game, 3.2 min. total, 343.9 MB
irritably_crown v4 119 games, 86023 moves, e=0.915, loss: 21.2, -, 22.9% elo% vs. random_no_suicide, avg. reward: -5.950, 1.782 sec/game, 3.3 min. total, 343.3 MB
irritably_crown v4 120 games, 86763 moves, e=0.914, loss: 20.7, -, 22.2% elo% vs. random_no_suicide, avg. reward: -5.947, 1.752 sec/game, 3.3 min. total, 342.7 MB
irritably_crown v4 121 games, 87566 moves, e=0.913, loss: 20.2, -, 21.5% elo% vs. random_no_suicide, avg. reward: -5.933, 1.813 sec/game, 3.3 min. total, 342.8 MB
irritably_crown v4 122 games, 88226 moves, e=0.913, loss: 21.5, -, 20.8% elo% vs. random_no_suicide, avg. reward: -5.934, 1.804 sec/game, 3.4 min. total, 343.3 MB
irritably_crown v4 123 games, 88968 moves, e=0.912, loss: 21.7, -, 20.2% elo% vs. random_no_suicide, avg. reward: -5.931, 1.820 sec/game, 3.4 min. total, 344.5 MB
irritably_crown v4 124 games, 89796 moves, e=0.911, loss: 22.7, -, 19.6% elo% vs. random_no_suicide, avg. reward: -5.922, 1.835 sec/game, 3.4 min. total, 346.1 MB
irritably_crown v4 125 games, 90568 moves, e=0.910, loss: 21.0, -, 19.1% elo% vs. random_no_suicide, avg. reward: -5.917, 1.829 sec/game, 3.5 min. total, 345.6 MB
irritably_crown v4 126 games, 91282 moves, e=0.910, loss: 21.7, -, 18.5% elo% vs. random_no_suicide, avg. reward: -5.918, 1.827 sec/game, 3.5 min. total, 346.5 MB
irritably_crown v4 127 games, 92091 moves, e=0.909, loss: 23.2, -, 18.0% elo% vs. random_no_suicide, avg. reward: -5.905, 1.834 sec/game, 3.5 min. total, 345.9 MB
irritably_crown v4 128 games, 92784 moves, e=0.908, loss: 24.7, -, 17.5% elo% vs. random_no_suicide, avg. reward: -5.908, 1.815 sec/game, 3.6 min. total, 346.5 MB
irritably_crown v4 129 games, 93712 moves, e=0.907, loss: 23.4, -, 17.1% elo% vs. random_no_suicide, avg. reward: -5.887, 1.852 sec/game, 3.6 min. total, 346.4 MB
irritably_crown v4 130 games, 94490 moves, e=0.906, loss: 22.1, -, 16.6% elo% vs. random_no_suicide, avg. reward: -5.876, 1.847 sec/game, 3.6 min. total, 346.4 MB
irritably_crown v4 131 games, 95136 moves, e=0.906, loss: 23.0, -, 16.2% elo% vs. random_no_suicide, avg. reward: -5.895, 1.811 sec/game, 3.6 min. total, 346.4 MB
irritably_crown v4 132 games, 95871 moves, e=0.905, loss: 23.8, -, 15.8% elo% vs. random_no_suicide, avg. reward: -5.881, 1.817 sec/game, 3.7 min. total, 346.4 MB
irritably_crown v4 133 games, 96553 moves, e=0.904, loss: 24.1, -, 15.4% elo% vs. random_no_suicide, avg. reward: -5.887, 1.819 sec/game, 3.7 min. total, 346.2 MB
irritably_crown v4 134 games, 97321 moves, e=0.904, loss: 23.2, -, 15.1% elo% vs. random_no_suicide, avg. reward: -5.884, 1.823 sec/game, 3.7 min. total, 347.9 MB
