wiring_happiest v3 70 games, 49992 moves, e=0.951, loss: 5.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: -8.512, 1.293 sec/game, 1.3 min. total, 466.7 MB
wiring_happiest v3 71 games, 50572 moves, e=0.950, loss: 5.5, -, 28.3% elo% vs. random_no_suicide, avg. reward: -8.544, 1.286 sec/game, 1.3 min. total, 467.4 MB
wiring_happiest v3 72 games, 51341 moves, e=0.949, loss: 5.1, -, 27.3% elo% vs. random_no_suicide, avg. reward: -8.537, 1.283 sec/game, 1.3 min. total, 468.0 MB
wiring_happiest v3 73 games, 52059 moves, e=0.948, loss: 5.0, -, 26.3% elo% vs. random_no_suicide, avg. reward: -8.537, 1.284 sec/game, 1.4 min. total, 468.7 MB
wiring_happiest v3 74 games, 52810 moves, e=0.948, loss: 5.2, -, 25.4% elo% vs. random_no_suicide, avg. reward: -8.532, 1.296 sec/game, 1.4 min. total, 469.0 MB
wiring_happiest v3 75 games, 53523 moves, e=0.947, loss: 5.4, -, 24.5% elo% vs. random_no_suicide, avg. reward: -8.532, 1.296 sec/game, 1.4 min. total, 468.5 MB
wiring_happiest v3 76 games, 54167 moves, e=0.946, loss: 5.2, -, 23.7% elo% vs. random_no_suicide, avg. reward: -8.544, 1.298 sec/game, 1.4 min. total, 469.0 MB
wiring_happiest v3 77 games, 54861 moves, e=0.946, loss: 4.8, -, 22.9% elo% vs. random_no_suicide, avg. reward: -8.548, 1.299 sec/game, 1.4 min. total, 471.4 MB
wiring_happiest v3 78 games, 55518 moves, e=0.945, loss: 4.7, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.561, 1.291 sec/game, 1.5 min. total, 471.6 MB
wiring_happiest v3 79 games, 56193 moves, e=0.944, loss: 4.4, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.566, 1.299 sec/game, 1.5 min. total, 470.2 MB
wiring_happiest v3 80 games, 56941 moves, e=0.944, loss: 4.5, -, 20.8% elo% vs. random_no_suicide, avg. reward: -8.564, 1.291 sec/game, 1.5 min. total, 471.9 MB
wiring_happiest v3 81 games, 57607 moves, e=0.943, loss: 4.9, -, 20.2% elo% vs. random_no_suicide, avg. reward: -8.570, 1.295 sec/game, 1.5 min. total, 472.4 MB
wiring_happiest v3 82 games, 58361 moves, e=0.942, loss: 4.9, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.566, 1.307 sec/game, 1.6 min. total, 475.4 MB
wiring_happiest v3 83 games, 59130 moves, e=0.941, loss: 4.6, +, 22.0% elo% vs. random_no_suicide, avg. reward: -8.558, 1.308 sec/game, 1.6 min. total, 474.4 MB
wiring_happiest v3 84 games, 59933 moves, e=0.941, loss: 4.7, -, 21.3% elo% vs. random_no_suicide, avg. reward: -8.542, 1.333 sec/game, 1.6 min. total, 474.8 MB
wiring_happiest v3 85 games, 60779 moves, e=0.940, loss: 4.9, -, 20.7% elo% vs. random_no_suicide, avg. reward: -8.525, 1.336 sec/game, 1.6 min. total, 474.8 MB
wiring_happiest v3 86 games, 61444 moves, e=0.939, loss: 5.0, -, 20.1% elo% vs. random_no_suicide, avg. reward: -8.536, 1.339 sec/game, 1.7 min. total, 474.8 MB
wiring_happiest v3 87 games, 62321 moves, e=0.938, loss: 4.8, -, 19.5% elo% vs. random_no_suicide, avg. reward: -8.515, 1.343 sec/game, 1.7 min. total, 475.4 MB
wiring_happiest v3 88 games, 63100 moves, e=0.938, loss: 4.9, -, 18.9% elo% vs. random_no_suicide, avg. reward: -8.506, 1.354 sec/game, 1.7 min. total, 475.9 MB
wiring_happiest v3 89 games, 63954 moves, e=0.937, loss: 4.7, -, 18.4% elo% vs. random_no_suicide, avg. reward: -8.488, 1.378 sec/game, 1.7 min. total, 476.1 MB
wiring_happiest v3 90 games, 64697 moves, e=0.936, loss: 4.6, -, 17.9% elo% vs. random_no_suicide, avg. reward: -8.485, 1.377 sec/game, 1.8 min. total, 476.3 MB
wiring_happiest v3 91 games, 65464 moves, e=0.935, loss: 4.7, -, 17.4% elo% vs. random_no_suicide, avg. reward: -8.480, 1.391 sec/game, 1.8 min. total, 479.0 MB
wiring_happiest v3 92 games, 66192 moves, e=0.934, loss: 4.4, -, 17.0% elo% vs. random_no_suicide, avg. reward: -8.478, 1.391 sec/game, 1.8 min. total, 478.0 MB
wiring_happiest v3 93 games, 67009 moves, e=0.934, loss: 4.7, -, 16.5% elo% vs. random_no_suicide, avg. reward: -8.465, 1.403 sec/game, 1.8 min. total, 478.8 MB
wiring_happiest v3 94 games, 67757 moves, e=0.933, loss: 4.6, ., 17.4% elo% vs. random_no_suicide, avg. reward: -8.459, 1.404 sec/game, 1.9 min. total, 478.7 MB
wiring_happiest v3 95 games, 68617 moves, e=0.932, loss: 4.9, -, 16.9% elo% vs. random_no_suicide, avg. reward: -8.446, 1.416 sec/game, 1.9 min. total, 483.3 MB
wiring_happiest v3 96 games, 69426 moves, e=0.931, loss: 4.9, -, 16.5% elo% vs. random_no_suicide, avg. reward: -8.435, 1.431 sec/game, 1.9 min. total, 483.4 MB
wiring_happiest v3 97 games, 70154 moves, e=0.931, loss: 4.9, -, 16.1% elo% vs. random_no_suicide, avg. reward: -8.434, 1.444 sec/game, 1.9 min. total, 478.6 MB
wiring_happiest v3 98 games, 70901 moves, e=0.930, loss: 4.5, -, 15.7% elo% vs. random_no_suicide, avg. reward: -8.426, 1.447 sec/game, 2.0 min. total, 483.3 MB
wiring_happiest v3 99 games, 71649 moves, e=0.929, loss: 4.1, -, 15.3% elo% vs. random_no_suicide, avg. reward: -8.421, 1.449 sec/game, 2.0 min. total, 483.5 MB
wiring_happiest v3 100 games, 72408 moves, e=0.928, loss: 4.4, -, 15.0% elo% vs. random_no_suicide, avg. reward: -8.417, 1.461 sec/game, 2.0 min. total, 483.7 MB
wiring_happiest v4 101 games, 73241 moves, e=0.927, loss: 4.5, -, 47.7% elo% vs. random_no_suicide, avg. reward: -8.402, 1.474 sec/game, 2.0 min. total, 479.7 MB
wiring_happiest v4 102 games, 74041 moves, e=0.927, loss: 4.2, -, 45.5% elo% vs. random_no_suicide, avg. reward: -8.377, 1.490 sec/game, 2.1 min. total, 480.2 MB
wiring_happiest v4 103 games, 74711 moves, e=0.926, loss: 4.5, -, 43.4% elo% vs. random_no_suicide, avg. reward: -8.385, 1.480 sec/game, 2.1 min. total, 481.3 MB
