borough_erupt v1 83 games, 60556 moves, e=0.940, loss: nan, +, 59.3% elo% vs. v0, avg. reward: -9.657, 0.357 sec/game, 0.4 min. total, 537.8 MB
borough_erupt v1 84 games, 61188 moves, e=0.939, loss: nan, +, 61.1% elo% vs. v0, avg. reward: -9.675, 0.355 sec/game, 0.4 min. total, 541.5 MB
borough_erupt v1 85 games, 61889 moves, e=0.939, loss: nan, -, 58.4% elo% vs. v0, avg. reward: -9.680, 0.356 sec/game, 0.4 min. total, 546.0 MB
borough_erupt v1 86 games, 62611 moves, e=0.938, loss: nan, +, 60.3% elo% vs. v0, avg. reward: -9.679, 0.357 sec/game, 0.4 min. total, 550.5 MB
borough_erupt v1 87 games, 63377 moves, e=0.937, loss: nan, -, 57.6% elo% vs. v0, avg. reward: -9.673, 0.363 sec/game, 0.4 min. total, 553.0 MB
borough_erupt v1 88 games, 64108 moves, e=0.937, loss: nan, ., 57.2% elo% vs. v0, avg. reward: -9.670, 0.362 sec/game, 0.4 min. total, 553.2 MB
borough_erupt v1 89 games, 64842 moves, e=0.936, loss: nan, +, 59.2% elo% vs. v0, avg. reward: -9.670, 0.364 sec/game, 0.4 min. total, 554.4 MB
borough_erupt v1 90 games, 65555 moves, e=0.935, loss: nan, +, 61.0% elo% vs. v0, avg. reward: -9.669, 0.355 sec/game, 0.5 min. total, 555.8 MB
borough_erupt v1 91 games, 66263 moves, e=0.934, loss: nan, +, 62.7% elo% vs. v0, avg. reward: -9.671, 0.354 sec/game, 0.5 min. total, 557.6 MB
borough_erupt v1 92 games, 66909 moves, e=0.934, loss: nan, ., 62.1% elo% vs. v0, avg. reward: -9.684, 0.352 sec/game, 0.5 min. total, 559.0 MB
borough_erupt v1 93 games, 67712 moves, e=0.933, loss: nan, -, 59.4% elo% vs. v0, avg. reward: -9.676, 0.355 sec/game, 0.5 min. total, 561.0 MB
borough_erupt v1 94 games, 68419 moves, e=0.932, loss: nan, +, 61.2% elo% vs. v0, avg. reward: -9.677, 0.354 sec/game, 0.5 min. total, 563.2 MB
borough_erupt v1 95 games, 69249 moves, e=0.931, loss: nan, +, 62.9% elo% vs. v0, avg. reward: -9.661, 0.356 sec/game, 0.5 min. total, 565.1 MB
borough_erupt v1 96 games, 69932 moves, e=0.931, loss: nan, -, 60.1% elo% vs. v0, avg. reward: -9.668, 0.355 sec/game, 0.5 min. total, 567.0 MB
borough_erupt v1 97 games, 70697 moves, e=0.930, loss: nan, +, 61.9% elo% vs. v0, avg. reward: -9.665, 0.358 sec/game, 0.5 min. total, 569.5 MB
