unmanned_overtly v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
unmanned_overtly v2 48 games, 34933 moves, e=0.965, loss: 352.2, +, 67.6% elo% vs. guard_bot, avg. reward: 11.617, 1.369 sec/game, 0.9 min. total, 433.8 MB
unmanned_overtly v2 49 games, 35639 moves, e=0.965, loss: 359.5, +, 68.9% elo% vs. guard_bot, avg. reward: 11.612, 1.380 sec/game, 0.9 min. total, 434.2 MB
unmanned_overtly v2 50 games, 36411 moves, e=0.964, loss: 370.1, +, 70.1% elo% vs. guard_bot, avg. reward: 11.628, 1.398 sec/game, 0.9 min. total, 434.0 MB
unmanned_overtly v3 51 games, 37129 moves, e=0.963, loss: 385.4, -, 49.9% elo% vs. random_no_suicide, avg. reward: 11.600, 1.403 sec/game, 1.0 min. total, 434.6 MB
unmanned_overtly v3 52 games, 37797 moves, e=0.963, loss: 401.8, -, 47.6% elo% vs. random_no_suicide, avg. reward: 11.607, 1.389 sec/game, 1.0 min. total, 434.4 MB
unmanned_overtly v3 53 games, 38509 moves, e=0.962, loss: 412.4, -, 45.4% elo% vs. random_no_suicide, avg. reward: 11.551, 1.393 sec/game, 1.0 min. total, 433.8 MB
unmanned_overtly v3 54 games, 39117 moves, e=0.961, loss: 428.0, -, 43.4% elo% vs. random_no_suicide, avg. reward: 11.550, 1.378 sec/game, 1.0 min. total, 434.0 MB
unmanned_overtly v3 55 games, 39796 moves, e=0.961, loss: 427.2, -, 41.4% elo% vs. random_no_suicide, avg. reward: 11.524, 1.350 sec/game, 1.0 min. total, 433.9 MB
unmanned_overtly v3 56 games, 40545 moves, e=0.960, loss: 453.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: 11.497, 1.359 sec/game, 1.1 min. total, 436.0 MB
unmanned_overtly v3 57 games, 41197 moves, e=0.959, loss: 472.9, -, 37.8% elo% vs. random_no_suicide, avg. reward: 11.513, 1.358 sec/game, 1.1 min. total, 437.7 MB
unmanned_overtly v3 58 games, 41922 moves, e=0.958, loss: 468.6, -, 36.2% elo% vs. random_no_suicide, avg. reward: 11.495, 1.370 sec/game, 1.1 min. total, 440.0 MB
unmanned_overtly v3 59 games, 42717 moves, e=0.958, loss: 475.6, -, 34.7% elo% vs. random_no_suicide, avg. reward: 11.491, 1.368 sec/game, 1.1 min. total, 439.5 MB
unmanned_overtly v3 60 games, 43466 moves, e=0.957, loss: 487.3, -, 33.3% elo% vs. random_no_suicide, avg. reward: 11.491, 1.368 sec/game, 1.2 min. total, 439.2 MB
unmanned_overtly v3 61 games, 44115 moves, e=0.956, loss: 485.6, -, 31.9% elo% vs. random_no_suicide, avg. reward: 11.471, 1.371 sec/game, 1.2 min. total, 439.5 MB
unmanned_overtly v3 62 games, 44905 moves, e=0.956, loss: 484.4, -, 30.6% elo% vs. random_no_suicide, avg. reward: 11.495, 1.372 sec/game, 1.2 min. total, 439.5 MB
unmanned_overtly v3 63 games, 45707 moves, e=0.955, loss: 499.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: 11.475, 1.391 sec/game, 1.2 min. total, 440.0 MB
