penpal_curve v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
penpal_curve v3 46 games, 32099 moves, e=0.968, loss: 2.3, +, 45.5% elo% vs. random_no_suicide, avg. reward: -8.981, 1.240 sec/game, 0.7 min. total, 457.2 MB
penpal_curve v3 47 games, 32721 moves, e=0.968, loss: 2.5, +, 48.0% elo% vs. random_no_suicide, avg. reward: -8.999, 1.252 sec/game, 0.7 min. total, 457.4 MB
penpal_curve v3 48 games, 33403 moves, e=0.967, loss: 2.6, +, 50.4% elo% vs. random_no_suicide, avg. reward: -8.995, 1.243 sec/game, 0.7 min. total, 456.2 MB
penpal_curve v3 49 games, 34100 moves, e=0.966, loss: 2.5, -, 48.1% elo% vs. random_no_suicide, avg. reward: -8.991, 1.240 sec/game, 0.8 min. total, 456.3 MB
penpal_curve v3 50 games, 34895 moves, e=0.965, loss: 2.6, +, 50.4% elo% vs. random_no_suicide, avg. reward: -8.969, 1.241 sec/game, 0.8 min. total, 457.3 MB
penpal_curve v3 51 games, 35713 moves, e=0.965, loss: 2.6, -, 48.1% elo% vs. random_no_suicide, avg. reward: -8.941, 1.263 sec/game, 0.8 min. total, 459.1 MB
penpal_curve v3 52 games, 36500 moves, e=0.964, loss: 2.8, -, 45.9% elo% vs. random_no_suicide, avg. reward: -8.915, 1.275 sec/game, 0.8 min. total, 456.4 MB
penpal_curve v3 53 games, 37270 moves, e=0.963, loss: 2.8, -, 43.8% elo% vs. random_no_suicide, avg. reward: -8.898, 1.277 sec/game, 0.9 min. total, 457.3 MB
penpal_curve v3 54 games, 37944 moves, e=0.962, loss: 3.2, -, 41.8% elo% vs. random_no_suicide, avg. reward: -8.903, 1.267 sec/game, 0.9 min. total, 457.2 MB
penpal_curve v3 55 games, 38561 moves, e=0.962, loss: 3.1, -, 40.0% elo% vs. random_no_suicide, avg. reward: -8.920, 1.256 sec/game, 0.9 min. total, 460.2 MB
penpal_curve v3 56 games, 39255 moves, e=0.961, loss: 3.0, -, 38.2% elo% vs. random_no_suicide, avg. reward: -8.921, 1.260 sec/game, 0.9 min. total, 460.4 MB
penpal_curve v3 57 games, 39842 moves, e=0.961, loss: 2.9, -, 36.6% elo% vs. random_no_suicide, avg. reward: -8.953, 1.258 sec/game, 0.9 min. total, 460.5 MB
penpal_curve v3 58 games, 40529 moves, e=0.960, loss: 2.8, -, 35.0% elo% vs. random_no_suicide, avg. reward: -8.954, 1.249 sec/game, 1.0 min. total, 457.7 MB
penpal_curve v3 59 games, 41302 moves, e=0.959, loss: 2.9, -, 33.6% elo% vs. random_no_suicide, avg. reward: -8.933, 1.260 sec/game, 1.0 min. total, 457.9 MB
penpal_curve v3 60 games, 41927 moves, e=0.958, loss: 2.7, +, 36.4% elo% vs. random_no_suicide, avg. reward: -8.949, 1.250 sec/game, 1.0 min. total, 458.0 MB
penpal_curve v3 61 games, 42725 moves, e=0.958, loss: 2.4, +, 39.1% elo% vs. random_no_suicide, avg. reward: -8.928, 1.250 sec/game, 1.0 min. total, 460.2 MB
penpal_curve v3 62 games, 43555 moves, e=0.957, loss: 2.8, -, 37.4% elo% vs. random_no_suicide, avg. reward: -8.901, 1.259 sec/game, 1.0 min. total, 459.5 MB
penpal_curve v3 63 games, 44279 moves, e=0.956, loss: 2.3, -, 35.8% elo% vs. random_no_suicide, avg. reward: -8.897, 1.261 sec/game, 1.1 min. total, 459.6 MB
penpal_curve v3 64 games, 44888 moves, e=0.956, loss: 2.5, -, 34.3% elo% vs. random_no_suicide, avg. reward: -8.914, 1.261 sec/game, 1.1 min. total, 459.6 MB
penpal_curve v3 65 games, 45671 moves, e=0.955, loss: 2.5, -, 32.9% elo% vs. random_no_suicide, avg. reward: -8.897, 1.262 sec/game, 1.1 min. total, 459.9 MB
penpal_curve v3 66 games, 46376 moves, e=0.954, loss: 2.7, -, 31.6% elo% vs. random_no_suicide, avg. reward: -8.898, 1.262 sec/game, 1.1 min. total, 461.2 MB
penpal_curve v3 67 games, 47116 moves, e=0.953, loss: 2.4, -, 30.3% elo% vs. random_no_suicide, avg. reward: -8.891, 1.273 sec/game, 1.1 min. total, 461.3 MB
penpal_curve v3 68 games, 47795 moves, e=0.953, loss: 2.6, -, 29.2% elo% vs. random_no_suicide, avg. reward: -8.896, 1.274 sec/game, 1.2 min. total, 460.8 MB
penpal_curve v3 69 games, 48523 moves, e=0.952, loss: 2.5, +, 31.9% elo% vs. random_no_suicide, avg. reward: -8.890, 1.276 sec/game, 1.2 min. total, 463.6 MB
penpal_curve v3 70 games, 49305 moves, e=0.951, loss: 2.7, +, 34.7% elo% vs. random_no_suicide, avg. reward: -8.875, 1.277 sec/game, 1.2 min. total, 463.4 MB
penpal_curve v3 71 games, 50022 moves, e=0.950, loss: 2.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: -8.872, 1.258 sec/game, 1.2 min. total, 463.7 MB
penpal_curve v3 72 games, 50872 moves, e=0.950, loss: 2.5, -, 31.9% elo% vs. random_no_suicide, avg. reward: -8.845, 1.268 sec/game, 1.3 min. total, 463.6 MB
penpal_curve v3 73 games, 51641 moves, e=0.949, loss: 2.2, -, 30.7% elo% vs. random_no_suicide, avg. reward: -8.837, 1.270 sec/game, 1.3 min. total, 463.7 MB
penpal_curve v3 74 games, 52354 moves, e=0.948, loss: 2.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: -8.837, 1.285 sec/game, 1.3 min. total, 463.8 MB
penpal_curve v3 75 games, 53230 moves, e=0.947, loss: 2.4, +, 32.3% elo% vs. random_no_suicide, avg. reward: -8.810, 1.301 sec/game, 1.3 min. total, 465.7 MB
penpal_curve v3 76 games, 53905 moves, e=0.947, loss: 2.4, -, 31.0% elo% vs. random_no_suicide, avg. reward: -8.817, 1.315 sec/game, 1.4 min. total, 466.1 MB
penpal_curve v3 77 games, 54665 moves, e=0.946, loss: 2.2, -, 29.8% elo% vs. random_no_suicide, avg. reward: -8.810, 1.332 sec/game, 1.4 min. total, 467.2 MB
penpal_curve v3 78 games, 55302 moves, e=0.945, loss: 2.2, +, 32.5% elo% vs. random_no_suicide, avg. reward: -8.827, 1.332 sec/game, 1.4 min. total, 467.2 MB
penpal_curve v3 79 games, 55921 moves, e=0.945, loss: 2.5, +, 35.3% elo% vs. random_no_suicide, avg. reward: -8.842, 1.312 sec/game, 1.4 min. total, 467.8 MB
penpal_curve v3 80 games, 56593 moves, e=0.944, loss: 2.6, -, 33.8% elo% vs. random_no_suicide, avg. reward: -8.847, 1.324 sec/game, 1.4 min. total, 466.7 MB
penpal_curve v3 81 games, 57285 moves, e=0.943, loss: 2.4, -, 32.5% elo% vs. random_no_suicide, avg. reward: -8.851, 1.316 sec/game, 1.5 min. total, 467.2 MB
penpal_curve v3 82 games, 57953 moves, e=0.943, loss: 2.3, -, 31.2% elo% vs. random_no_suicide, avg. reward: -8.856, 1.297 sec/game, 1.5 min. total, 468.8 MB
penpal_curve v3 83 games, 58664 moves, e=0.942, loss: 2.3, -, 30.0% elo% vs. random_no_suicide, avg. reward: -8.851, 1.313 sec/game, 1.5 min. total, 468.7 MB
penpal_curve v3 84 games, 59399 moves, e=0.941, loss: 2.4, -, 28.8% elo% vs. random_no_suicide, avg. reward: -8.845, 1.325 sec/game, 1.5 min. total, 469.6 MB
penpal_curve v3 85 games, 60079 moves, e=0.941, loss: 2.2, -, 27.7% elo% vs. random_no_suicide, avg. reward: -8.845, 1.316 sec/game, 1.5 min. total, 468.7 MB
penpal_curve v3 86 games, 60770 moves, e=0.940, loss: 2.0, -, 26.7% elo% vs. random_no_suicide, avg. reward: -8.845, 1.308 sec/game, 1.6 min. total, 469.8 MB
penpal_curve v3 87 games, 61528 moves, e=0.939, loss: 2.1, -, 25.8% elo% vs. random_no_suicide, avg. reward: -8.833, 1.315 sec/game, 1.6 min. total, 469.8 MB
penpal_curve v3 88 games, 62181 moves, e=0.938, loss: 2.2, +, 28.5% elo% vs. random_no_suicide, avg. reward: -8.843, 1.317 sec/game, 1.6 min. total, 470.1 MB
penpal_curve v3 89 games, 62885 moves, e=0.938, loss: 2.2, -, 27.4% elo% vs. random_no_suicide, avg. reward: -8.845, 1.317 sec/game, 1.6 min. total, 470.9 MB
penpal_curve v3 90 games, 63527 moves, e=0.937, loss: 1.9, -, 26.4% elo% vs. random_no_suicide, avg. reward: -8.853, 1.306 sec/game, 1.6 min. total, 471.9 MB
