subwoofer_thriving v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.7 MB
subwoofer_thriving v6 293 games, 224804 moves, e=0.777, loss: 5.1, -, 6.0% elo% vs. simple_bot, avg. reward: -5.309, 1.433 sec/game, 6.0 min. total, 484.3 MB
subwoofer_thriving v6 294 games, 225744 moves, e=0.777, loss: 5.1, -, 6.0% elo% vs. simple_bot, avg. reward: -5.301, 1.427 sec/game, 6.0 min. total, 484.8 MB
subwoofer_thriving v6 295 games, 226640 moves, e=0.776, loss: 5.2, -, 5.9% elo% vs. simple_bot, avg. reward: -5.285, 1.416 sec/game, 6.0 min. total, 483.6 MB
subwoofer_thriving v6 296 games, 227575 moves, e=0.775, loss: 5.1, -, 5.8% elo% vs. simple_bot, avg. reward: -5.271, 1.436 sec/game, 6.0 min. total, 483.5 MB
subwoofer_thriving v6 297 games, 228611 moves, e=0.774, loss: 5.1, -, 5.8% elo% vs. simple_bot, avg. reward: -5.259, 1.431 sec/game, 6.1 min. total, 483.2 MB
subwoofer_thriving v6 298 games, 229702 moves, e=0.773, loss: 5.5, -, 5.7% elo% vs. simple_bot, avg. reward: -5.236, 1.450 sec/game, 6.1 min. total, 484.6 MB
subwoofer_thriving v6 299 games, 230572 moves, e=0.772, loss: 5.7, -, 5.7% elo% vs. simple_bot, avg. reward: -5.222, 1.448 sec/game, 6.1 min. total, 485.1 MB
subwoofer_thriving v6 300 games, 231369 moves, e=0.771, loss: 5.5, -, 5.6% elo% vs. simple_bot, avg. reward: -5.212, 1.445 sec/game, 6.1 min. total, 486.6 MB
subwoofer_thriving v7 301 games, 232279 moves, e=0.770, loss: 5.4, -, 47.7% elo% vs. simple_bot, avg. reward: -5.195, 1.448 sec/game, 6.2 min. total, 486.8 MB
subwoofer_thriving v7 302 games, 233249 moves, e=0.769, loss: 5.8, -, 45.5% elo% vs. simple_bot, avg. reward: -5.179, 1.458 sec/game, 6.2 min. total, 487.3 MB
subwoofer_thriving v7 303 games, 234048 moves, e=0.768, loss: 6.0, -, 43.4% elo% vs. simple_bot, avg. reward: -5.187, 1.452 sec/game, 6.2 min. total, 487.8 MB
subwoofer_thriving v7 304 games, 234904 moves, e=0.767, loss: 6.0, -, 41.5% elo% vs. simple_bot, avg. reward: -5.179, 1.453 sec/game, 6.2 min. total, 486.3 MB
subwoofer_thriving v7 305 games, 235721 moves, e=0.767, loss: 6.1, -, 39.6% elo% vs. simple_bot, avg. reward: -5.184, 1.450 sec/game, 6.3 min. total, 487.3 MB
subwoofer_thriving v7 306 games, 236473 moves, e=0.766, loss: 5.8, ., 40.1% elo% vs. simple_bot, avg. reward: -5.181, 1.450 sec/game, 6.3 min. total, 486.5 MB
subwoofer_thriving v7 307 games, 237426 moves, e=0.765, loss: 5.6, -, 38.3% elo% vs. simple_bot, avg. reward: -5.175, 1.453 sec/game, 6.3 min. total, 487.3 MB
subwoofer_thriving v7 308 games, 238269 moves, e=0.764, loss: 5.1, -, 36.7% elo% vs. simple_bot, avg. reward: -5.170, 1.463 sec/game, 6.3 min. total, 488.4 MB
subwoofer_thriving v7 309 games, 239107 moves, e=0.763, loss: 5.4, -, 35.1% elo% vs. simple_bot, avg. reward: -5.167, 1.464 sec/game, 6.3 min. total, 488.0 MB
subwoofer_thriving v7 310 games, 240027 moves, e=0.762, loss: 5.5, -, 33.7% elo% vs. simple_bot, avg. reward: -5.159, 1.463 sec/game, 6.4 min. total, 488.5 MB
subwoofer_thriving v7 311 games, 240903 moves, e=0.762, loss: 5.5, -, 32.3% elo% vs. simple_bot, avg. reward: -5.159, 1.463 sec/game, 6.4 min. total, 488.0 MB
subwoofer_thriving v7 312 games, 241751 moves, e=0.761, loss: 5.5, -, 31.0% elo% vs. simple_bot, avg. reward: -5.144, 1.455 sec/game, 6.4 min. total, 488.8 MB
subwoofer_thriving v7 313 games, 242472 moves, e=0.760, loss: 5.4, +, 33.8% elo% vs. simple_bot, avg. reward: -5.139, 1.436 sec/game, 6.4 min. total, 488.4 MB
subwoofer_thriving v7 314 games, 243290 moves, e=0.759, loss: 6.1, -, 32.4% elo% vs. simple_bot, avg. reward: -5.136, 1.431 sec/game, 6.5 min. total, 488.8 MB
subwoofer_thriving v7 315 games, 244205 moves, e=0.758, loss: 5.9, -, 31.1% elo% vs. simple_bot, avg. reward: -5.126, 1.436 sec/game, 6.5 min. total, 490.3 MB
subwoofer_thriving v7 316 games, 245069 moves, e=0.757, loss: 5.9, -, 29.9% elo% vs. simple_bot, avg. reward: -5.113, 1.439 sec/game, 6.5 min. total, 491.9 MB
subwoofer_thriving v7 317 games, 245783 moves, e=0.757, loss: 5.7, -, 28.8% elo% vs. simple_bot, avg. reward: -5.108, 1.413 sec/game, 6.5 min. total, 490.1 MB
subwoofer_thriving v7 318 games, 246748 moves, e=0.756, loss: 5.6, -, 27.7% elo% vs. simple_bot, avg. reward: -5.104, 1.403 sec/game, 6.6 min. total, 491.4 MB
subwoofer_thriving v7 319 games, 247451 moves, e=0.755, loss: 5.7, -, 26.7% elo% vs. simple_bot, avg. reward: -5.103, 1.393 sec/game, 6.6 min. total, 491.9 MB
subwoofer_thriving v7 320 games, 248427 moves, e=0.754, loss: 5.9, -, 25.7% elo% vs. simple_bot, avg. reward: -5.090, 1.409 sec/game, 6.6 min. total, 490.2 MB
subwoofer_thriving v7 321 games, 249323 moves, e=0.753, loss: 5.6, -, 24.8% elo% vs. simple_bot, avg. reward: -5.080, 1.406 sec/game, 6.6 min. total, 490.1 MB
subwoofer_thriving v7 322 games, 250180 moves, e=0.752, loss: 6.1, -, 24.0% elo% vs. simple_bot, avg. reward: -5.069, 1.400 sec/game, 6.7 min. total, 491.0 MB
subwoofer_thriving v7 323 games, 251193 moves, e=0.751, loss: 6.8, -, 23.2% elo% vs. simple_bot, avg. reward: -5.054, 1.426 sec/game, 6.7 min. total, 491.7 MB
subwoofer_thriving v7 324 games, 252137 moves, e=0.750, loss: 6.5, -, 22.4% elo% vs. simple_bot, avg. reward: -5.045, 1.429 sec/game, 6.7 min. total, 490.4 MB
subwoofer_thriving v7 325 games, 253000 moves, e=0.750, loss: 6.3, -, 21.7% elo% vs. simple_bot, avg. reward: -5.043, 1.438 sec/game, 6.7 min. total, 493.3 MB
subwoofer_thriving v7 326 games, 253936 moves, e=0.749, loss: 6.2, -, 21.1% elo% vs. simple_bot, avg. reward: -5.033, 1.449 sec/game, 6.8 min. total, 492.1 MB
subwoofer_thriving v7 327 games, 254726 moves, e=0.748, loss: 5.8, -, 20.4% elo% vs. simple_bot, avg. reward: -5.040, 1.447 sec/game, 6.8 min. total, 491.3 MB
subwoofer_thriving v7 328 games, 255754 moves, e=0.747, loss: 6.2, -, 19.8% elo% vs. simple_bot, avg. reward: -5.023, 1.457 sec/game, 6.8 min. total, 491.8 MB
subwoofer_thriving v7 329 games, 256759 moves, e=0.746, loss: 6.1, -, 19.2% elo% vs. simple_bot, avg. reward: -5.011, 1.460 sec/game, 6.8 min. total, 491.4 MB
subwoofer_thriving v7 330 games, 257564 moves, e=0.745, loss: 5.9, -, 18.7% elo% vs. simple_bot, avg. reward: -5.017, 1.459 sec/game, 6.9 min. total, 492.3 MB
subwoofer_thriving v7 331 games, 258296 moves, e=0.744, loss: 6.0, -, 18.2% elo% vs. simple_bot, avg. reward: -5.009, 1.437 sec/game, 6.9 min. total, 495.0 MB
subwoofer_thriving v7 332 games, 259257 moves, e=0.743, loss: 6.3, -, 17.7% elo% vs. simple_bot, avg. reward: -4.997, 1.458 sec/game, 6.9 min. total, 494.8 MB
subwoofer_thriving v7 333 games, 260066 moves, e=0.743, loss: 6.3, -, 17.2% elo% vs. simple_bot, avg. reward: -4.995, 1.461 sec/game, 6.9 min. total, 492.7 MB
subwoofer_thriving v7 334 games, 260974 moves, e=0.742, loss: 6.7, -, 16.8% elo% vs. simple_bot, avg. reward: -4.985, 1.467 sec/game, 6.9 min. total, 492.2 MB
subwoofer_thriving v7 335 games, 261907 moves, e=0.741, loss: 6.5, -, 16.3% elo% vs. simple_bot, avg. reward: -4.977, 1.473 sec/game, 7.0 min. total, 493.8 MB
subwoofer_thriving v7 336 games, 262929 moves, e=0.740, loss: 6.4, -, 15.9% elo% vs. simple_bot, avg. reward: -4.964, 1.478 sec/game, 7.0 min. total, 495.2 MB
subwoofer_thriving v7 337 games, 263883 moves, e=0.739, loss: 6.3, -, 15.5% elo% vs. simple_bot, avg. reward: -4.954, 1.490 sec/game, 7.0 min. total, 494.4 MB
subwoofer_thriving v7 338 games, 264870 moves, e=0.738, loss: 6.4, -, 15.2% elo% vs. simple_bot, avg. reward: -4.934, 1.501 sec/game, 7.1 min. total, 494.5 MB
subwoofer_thriving v7 339 games, 265689 moves, e=0.737, loss: 6.1, -, 14.8% elo% vs. simple_bot, avg. reward: -4.941, 1.505 sec/game, 7.1 min. total, 494.2 MB
subwoofer_thriving v7 340 games, 266576 moves, e=0.736, loss: 6.4, -, 14.5% elo% vs. simple_bot, avg. reward: -4.931, 1.503 sec/game, 7.1 min. total, 494.6 MB
subwoofer_thriving v7 341 games, 267600 moves, e=0.735, loss: 6.2, -, 14.1% elo% vs. simple_bot, avg. reward: -4.922, 1.519 sec/game, 7.1 min. total, 495.2 MB
subwoofer_thriving v7 342 games, 268565 moves, e=0.734, loss: 6.3, -, 13.8% elo% vs. simple_bot, avg. reward: -4.912, 1.525 sec/game, 7.2 min. total, 497.1 MB
subwoofer_thriving v7 343 games, 269404 moves, e=0.733, loss: 6.2, -, 13.5% elo% vs. simple_bot, avg. reward: -4.904, 1.501 sec/game, 7.2 min. total, 497.3 MB
subwoofer_thriving v7 344 games, 270235 moves, e=0.732, loss: 6.4, -, 13.2% elo% vs. simple_bot, avg. reward: -4.905, 1.498 sec/game, 7.2 min. total, 495.5 MB
subwoofer_thriving v7 345 games, 271155 moves, e=0.732, loss: 6.0, -, 13.0% elo% vs. simple_bot, avg. reward: -4.908, 1.500 sec/game, 7.2 min. total, 497.8 MB
subwoofer_thriving v7 346 games, 271976 moves, e=0.731, loss: 6.2, -, 12.7% elo% vs. simple_bot, avg. reward: -4.910, 1.491 sec/game, 7.3 min. total, 497.5 MB
subwoofer_thriving v7 347 games, 272873 moves, e=0.730, loss: 6.1, -, 12.4% elo% vs. simple_bot, avg. reward: -4.905, 1.491 sec/game, 7.3 min. total, 498.3 MB
subwoofer_thriving v7 348 games, 273936 moves, e=0.729, loss: 6.2, -, 12.2% elo% vs. simple_bot, avg. reward: -4.893, 1.501 sec/game, 7.3 min. total, 496.8 MB
subwoofer_thriving v7 349 games, 274838 moves, e=0.728, loss: 6.1, -, 12.0% elo% vs. simple_bot, avg. reward: -4.896, 1.503 sec/game, 7.3 min. total, 496.7 MB
subwoofer_thriving v7 350 games, 275630 moves, e=0.727, loss: 6.3, -, 11.7% elo% vs. simple_bot, avg. reward: -4.900, 1.495 sec/game, 7.4 min. total, 497.6 MB
subwoofer_thriving v7 351 games, 276579 moves, e=0.726, loss: 6.4, -, 11.5% elo% vs. simple_bot, avg. reward: -4.894, 1.514 sec/game, 7.4 min. total, 497.2 MB
subwoofer_thriving v7 352 games, 277463 moves, e=0.725, loss: 6.4, -, 11.3% elo% vs. simple_bot, avg. reward: -4.884, 1.500 sec/game, 7.4 min. total, 496.7 MB
subwoofer_thriving v7 353 games, 278390 moves, e=0.724, loss: 6.3, -, 11.1% elo% vs. simple_bot, avg. reward: -4.864, 1.513 sec/game, 7.4 min. total, 497.1 MB
subwoofer_thriving v7 354 games, 279284 moves, e=0.724, loss: 6.1, -, 10.9% elo% vs. simple_bot, avg. reward: -4.859, 1.515 sec/game, 7.5 min. total, 497.1 MB
subwoofer_thriving v7 355 games, 280178 moves, e=0.723, loss: 6.0, -, 10.7% elo% vs. simple_bot, avg. reward: -4.847, 1.508 sec/game, 7.5 min. total, 498.0 MB
subwoofer_thriving v7 356 games, 280911 moves, e=0.722, loss: 6.0, -, 10.5% elo% vs. simple_bot, avg. reward: -4.838, 1.489 sec/game, 7.5 min. total, 498.1 MB
subwoofer_thriving v7 357 games, 281796 moves, e=0.721, loss: 5.9, -, 10.3% elo% vs. simple_bot, avg. reward: -4.824, 1.488 sec/game, 7.5 min. total, 499.8 MB
subwoofer_thriving v7 358 games, 282607 moves, e=0.720, loss: 5.8, -, 10.2% elo% vs. simple_bot, avg. reward: -4.822, 1.467 sec/game, 7.5 min. total, 500.9 MB
subwoofer_thriving v7 359 games, 283708 moves, e=0.719, loss: 5.7, -, 10.0% elo% vs. simple_bot, avg. reward: -4.805, 1.494 sec/game, 7.6 min. total, 500.1 MB
subwoofer_thriving v7 360 games, 284654 moves, e=0.718, loss: 5.9, -, 9.8% elo% vs. simple_bot, avg. reward: -4.800, 1.494 sec/game, 7.6 min. total, 500.6 MB
subwoofer_thriving v7 361 games, 285690 moves, e=0.717, loss: 5.9, -, 9.7% elo% vs. simple_bot, avg. reward: -4.789, 1.487 sec/game, 7.6 min. total, 499.8 MB
subwoofer_thriving v7 362 games, 286553 moves, e=0.716, loss: 6.5, -, 9.5% elo% vs. simple_bot, avg. reward: -4.782, 1.480 sec/game, 7.7 min. total, 501.7 MB
subwoofer_thriving v7 363 games, 287575 moves, e=0.715, loss: 6.4, -, 9.4% elo% vs. simple_bot, avg. reward: -4.767, 1.497 sec/game, 7.7 min. total, 500.9 MB
subwoofer_thriving v7 364 games, 288529 moves, e=0.714, loss: 6.6, +, 10.9% elo% vs. simple_bot, avg. reward: -4.755, 1.510 sec/game, 7.7 min. total, 500.2 MB
subwoofer_thriving v7 365 games, 289470 moves, e=0.713, loss: 6.7, -, 10.7% elo% vs. simple_bot, avg. reward: -4.740, 1.511 sec/game, 7.7 min. total, 500.2 MB
subwoofer_thriving v7 366 games, 290493 moves, e=0.712, loss: 6.2, -, 10.5% elo% vs. simple_bot, avg. reward: -4.721, 1.531 sec/game, 7.8 min. total, 500.3 MB
subwoofer_thriving v7 367 games, 291496 moves, e=0.711, loss: 6.4, -, 10.3% elo% vs. simple_bot, avg. reward: -4.708, 1.543 sec/game, 7.8 min. total, 501.7 MB
subwoofer_thriving v7 368 games, 292400 moves, e=0.711, loss: 6.2, -, 10.1% elo% vs. simple_bot, avg. reward: -4.691, 1.525 sec/game, 7.8 min. total, 500.9 MB
subwoofer_thriving v7 369 games, 293288 moves, e=0.710, loss: 6.1, -, 10.0% elo% vs. simple_bot, avg. reward: -4.677, 1.523 sec/game, 7.8 min. total, 501.7 MB
subwoofer_thriving v7 370 games, 294283 moves, e=0.709, loss: 6.3, -, 9.8% elo% vs. simple_bot, avg. reward: -4.671, 1.543 sec/game, 7.9 min. total, 501.9 MB
subwoofer_thriving v7 371 games, 295153 moves, e=0.708, loss: 6.8, -, 9.6% elo% vs. simple_bot, avg. reward: -4.672, 1.537 sec/game, 7.9 min. total, 502.4 MB
subwoofer_thriving v7 372 games, 296089 moves, e=0.707, loss: 6.5, -, 9.5% elo% vs. simple_bot, avg. reward: -4.660, 1.546 sec/game, 7.9 min. total, 502.4 MB
subwoofer_thriving v7 373 games, 297094 moves, e=0.706, loss: 6.3, -, 9.3% elo% vs. simple_bot, avg. reward: -4.650, 1.552 sec/game, 7.9 min. total, 501.8 MB
subwoofer_thriving v7 374 games, 298111 moves, e=0.705, loss: 6.2, -, 9.2% elo% vs. simple_bot, avg. reward: -4.633, 1.553 sec/game, 8.0 min. total, 505.6 MB
subwoofer_thriving v7 375 games, 299045 moves, e=0.704, loss: 6.7, -, 9.1% elo% vs. simple_bot, avg. reward: -4.625, 1.561 sec/game, 8.0 min. total, 502.6 MB
subwoofer_thriving v7 376 games, 300054 moves, e=0.703, loss: 6.8, -, 8.9% elo% vs. simple_bot, avg. reward: -4.598, 1.581 sec/game, 8.0 min. total, 504.9 MB
subwoofer_thriving v7 377 games, 301047 moves, e=0.702, loss: 7.3, -, 8.8% elo% vs. simple_bot, avg. reward: -4.591, 1.584 sec/game, 8.1 min. total, 504.0 MB
subwoofer_thriving v7 378 games, 302007 moves, e=0.701, loss: 7.5, -, 8.7% elo% vs. simple_bot, avg. reward: -4.576, 1.600 sec/game, 8.1 min. total, 502.7 MB
subwoofer_thriving v7 379 games, 303028 moves, e=0.700, loss: 7.3, -, 8.5% elo% vs. simple_bot, avg. reward: -4.570, 1.592 sec/game, 8.1 min. total, 504.2 MB
subwoofer_thriving v7 380 games, 303792 moves, e=0.699, loss: 7.0, -, 8.4% elo% vs. simple_bot, avg. reward: -4.574, 1.583 sec/game, 8.1 min. total, 504.2 MB
subwoofer_thriving v7 381 games, 304668 moves, e=0.698, loss: 7.3, -, 8.3% elo% vs. simple_bot, avg. reward: -4.571, 1.576 sec/game, 8.2 min. total, 503.5 MB
