subwoofer_thriving v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.7 MB
subwoofer_thriving v3 83 games, 59223 moves, e=0.941, loss: 3.2, +, 51.4% elo% vs. random_no_suicide, avg. reward: -6.490, 1.207 sec/game, 1.3 min. total, 441.8 MB
subwoofer_thriving v3 84 games, 59961 moves, e=0.941, loss: 3.1, +, 53.7% elo% vs. random_no_suicide, avg. reward: -6.487, 1.222 sec/game, 1.3 min. total, 438.2 MB
subwoofer_thriving v3 85 games, 60580 moves, e=0.940, loss: 3.1, +, 55.8% elo% vs. random_no_suicide, avg. reward: -6.501, 1.220 sec/game, 1.4 min. total, 441.3 MB
subwoofer_thriving v3 86 games, 61326 moves, e=0.939, loss: 3.2, -, 53.2% elo% vs. random_no_suicide, avg. reward: -6.495, 1.221 sec/game, 1.4 min. total, 441.5 MB
subwoofer_thriving v3 87 games, 62013 moves, e=0.939, loss: 3.2, +, 55.4% elo% vs. random_no_suicide, avg. reward: -6.497, 1.219 sec/game, 1.4 min. total, 441.6 MB
subwoofer_thriving v3 88 games, 62791 moves, e=0.938, loss: 3.1, +, 57.4% elo% vs. random_no_suicide, avg. reward: -6.491, 1.224 sec/game, 1.4 min. total, 438.9 MB
subwoofer_thriving v3 89 games, 63604 moves, e=0.937, loss: 3.1, -, 54.8% elo% vs. random_no_suicide, avg. reward: -6.480, 1.229 sec/game, 1.4 min. total, 440.1 MB
subwoofer_thriving v3 90 games, 64335 moves, e=0.936, loss: 3.1, +, 56.8% elo% vs. random_no_suicide, avg. reward: -6.477, 1.228 sec/game, 1.5 min. total, 439.5 MB
subwoofer_thriving v3 91 games, 65092 moves, e=0.936, loss: 3.2, +, 58.8% elo% vs. random_no_suicide, avg. reward: -6.473, 1.230 sec/game, 1.5 min. total, 441.4 MB
subwoofer_thriving v3 92 games, 65814 moves, e=0.935, loss: 3.1, +, 60.6% elo% vs. random_no_suicide, avg. reward: -6.470, 1.234 sec/game, 1.5 min. total, 440.8 MB
subwoofer_thriving v3 93 games, 66442 moves, e=0.934, loss: 3.1, +, 62.3% elo% vs. random_no_suicide, avg. reward: -6.478, 1.221 sec/game, 1.5 min. total, 443.5 MB
subwoofer_thriving v3 94 games, 67119 moves, e=0.934, loss: 2.9, +, 63.9% elo% vs. random_no_suicide, avg. reward: -6.481, 1.207 sec/game, 1.5 min. total, 441.2 MB
subwoofer_thriving v3 95 games, 67972 moves, e=0.933, loss: 2.9, +, 65.5% elo% vs. random_no_suicide, avg. reward: -6.466, 1.208 sec/game, 1.6 min. total, 443.6 MB
subwoofer_thriving v3 96 games, 68703 moves, e=0.932, loss: 2.8, +, 66.9% elo% vs. random_no_suicide, avg. reward: -6.463, 1.198 sec/game, 1.6 min. total, 441.4 MB
subwoofer_thriving v3 97 games, 69417 moves, e=0.931, loss: 3.0, +, 68.2% elo% vs. random_no_suicide, avg. reward: -6.461, 1.198 sec/game, 1.6 min. total, 443.2 MB
subwoofer_thriving v3 98 games, 70195 moves, e=0.931, loss: 3.1, -, 65.4% elo% vs. random_no_suicide, avg. reward: -6.455, 1.194 sec/game, 1.6 min. total, 444.0 MB
subwoofer_thriving v3 99 games, 70966 moves, e=0.930, loss: 3.1, -, 62.7% elo% vs. random_no_suicide, avg. reward: -6.449, 1.184 sec/game, 1.6 min. total, 442.2 MB
subwoofer_thriving v3 100 games, 71709 moves, e=0.929, loss: 3.0, +, 64.3% elo% vs. random_no_suicide, avg. reward: -6.445, 1.200 sec/game, 1.7 min. total, 441.7 MB
subwoofer_thriving v4 101 games, 72451 moves, e=0.928, loss: 3.1, +, 52.3% elo% vs. random_no_suicide, avg. reward: -6.446, 1.195 sec/game, 1.7 min. total, 443.8 MB
subwoofer_thriving v4 102 games, 73121 moves, e=0.928, loss: 2.8, +, 54.5% elo% vs. random_no_suicide, avg. reward: -6.442, 1.179 sec/game, 1.7 min. total, 442.1 MB
subwoofer_thriving v4 103 games, 73828 moves, e=0.927, loss: 3.1, +, 56.6% elo% vs. random_no_suicide, avg. reward: -6.439, 1.178 sec/game, 1.7 min. total, 442.6 MB
subwoofer_thriving v4 104 games, 74653 moves, e=0.926, loss: 3.1, +, 58.5% elo% vs. random_no_suicide, avg. reward: -6.421, 1.183 sec/game, 1.7 min. total, 444.7 MB
subwoofer_thriving v4 105 games, 75451 moves, e=0.925, loss: 2.9, +, 60.4% elo% vs. random_no_suicide, avg. reward: -6.412, 1.185 sec/game, 1.8 min. total, 445.2 MB
