utmost_conform v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.8 MB
utmost_conform v22 2002 games, 4965358 moves, e=0.010, loss: 68322.8, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.625, 6.096 sec/game, 119.7 min. total, 995.7 MB
utmost_conform v22 2003 games, 4968241 moves, e=0.010, loss: 68524.1, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.621, 6.134 sec/game, 119.8 min. total, 999.0 MB
utmost_conform v22 2004 games, 4971145 moves, e=0.010, loss: 62905.4, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.619, 6.172 sec/game, 119.9 min. total, 1004.0 MB
utmost_conform v22 2005 games, 4974142 moves, e=0.010, loss: 63142.3, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.617, 6.205 sec/game, 120.0 min. total, 1008.3 MB
utmost_conform v22 2006 games, 4976944 moves, e=0.010, loss: 53965.7, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.617, 6.225 sec/game, 120.1 min. total, 1010.9 MB
utmost_conform v22 2007 games, 4979758 moves, e=0.010, loss: 52610.7, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.619, 6.245 sec/game, 120.2 min. total, 1010.3 MB
utmost_conform v22 2008 games, 4982494 moves, e=0.010, loss: 47395.5, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.619, 6.258 sec/game, 120.3 min. total, 1009.8 MB
utmost_conform v22 2009 games, 4985181 moves, e=0.010, loss: 41833.5, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.622, 6.258 sec/game, 120.4 min. total, 1008.5 MB
utmost_conform v22 2010 games, 4987903 moves, e=0.010, loss: 38338.5, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.624, 6.260 sec/game, 120.5 min. total, 1010.1 MB
utmost_conform v22 2011 games, 4990520 moves, e=0.010, loss: 39780.4, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.626, 6.247 sec/game, 120.7 min. total, 1008.6 MB
utmost_conform v22 2012 games, 4993324 moves, e=0.010, loss: 41456.5, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.626, 6.284 sec/game, 120.8 min. total, 1008.8 MB
utmost_conform v22 2013 games, 4995904 moves, e=0.010, loss: 41181.6, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.631, 6.289 sec/game, 120.9 min. total, 1007.8 MB
utmost_conform v22 2014 games, 4998376 moves, e=0.010, loss: 42759.6, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.635, 6.264 sec/game, 121.0 min. total, 1006.7 MB
utmost_conform v22 2015 games, 5001021 moves, e=0.010, loss: 41184.8, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.638, 6.268 sec/game, 121.1 min. total, 1007.5 MB
utmost_conform v22 2016 games, 5003635 moves, e=0.010, loss: 46249.0, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.639, 6.285 sec/game, 121.2 min. total, 1005.5 MB
utmost_conform v22 2017 games, 5006220 moves, e=0.010, loss: 46757.3, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.643, 6.304 sec/game, 121.3 min. total, 1006.4 MB
utmost_conform v22 2018 games, 5008773 moves, e=0.010, loss: 49036.6, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.646, 6.309 sec/game, 121.4 min. total, 1009.0 MB
utmost_conform v22 2019 games, 5011365 moves, e=0.010, loss: 51348.8, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.647, 6.317 sec/game, 121.5 min. total, 1009.7 MB
utmost_conform v22 2020 games, 5013957 moves, e=0.010, loss: 48991.5, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.645, 6.335 sec/game, 121.6 min. total, 1010.0 MB
utmost_conform v22 2021 games, 5016454 moves, e=0.010, loss: 57864.5, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.646, 6.323 sec/game, 121.7 min. total, 1008.9 MB
utmost_conform v22 2022 games, 5018866 moves, e=0.010, loss: 58056.9, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.648, 6.303 sec/game, 121.8 min. total, 1008.4 MB
utmost_conform v22 2023 games, 5021485 moves, e=0.010, loss: 56389.0, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.647, 6.263 sec/game, 121.9 min. total, 1008.9 MB
utmost_conform v22 2024 games, 5024115 moves, e=0.010, loss: 60388.5, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.648, 6.221 sec/game, 122.0 min. total, 1009.0 MB
utmost_conform v22 2025 games, 5026615 moves, e=0.010, loss: 57008.2, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.652, 6.177 sec/game, 122.1 min. total, 1010.6 MB
utmost_conform v22 2026 games, 5029300 moves, e=0.010, loss: 61122.1, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.654, 6.165 sec/game, 122.2 min. total, 1013.0 MB
utmost_conform v22 2027 games, 5031916 moves, e=0.010, loss: 55303.7, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.655, 6.134 sec/game, 122.3 min. total, 1014.0 MB
utmost_conform v22 2028 games, 5034484 moves, e=0.010, loss: 57786.5, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.654, 6.124 sec/game, 122.4 min. total, 1013.3 MB
utmost_conform v22 2029 games, 5037123 moves, e=0.010, loss: 54132.3, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.654, 6.123 sec/game, 122.5 min. total, 1014.5 MB
utmost_conform v22 2030 games, 5039936 moves, e=0.010, loss: 51288.1, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.653, 6.144 sec/game, 122.6 min. total, 1015.9 MB
utmost_conform v22 2031 games, 5042557 moves, e=0.010, loss: 57891.4, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.653, 6.132 sec/game, 122.7 min. total, 1015.3 MB
utmost_conform v22 2032 games, 5045393 moves, e=0.010, loss: 61327.8, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.651, 6.143 sec/game, 122.8 min. total, 1017.9 MB
utmost_conform v22 2033 games, 5048161 moves, e=0.010, loss: 54676.7, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.652, 6.154 sec/game, 122.9 min. total, 1019.7 MB
utmost_conform v22 2034 games, 5051048 moves, e=0.010, loss: 46324.2, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.651, 6.211 sec/game, 123.0 min. total, 1021.0 MB
utmost_conform v22 2035 games, 5053684 moves, e=0.010, loss: 40218.6, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.650, 6.197 sec/game, 123.1 min. total, 1023.5 MB
utmost_conform v22 2036 games, 5056592 moves, e=0.010, loss: 42100.0, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.650, 6.239 sec/game, 123.3 min. total, 1025.0 MB
utmost_conform v22 2037 games, 5059168 moves, e=0.010, loss: 36936.0, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.652, 6.228 sec/game, 123.4 min. total, 1021.9 MB
utmost_conform v22 2038 games, 5062023 moves, e=0.010, loss: 42103.3, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.650, 6.271 sec/game, 123.5 min. total, 1023.2 MB
utmost_conform v22 2039 games, 5064793 moves, e=0.010, loss: 43131.9, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.652, 6.274 sec/game, 123.6 min. total, 1025.6 MB
utmost_conform v22 2040 games, 5067655 moves, e=0.010, loss: 40602.3, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.651, 6.309 sec/game, 123.7 min. total, 1025.4 MB
utmost_conform v22 2041 games, 5070294 moves, e=0.010, loss: 36485.5, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.649, 6.308 sec/game, 123.8 min. total, 1026.4 MB
utmost_conform v22 2042 games, 5072950 moves, e=0.010, loss: 32938.4, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.650, 6.349 sec/game, 123.9 min. total, 1024.9 MB
utmost_conform v22 2043 games, 5075556 moves, e=0.010, loss: 32280.6, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.653, 6.337 sec/game, 124.0 min. total, 1024.9 MB
utmost_conform v22 2044 games, 5078147 moves, e=0.010, loss: 35662.1, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.655, 6.356 sec/game, 124.1 min. total, 1023.8 MB
utmost_conform v22 2045 games, 5080658 moves, e=0.010, loss: 39283.4, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.656, 6.346 sec/game, 124.2 min. total, 1022.3 MB
utmost_conform v22 2046 games, 5083197 moves, e=0.010, loss: 44193.0, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.659, 6.339 sec/game, 124.3 min. total, 1021.2 MB
utmost_conform v22 2047 games, 5085701 moves, e=0.010, loss: 45657.3, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.664, 6.345 sec/game, 124.4 min. total, 1020.6 MB
utmost_conform v22 2048 games, 5088258 moves, e=0.010, loss: 49768.4, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.667, 6.344 sec/game, 124.5 min. total, 1019.9 MB
utmost_conform v22 2049 games, 5090703 moves, e=0.010, loss: 46567.6, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.671, 6.326 sec/game, 124.6 min. total, 1019.0 MB
utmost_conform v22 2050 games, 5093170 moves, e=0.010, loss: 48712.7, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.676, 6.280 sec/game, 124.7 min. total, 1018.3 MB
utmost_conform v22 2051 games, 5095582 moves, e=0.010, loss: 51293.7, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.681, 6.259 sec/game, 124.8 min. total, 1016.8 MB
utmost_conform v22 2052 games, 5098092 moves, e=0.010, loss: 48729.9, -, 0.8% elo% vs. terrible_bot, avg. reward: -1.688, 6.199 sec/game, 124.9 min. total, 1017.7 MB
utmost_conform v22 2053 games, 5100696 moves, e=0.010, loss: 42502.3, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.695, 6.194 sec/game, 125.0 min. total, 1019.5 MB
utmost_conform v22 2054 games, 5103365 moves, e=0.010, loss: 48215.1, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.700, 6.178 sec/game, 125.1 min. total, 1022.1 MB
utmost_conform v22 2055 games, 5105949 moves, e=0.010, loss: 45988.8, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.708, 6.179 sec/game, 125.2 min. total, 1024.4 MB
utmost_conform v22 2056 games, 5108437 moves, e=0.010, loss: 44716.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.717, 6.121 sec/game, 125.3 min. total, 1027.4 MB
utmost_conform v22 2057 games, 5111084 moves, e=0.010, loss: 40887.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.724, 6.127 sec/game, 125.4 min. total, 1027.7 MB
utmost_conform v22 2058 games, 5113721 moves, e=0.010, loss: 42764.3, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.732, 6.082 sec/game, 125.5 min. total, 1027.3 MB
utmost_conform v22 2059 games, 5116133 moves, e=0.010, loss: 44892.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.743, 6.054 sec/game, 125.6 min. total, 1024.9 MB
utmost_conform v22 2060 games, 5118674 moves, e=0.010, loss: 45851.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.748, 6.015 sec/game, 125.7 min. total, 1026.2 MB
utmost_conform v22 2061 games, 5121271 moves, e=0.010, loss: 44728.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.751, 6.013 sec/game, 125.8 min. total, 1025.5 MB
utmost_conform v22 2062 games, 5123779 moves, e=0.010, loss: 42628.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.756, 5.996 sec/game, 125.9 min. total, 1024.8 MB
utmost_conform v22 2063 games, 5126298 moves, e=0.010, loss: 41405.3, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.757, 5.994 sec/game, 126.0 min. total, 1026.8 MB
utmost_conform v22 2064 games, 5128895 moves, e=0.010, loss: 41741.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.752, 5.980 sec/game, 126.1 min. total, 1028.7 MB
utmost_conform v22 2065 games, 5131467 moves, e=0.010, loss: 43827.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.745, 6.007 sec/game, 126.2 min. total, 1028.8 MB
utmost_conform v22 2066 games, 5134090 moves, e=0.010, loss: 44411.6, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.741, 6.011 sec/game, 126.3 min. total, 1030.9 MB
utmost_conform v22 2067 games, 5136730 moves, e=0.010, loss: 41465.4, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.738, 6.013 sec/game, 126.4 min. total, 1032.9 MB
utmost_conform v22 2068 games, 5139498 moves, e=0.010, loss: 44439.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.730, 6.040 sec/game, 126.5 min. total, 1034.8 MB
utmost_conform v22 2069 games, 5142315 moves, e=0.010, loss: 38805.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.725, 6.084 sec/game, 126.6 min. total, 1036.9 MB
utmost_conform v22 2070 games, 5144947 moves, e=0.010, loss: 36387.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.721, 6.100 sec/game, 126.7 min. total, 1036.5 MB
utmost_conform v22 2071 games, 5147495 moves, e=0.010, loss: 35699.5, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.724, 6.122 sec/game, 126.8 min. total, 1036.0 MB
utmost_conform v22 2072 games, 5150215 moves, e=0.010, loss: 33302.8, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.723, 6.172 sec/game, 126.9 min. total, 1037.4 MB
utmost_conform v22 2073 games, 5152903 moves, e=0.010, loss: 36976.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.720, 6.181 sec/game, 127.0 min. total, 1036.9 MB
utmost_conform v22 2074 games, 5155587 moves, e=0.010, loss: 35793.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.715, 6.166 sec/game, 127.1 min. total, 1037.9 MB
utmost_conform v22 2075 games, 5158385 moves, e=0.010, loss: 38193.1, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.711, 6.175 sec/game, 127.3 min. total, 1039.9 MB
utmost_conform v22 2076 games, 5161071 moves, e=0.010, loss: 40115.8, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.707, 6.204 sec/game, 127.4 min. total, 1040.2 MB
utmost_conform v22 2077 games, 5163678 moves, e=0.010, loss: 38259.1, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.705, 6.211 sec/game, 127.5 min. total, 1039.7 MB
utmost_conform v22 2078 games, 5166493 moves, e=0.010, loss: 35798.3, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.703, 6.240 sec/game, 127.6 min. total, 1041.3 MB
utmost_conform v22 2079 games, 5169209 moves, e=0.010, loss: 32674.1, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.704, 6.266 sec/game, 127.7 min. total, 1042.0 MB
utmost_conform v22 2080 games, 5172003 moves, e=0.010, loss: 32608.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.701, 6.294 sec/game, 127.8 min. total, 1044.4 MB
utmost_conform v22 2081 games, 5175033 moves, e=0.010, loss: 33906.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.696, 6.353 sec/game, 127.9 min. total, 1047.3 MB
utmost_conform v22 2082 games, 5177952 moves, e=0.010, loss: 30640.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.691, 6.402 sec/game, 128.0 min. total, 1047.8 MB
utmost_conform v22 2083 games, 5180710 moves, e=0.010, loss: 32894.6, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.688, 6.435 sec/game, 128.1 min. total, 1048.0 MB
utmost_conform v22 2084 games, 5183495 moves, e=0.010, loss: 35564.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.687, 6.459 sec/game, 128.2 min. total, 1049.1 MB
utmost_conform v22 2085 games, 5186371 moves, e=0.010, loss: 30395.1, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.685, 6.484 sec/game, 128.4 min. total, 1050.8 MB
utmost_conform v22 2086 games, 5189220 moves, e=0.010, loss: 29042.4, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.685, 6.504 sec/game, 128.5 min. total, 1050.9 MB
utmost_conform v22 2087 games, 5192030 moves, e=0.010, loss: 26642.3, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.683, 6.532 sec/game, 128.6 min. total, 1051.3 MB
utmost_conform v22 2088 games, 5194630 moves, e=0.010, loss: 26081.4, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.682, 6.527 sec/game, 128.7 min. total, 1050.1 MB
utmost_conform v22 2089 games, 5197117 moves, e=0.010, loss: 30906.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.682, 6.478 sec/game, 128.8 min. total, 1046.2 MB
utmost_conform v22 2090 games, 5199692 moves, e=0.010, loss: 33168.8, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.682, 6.471 sec/game, 128.9 min. total, 1044.0 MB
utmost_conform v22 2091 games, 5202198 moves, e=0.010, loss: 36965.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.684, 6.463 sec/game, 129.0 min. total, 1041.3 MB
utmost_conform v22 2092 games, 5204859 moves, e=0.010, loss: 38375.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.684, 6.425 sec/game, 129.1 min. total, 1043.1 MB
utmost_conform v22 2093 games, 5207563 moves, e=0.010, loss: 39081.8, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.682, 6.436 sec/game, 129.2 min. total, 1046.9 MB
utmost_conform v22 2094 games, 5210018 moves, e=0.010, loss: 35347.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.682, 6.408 sec/game, 129.3 min. total, 1046.1 MB
utmost_conform v22 2095 games, 5212571 moves, e=0.010, loss: 32344.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.681, 6.393 sec/game, 129.4 min. total, 1046.6 MB
utmost_conform v22 2096 games, 5215064 moves, e=0.010, loss: 30365.5, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.680, 6.364 sec/game, 129.5 min. total, 1044.6 MB
utmost_conform v22 2097 games, 5217658 moves, e=0.010, loss: 34496.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.680, 6.358 sec/game, 129.6 min. total, 1044.7 MB
utmost_conform v22 2098 games, 5220205 moves, e=0.010, loss: 32994.1, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.681, 6.333 sec/game, 129.7 min. total, 1044.6 MB
utmost_conform v22 2099 games, 5222817 moves, e=0.010, loss: 30277.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.680, 6.334 sec/game, 129.8 min. total, 1045.7 MB
utmost_conform v22 2100 games, 5225462 moves, e=0.010, loss: 33481.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.681, 6.307 sec/game, 129.9 min. total, 1048.3 MB
utmost_conform v22 2101 games, 5227965 moves, e=0.010, loss: 34162.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.683, 6.257 sec/game, 130.0 min. total, 1048.2 MB
utmost_conform v22 2102 games, 5230689 moves, e=0.010, loss: 31398.6, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.683, 6.230 sec/game, 130.1 min. total, 1051.7 MB
utmost_conform v22 2103 games, 5233285 moves, e=0.010, loss: 33111.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.686, 6.213 sec/game, 130.2 min. total, 1052.5 MB
utmost_conform v22 2104 games, 5235978 moves, e=0.010, loss: 29915.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.688, 6.206 sec/game, 130.3 min. total, 1053.9 MB
utmost_conform v22 2105 games, 5238667 moves, e=0.010, loss: 30764.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.691, 6.191 sec/game, 130.4 min. total, 1056.0 MB
utmost_conform v22 2106 games, 5241226 moves, e=0.010, loss: 30728.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.693, 6.162 sec/game, 130.5 min. total, 1054.8 MB
utmost_conform v22 2107 games, 5243802 moves, e=0.010, loss: 31507.8, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.694, 6.133 sec/game, 130.6 min. total, 1054.5 MB
utmost_conform v22 2108 games, 5246440 moves, e=0.010, loss: 33619.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.693, 6.107 sec/game, 130.7 min. total, 1054.1 MB
utmost_conform v22 2109 games, 5249154 moves, e=0.010, loss: 33541.3, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.691, 6.146 sec/game, 130.8 min. total, 1056.5 MB
utmost_conform v22 2110 games, 5251746 moves, e=0.010, loss: 33699.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.693, 6.148 sec/game, 130.9 min. total, 1056.2 MB
utmost_conform v22 2111 games, 5254518 moves, e=0.010, loss: 36682.8, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.687, 6.162 sec/game, 131.0 min. total, 1058.2 MB
utmost_conform v22 2112 games, 5257348 moves, e=0.010, loss: 29826.1, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.687, 6.205 sec/game, 131.1 min. total, 1060.4 MB
utmost_conform v22 2113 games, 5259882 moves, e=0.010, loss: 32687.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.688, 6.166 sec/game, 131.2 min. total, 1058.3 MB
utmost_conform v22 2114 games, 5262726 moves, e=0.010, loss: 26247.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.684, 6.224 sec/game, 131.4 min. total, 1060.9 MB
utmost_conform v22 2115 games, 5265318 moves, e=0.010, loss: 27045.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.686, 6.226 sec/game, 131.5 min. total, 1058.7 MB
utmost_conform v22 2116 games, 5267874 moves, e=0.010, loss: 28009.6, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.687, 6.244 sec/game, 131.6 min. total, 1057.6 MB
utmost_conform v22 2117 games, 5270309 moves, e=0.010, loss: 30805.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.688, 6.228 sec/game, 131.7 min. total, 1057.6 MB
utmost_conform v22 2118 games, 5272932 moves, e=0.010, loss: 33219.1, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.687, 6.231 sec/game, 131.8 min. total, 1054.3 MB
utmost_conform v22 2119 games, 5275418 moves, e=0.010, loss: 36089.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.688, 6.217 sec/game, 131.9 min. total, 1053.9 MB
utmost_conform v22 2120 games, 5277970 moves, e=0.010, loss: 34160.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.690, 6.215 sec/game, 132.0 min. total, 1053.9 MB
utmost_conform v22 2121 games, 5280533 moves, e=0.010, loss: 35957.4, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.688, 6.213 sec/game, 132.1 min. total, 1057.5 MB
utmost_conform v22 2122 games, 5283076 moves, e=0.010, loss: 38947.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.688, 6.198 sec/game, 132.2 min. total, 1057.2 MB
utmost_conform v22 2123 games, 5285616 moves, e=0.010, loss: 38258.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.690, 6.175 sec/game, 132.3 min. total, 1058.8 MB
utmost_conform v22 2124 games, 5288086 moves, e=0.010, loss: 37017.4, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.692, 6.151 sec/game, 132.4 min. total, 1057.8 MB
utmost_conform v22 2125 games, 5290590 moves, e=0.010, loss: 34600.4, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.693, 6.114 sec/game, 132.5 min. total, 1060.1 MB
utmost_conform v22 2126 games, 5293202 moves, e=0.010, loss: 35851.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.693, 6.120 sec/game, 132.6 min. total, 1060.2 MB
utmost_conform v22 2127 games, 5295628 moves, e=0.010, loss: 33259.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.696, 6.100 sec/game, 132.7 min. total, 1058.1 MB
utmost_conform v22 2128 games, 5298092 moves, e=0.010, loss: 33190.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.700, 6.087 sec/game, 132.8 min. total, 1059.5 MB
utmost_conform v22 2129 games, 5300618 moves, e=0.010, loss: 33824.6, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.700, 6.063 sec/game, 132.9 min. total, 1060.1 MB
utmost_conform v22 2130 games, 5303373 moves, e=0.010, loss: 29896.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.699, 6.082 sec/game, 133.0 min. total, 1061.8 MB
utmost_conform v22 2131 games, 5306012 moves, e=0.010, loss: 30113.6, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.699, 6.082 sec/game, 133.1 min. total, 1064.3 MB
utmost_conform v22 2132 games, 5308544 moves, e=0.010, loss: 30805.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.703, 6.053 sec/game, 133.2 min. total, 1064.2 MB
utmost_conform v22 2133 games, 5311039 moves, e=0.010, loss: 29727.4, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.706, 6.053 sec/game, 133.3 min. total, 1066.0 MB
utmost_conform v22 2134 games, 5313559 moves, e=0.010, loss: 32865.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.708, 6.017 sec/game, 133.4 min. total, 1063.5 MB
utmost_conform v22 2135 games, 5316094 moves, e=0.010, loss: 29860.9, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.710, 6.007 sec/game, 133.5 min. total, 1062.8 MB
utmost_conform v22 2136 games, 5318698 moves, e=0.010, loss: 30273.6, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.712, 6.017 sec/game, 133.6 min. total, 1064.2 MB
utmost_conform v22 2137 games, 5321130 moves, e=0.010, loss: 33693.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.712, 6.012 sec/game, 133.7 min. total, 1062.7 MB
utmost_conform v22 2138 games, 5323510 moves, e=0.010, loss: 37165.3, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.717, 5.987 sec/game, 133.8 min. total, 1063.4 MB
utmost_conform v22 2139 games, 5325874 moves, e=0.010, loss: 34752.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.720, 5.982 sec/game, 133.9 min. total, 1061.4 MB
utmost_conform v22 2140 games, 5328307 moves, e=0.010, loss: 31765.2, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.723, 5.973 sec/game, 134.0 min. total, 1059.3 MB
utmost_conform v22 2141 games, 5330830 moves, e=0.010, loss: 31867.3, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.726, 5.971 sec/game, 134.1 min. total, 1061.2 MB
utmost_conform v22 2142 games, 5333206 moves, e=0.010, loss: 31729.7, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.731, 5.940 sec/game, 134.1 min. total, 1061.8 MB
utmost_conform v22 2143 games, 5335600 moves, e=0.010, loss: 33476.0, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.735, 5.933 sec/game, 134.2 min. total, 1061.4 MB
utmost_conform v22 2144 games, 5338050 moves, e=0.010, loss: 34771.4, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.737, 5.919 sec/game, 134.3 min. total, 1062.5 MB
utmost_conform v22 2145 games, 5340482 moves, e=0.010, loss: 39614.6, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.737, 5.916 sec/game, 134.4 min. total, 1062.8 MB
utmost_conform v22 2146 games, 5342903 moves, e=0.010, loss: 41072.1, -, 0.7% elo% vs. terrible_bot, avg. reward: -1.738, 5.890 sec/game, 134.5 min. total, 1064.5 MB
