utmost_conform v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.8 MB
utmost_conform v3 52 games, 37595 moves, e=0.963, loss: 6.9, -, 41.6% elo% vs. random_no_suicide, avg. reward: -9.791, 1.555 sec/game, 1.1 min. total, 474.2 MB
utmost_conform v3 53 games, 38195 moves, e=0.962, loss: 7.1, -, 39.8% elo% vs. random_no_suicide, avg. reward: -9.832, 1.548 sec/game, 1.1 min. total, 474.4 MB
utmost_conform v3 54 games, 38891 moves, e=0.961, loss: 7.2, -, 38.0% elo% vs. random_no_suicide, avg. reward: -9.829, 1.533 sec/game, 1.1 min. total, 474.4 MB
utmost_conform v3 55 games, 39627 moves, e=0.961, loss: 7.2, -, 36.4% elo% vs. random_no_suicide, avg. reward: -9.828, 1.534 sec/game, 1.1 min. total, 474.5 MB
utmost_conform v3 56 games, 40352 moves, e=0.960, loss: 7.3, -, 34.9% elo% vs. random_no_suicide, avg. reward: -9.825, 1.546 sec/game, 1.2 min. total, 473.2 MB
utmost_conform v3 57 games, 40950 moves, e=0.959, loss: 7.3, +, 37.6% elo% vs. random_no_suicide, avg. reward: -9.863, 1.519 sec/game, 1.2 min. total, 471.1 MB
utmost_conform v3 58 games, 41698 moves, e=0.959, loss: 7.3, +, 40.4% elo% vs. random_no_suicide, avg. reward: -9.857, 1.520 sec/game, 1.2 min. total, 471.2 MB
utmost_conform v3 59 games, 42433 moves, e=0.958, loss: 7.5, +, 43.0% elo% vs. random_no_suicide, avg. reward: -9.849, 1.530 sec/game, 1.2 min. total, 471.8 MB
utmost_conform v3 60 games, 43134 moves, e=0.957, loss: 7.6, -, 41.1% elo% vs. random_no_suicide, avg. reward: -9.848, 1.518 sec/game, 1.3 min. total, 475.6 MB
utmost_conform v3 61 games, 43917 moves, e=0.957, loss: 7.4, -, 39.3% elo% vs. random_no_suicide, avg. reward: -9.831, 1.531 sec/game, 1.3 min. total, 476.0 MB
utmost_conform v3 62 games, 44666 moves, e=0.956, loss: 7.1, +, 42.0% elo% vs. random_no_suicide, avg. reward: -9.818, 1.534 sec/game, 1.3 min. total, 473.1 MB
utmost_conform v3 63 games, 45428 moves, e=0.955, loss: 6.8, -, 40.1% elo% vs. random_no_suicide, avg. reward: -9.807, 1.543 sec/game, 1.3 min. total, 476.7 MB
utmost_conform v3 64 games, 46323 moves, e=0.954, loss: 6.4, +, 42.8% elo% vs. random_no_suicide, avg. reward: -9.769, 1.575 sec/game, 1.4 min. total, 473.4 MB
