untrimmed_irate v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 308.9 MB
untrimmed_irate v4 101 games, 71844 moves, e=0.929, loss: 35839.6, -, 47.7% elo% vs. random_no_suicide, avg. reward: 28.889, 1.648 sec/game, 2.4 min. total, 455.8 MB
untrimmed_irate v4 102 games, 72613 moves, e=0.928, loss: 29886.0, -, 45.5% elo% vs. random_no_suicide, avg. reward: 29.123, 1.663 sec/game, 2.4 min. total, 455.7 MB
untrimmed_irate v4 103 games, 73327 moves, e=0.927, loss: 29062.8, -, 43.4% elo% vs. random_no_suicide, avg. reward: 29.685, 1.651 sec/game, 2.5 min. total, 455.7 MB
untrimmed_irate v4 104 games, 74077 moves, e=0.927, loss: 34986.9, -, 41.5% elo% vs. random_no_suicide, avg. reward: 29.961, 1.668 sec/game, 2.5 min. total, 456.1 MB
untrimmed_irate v4 105 games, 74900 moves, e=0.926, loss: 35826.2, -, 39.6% elo% vs. random_no_suicide, avg. reward: 29.647, 1.692 sec/game, 2.5 min. total, 456.1 MB
untrimmed_irate v4 106 games, 75655 moves, e=0.925, loss: 30827.4, -, 37.9% elo% vs. random_no_suicide, avg. reward: 29.649, 1.704 sec/game, 2.5 min. total, 456.1 MB
untrimmed_irate v4 107 games, 76380 moves, e=0.924, loss: 30752.5, -, 36.3% elo% vs. random_no_suicide, avg. reward: 29.896, 1.692 sec/game, 2.6 min. total, 456.1 MB
untrimmed_irate v4 108 games, 77086 moves, e=0.924, loss: 35216.2, -, 34.8% elo% vs. random_no_suicide, avg. reward: 30.321, 1.693 sec/game, 2.6 min. total, 455.9 MB
untrimmed_irate v4 109 games, 77864 moves, e=0.923, loss: 37093.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: 29.749, 1.700 sec/game, 2.6 min. total, 456.0 MB
untrimmed_irate v4 110 games, 78554 moves, e=0.922, loss: 39432.2, -, 32.0% elo% vs. random_no_suicide, avg. reward: 29.751, 1.685 sec/game, 2.6 min. total, 455.9 MB
untrimmed_irate v4 111 games, 79238 moves, e=0.922, loss: 37033.6, -, 30.7% elo% vs. random_no_suicide, avg. reward: 30.341, 1.699 sec/game, 2.7 min. total, 457.6 MB
untrimmed_irate v4 112 games, 79807 moves, e=0.921, loss: 37896.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: 29.779, 1.665 sec/game, 2.7 min. total, 457.9 MB
untrimmed_irate v4 113 games, 80516 moves, e=0.920, loss: 35181.6, -, 28.4% elo% vs. random_no_suicide, avg. reward: 29.048, 1.644 sec/game, 2.7 min. total, 458.0 MB
untrimmed_irate v4 114 games, 81234 moves, e=0.920, loss: 38274.7, -, 27.3% elo% vs. random_no_suicide, avg. reward: 28.309, 1.638 sec/game, 2.7 min. total, 458.7 MB
untrimmed_irate v4 115 games, 81953 moves, e=0.919, loss: 35010.2, -, 26.4% elo% vs. random_no_suicide, avg. reward: 28.585, 1.621 sec/game, 2.8 min. total, 457.9 MB
untrimmed_irate v4 116 games, 82858 moves, e=0.918, loss: 34057.3, -, 25.4% elo% vs. random_no_suicide, avg. reward: 28.739, 1.641 sec/game, 2.8 min. total, 458.1 MB
untrimmed_irate v4 117 games, 83611 moves, e=0.917, loss: 34956.8, -, 24.5% elo% vs. random_no_suicide, avg. reward: 28.983, 1.631 sec/game, 2.8 min. total, 458.2 MB
untrimmed_irate v4 118 games, 84261 moves, e=0.917, loss: 37937.3, -, 23.7% elo% vs. random_no_suicide, avg. reward: 29.301, 1.599 sec/game, 2.9 min. total, 457.9 MB
untrimmed_irate v4 119 games, 85007 moves, e=0.916, loss: 36634.1, -, 22.9% elo% vs. random_no_suicide, avg. reward: 29.307, 1.610 sec/game, 2.9 min. total, 458.0 MB
untrimmed_irate v4 120 games, 85674 moves, e=0.915, loss: 35286.5, +, 25.5% elo% vs. random_no_suicide, avg. reward: 29.300, 1.601 sec/game, 2.9 min. total, 457.9 MB
untrimmed_irate v4 121 games, 86471 moves, e=0.914, loss: 34415.3, -, 24.7% elo% vs. random_no_suicide, avg. reward: 29.933, 1.601 sec/game, 2.9 min. total, 458.2 MB
untrimmed_irate v4 122 games, 87213 moves, e=0.914, loss: 32234.4, -, 23.8% elo% vs. random_no_suicide, avg. reward: 30.203, 1.598 sec/game, 3.0 min. total, 459.7 MB
untrimmed_irate v4 123 games, 87879 moves, e=0.913, loss: 31760.2, -, 23.0% elo% vs. random_no_suicide, avg. reward: 30.650, 1.601 sec/game, 3.0 min. total, 460.4 MB
untrimmed_irate v4 124 games, 88785 moves, e=0.912, loss: 33518.3, -, 22.3% elo% vs. random_no_suicide, avg. reward: 30.656, 1.615 sec/game, 3.0 min. total, 460.5 MB
untrimmed_irate v4 125 games, 89551 moves, e=0.911, loss: 30078.1, -, 21.6% elo% vs. random_no_suicide, avg. reward: 30.910, 1.603 sec/game, 3.1 min. total, 460.6 MB
untrimmed_irate v4 126 games, 90285 moves, e=0.911, loss: 33547.8, -, 20.9% elo% vs. random_no_suicide, avg. reward: 31.322, 1.603 sec/game, 3.1 min. total, 460.4 MB
