untrimmed_irate v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 308.9 MB
untrimmed_irate v5 290 games, 221436 moves, e=0.781, loss: 43325.6, -, 8.9% elo% vs. random_no_suicide, avg. reward: 35.426, 1.999 sec/game, 8.8 min. total, 412.4 MB
untrimmed_irate v5 291 games, 222253 moves, e=0.780, loss: 42666.7, -, 8.8% elo% vs. random_no_suicide, avg. reward: 35.498, 2.016 sec/game, 8.8 min. total, 413.1 MB
untrimmed_irate v5 292 games, 223058 moves, e=0.779, loss: 43116.7, -, 8.6% elo% vs. random_no_suicide, avg. reward: 35.125, 2.031 sec/game, 8.9 min. total, 414.3 MB
untrimmed_irate v5 293 games, 223898 moves, e=0.778, loss: 48243.6, -, 8.5% elo% vs. random_no_suicide, avg. reward: 34.664, 2.036 sec/game, 8.9 min. total, 414.9 MB
untrimmed_irate v5 294 games, 224713 moves, e=0.778, loss: 49461.8, +, 9.9% elo% vs. random_no_suicide, avg. reward: 34.737, 2.039 sec/game, 8.9 min. total, 414.9 MB
untrimmed_irate v5 295 games, 225414 moves, e=0.777, loss: 51392.6, -, 9.7% elo% vs. random_no_suicide, avg. reward: 34.894, 2.024 sec/game, 9.0 min. total, 414.8 MB
untrimmed_irate v5 296 games, 226295 moves, e=0.776, loss: 47438.5, -, 9.6% elo% vs. random_no_suicide, avg. reward: 34.383, 2.056 sec/game, 9.0 min. total, 415.0 MB
untrimmed_irate v5 297 games, 227054 moves, e=0.775, loss: 46154.5, -, 9.4% elo% vs. random_no_suicide, avg. reward: 34.475, 2.062 sec/game, 9.0 min. total, 414.8 MB
untrimmed_irate v5 298 games, 227810 moves, e=0.774, loss: 42862.5, -, 9.3% elo% vs. random_no_suicide, avg. reward: 34.452, 2.082 sec/game, 9.1 min. total, 415.0 MB
untrimmed_irate v5 299 games, 228589 moves, e=0.774, loss: 42625.5, -, 9.1% elo% vs. random_no_suicide, avg. reward: 34.542, 2.106 sec/game, 9.1 min. total, 415.2 MB
untrimmed_irate v5 300 games, 229460 moves, e=0.773, loss: 46703.1, -, 9.0% elo% vs. random_no_suicide, avg. reward: 35.114, 2.124 sec/game, 9.2 min. total, 416.6 MB
untrimmed_irate v6 301 games, 230272 moves, e=0.772, loss: 47645.0, -, 47.7% elo% vs. random_no_suicide, avg. reward: 35.483, 2.166 sec/game, 9.2 min. total, 416.0 MB
untrimmed_irate v6 302 games, 231081 moves, e=0.771, loss: 43929.2, +, 50.1% elo% vs. random_no_suicide, avg. reward: 35.069, 2.204 sec/game, 9.2 min. total, 417.7 MB
untrimmed_irate v6 303 games, 232005 moves, e=0.770, loss: 41662.8, -, 47.8% elo% vs. random_no_suicide, avg. reward: 35.271, 2.257 sec/game, 9.3 min. total, 417.5 MB
untrimmed_irate v6 304 games, 232881 moves, e=0.769, loss: 43157.4, -, 45.6% elo% vs. random_no_suicide, avg. reward: 34.876, 2.260 sec/game, 9.3 min. total, 417.5 MB
untrimmed_irate v6 305 games, 233889 moves, e=0.768, loss: 39523.2, -, 43.5% elo% vs. random_no_suicide, avg. reward: 35.285, 2.301 sec/game, 9.4 min. total, 417.3 MB
untrimmed_irate v6 306 games, 234761 moves, e=0.768, loss: 36996.4, -, 41.6% elo% vs. random_no_suicide, avg. reward: 35.638, 2.351 sec/game, 9.4 min. total, 417.2 MB
untrimmed_irate v6 307 games, 235559 moves, e=0.767, loss: 39862.7, -, 39.7% elo% vs. random_no_suicide, avg. reward: 36.009, 2.336 sec/game, 9.5 min. total, 417.3 MB
untrimmed_irate v6 308 games, 236521 moves, e=0.766, loss: 44855.5, -, 38.0% elo% vs. random_no_suicide, avg. reward: 35.929, 2.380 sec/game, 9.5 min. total, 418.0 MB
untrimmed_irate v6 309 games, 237409 moves, e=0.765, loss: 44112.9, -, 36.4% elo% vs. random_no_suicide, avg. reward: 35.564, 2.409 sec/game, 9.6 min. total, 417.8 MB
untrimmed_irate v6 310 games, 238313 moves, e=0.764, loss: 43866.7, ., 36.9% elo% vs. random_no_suicide, avg. reward: 34.970, 2.486 sec/game, 9.6 min. total, 418.9 MB
untrimmed_irate v6 311 games, 239265 moves, e=0.763, loss: 37250.6, -, 35.4% elo% vs. random_no_suicide, avg. reward: 35.077, 2.541 sec/game, 9.7 min. total, 419.4 MB
untrimmed_irate v6 312 games, 240149 moves, e=0.762, loss: 38353.1, ., 36.0% elo% vs. random_no_suicide, avg. reward: 35.158, 2.552 sec/game, 9.7 min. total, 419.7 MB
untrimmed_irate v6 313 games, 240964 moves, e=0.761, loss: 35971.6, -, 34.5% elo% vs. random_no_suicide, avg. reward: 35.157, 2.551 sec/game, 9.7 min. total, 419.7 MB
untrimmed_irate v6 314 games, 241798 moves, e=0.761, loss: 36123.9, -, 33.1% elo% vs. random_no_suicide, avg. reward: 35.879, 2.573 sec/game, 9.8 min. total, 419.9 MB
untrimmed_irate v6 315 games, 242645 moves, e=0.760, loss: 34957.8, -, 31.7% elo% vs. random_no_suicide, avg. reward: 36.234, 2.595 sec/game, 9.8 min. total, 420.0 MB
untrimmed_irate v6 316 games, 243494 moves, e=0.759, loss: 41537.5, -, 30.5% elo% vs. random_no_suicide, avg. reward: 36.373, 2.585 sec/game, 9.9 min. total, 420.0 MB
untrimmed_irate v6 317 games, 244580 moves, e=0.758, loss: 43205.5, -, 29.3% elo% vs. random_no_suicide, avg. reward: 35.916, 2.614 sec/game, 9.9 min. total, 420.1 MB
untrimmed_irate v6 318 games, 245438 moves, e=0.757, loss: 44876.9, -, 28.2% elo% vs. random_no_suicide, avg. reward: 36.013, 2.616 sec/game, 10.0 min. total, 420.0 MB
untrimmed_irate v6 319 games, 246312 moves, e=0.756, loss: 38834.7, -, 27.1% elo% vs. random_no_suicide, avg. reward: 36.128, 2.618 sec/game, 10.0 min. total, 421.9 MB
untrimmed_irate v6 320 games, 247195 moves, e=0.755, loss: 37474.5, -, 26.2% elo% vs. random_no_suicide, avg. reward: 36.050, 2.612 sec/game, 10.0 min. total, 422.4 MB
untrimmed_irate v6 321 games, 248070 moves, e=0.754, loss: 37758.6, -, 25.2% elo% vs. random_no_suicide, avg. reward: 35.799, 2.592 sec/game, 10.1 min. total, 422.3 MB
untrimmed_irate v6 322 games, 248861 moves, e=0.754, loss: 40271.9, -, 24.4% elo% vs. random_no_suicide, avg. reward: 35.440, 2.567 sec/game, 10.1 min. total, 422.3 MB
untrimmed_irate v6 323 games, 249738 moves, e=0.753, loss: 35470.0, -, 23.6% elo% vs. random_no_suicide, avg. reward: 35.232, 2.540 sec/game, 10.1 min. total, 422.8 MB
untrimmed_irate v6 324 games, 250505 moves, e=0.752, loss: 40527.8, -, 22.8% elo% vs. random_no_suicide, avg. reward: 35.234, 2.538 sec/game, 10.2 min. total, 422.7 MB
untrimmed_irate v6 325 games, 251374 moves, e=0.751, loss: 42938.8, -, 22.1% elo% vs. random_no_suicide, avg. reward: 35.449, 2.488 sec/game, 10.2 min. total, 423.4 MB
untrimmed_irate v6 326 games, 252159 moves, e=0.750, loss: 44194.9, -, 21.4% elo% vs. random_no_suicide, avg. reward: 35.712, 2.463 sec/game, 10.2 min. total, 423.5 MB
untrimmed_irate v6 327 games, 253159 moves, e=0.749, loss: 41659.8, -, 20.7% elo% vs. random_no_suicide, avg. reward: 35.893, 2.494 sec/game, 10.3 min. total, 423.4 MB
untrimmed_irate v6 328 games, 254026 moves, e=0.749, loss: 46597.9, -, 20.1% elo% vs. random_no_suicide, avg. reward: 36.708, 2.457 sec/game, 10.3 min. total, 425.1 MB
untrimmed_irate v6 329 games, 254854 moves, e=0.748, loss: 42619.0, -, 19.5% elo% vs. random_no_suicide, avg. reward: 36.111, 2.438 sec/game, 10.4 min. total, 424.9 MB
untrimmed_irate v6 330 games, 255767 moves, e=0.747, loss: 46369.2, -, 19.0% elo% vs. random_no_suicide, avg. reward: 35.927, 2.401 sec/game, 10.4 min. total, 425.0 MB
untrimmed_irate v6 331 games, 256767 moves, e=0.746, loss: 48096.7, -, 18.4% elo% vs. random_no_suicide, avg. reward: 36.225, 2.355 sec/game, 10.5 min. total, 425.2 MB
untrimmed_irate v6 332 games, 257678 moves, e=0.745, loss: 43895.4, ., 19.3% elo% vs. random_no_suicide, avg. reward: 36.491, 2.374 sec/game, 10.5 min. total, 425.2 MB
untrimmed_irate v6 333 games, 258682 moves, e=0.744, loss: 41618.9, +, 21.7% elo% vs. random_no_suicide, avg. reward: 36.428, 2.386 sec/game, 10.5 min. total, 425.5 MB
untrimmed_irate v6 334 games, 259567 moves, e=0.743, loss: 51268.0, -, 21.1% elo% vs. random_no_suicide, avg. reward: 36.999, 2.387 sec/game, 10.6 min. total, 425.4 MB
untrimmed_irate v6 335 games, 260422 moves, e=0.742, loss: 55310.1, +, 23.6% elo% vs. random_no_suicide, avg. reward: 36.867, 2.389 sec/game, 10.6 min. total, 425.7 MB
untrimmed_irate v6 336 games, 261291 moves, e=0.741, loss: 53686.9, ., 24.5% elo% vs. random_no_suicide, avg. reward: 36.749, 2.388 sec/game, 10.7 min. total, 427.1 MB
untrimmed_irate v6 337 games, 262067 moves, e=0.741, loss: 52417.1, -, 23.6% elo% vs. random_no_suicide, avg. reward: 36.584, 2.346 sec/game, 10.7 min. total, 428.0 MB
untrimmed_irate v6 338 games, 262889 moves, e=0.740, loss: 51952.4, -, 22.9% elo% vs. random_no_suicide, avg. reward: 36.410, 2.335 sec/game, 10.7 min. total, 427.8 MB
untrimmed_irate v6 339 games, 263851 moves, e=0.739, loss: 43452.7, -, 22.1% elo% vs. random_no_suicide, avg. reward: 36.835, 2.344 sec/game, 10.8 min. total, 428.0 MB
untrimmed_irate v6 340 games, 264779 moves, e=0.738, loss: 38655.1, +, 24.7% elo% vs. random_no_suicide, avg. reward: 36.537, 2.359 sec/game, 10.8 min. total, 427.8 MB
untrimmed_irate v6 341 games, 265703 moves, e=0.737, loss: 46182.8, -, 23.9% elo% vs. random_no_suicide, avg. reward: 36.977, 2.365 sec/game, 10.9 min. total, 427.8 MB
untrimmed_irate v6 342 games, 266515 moves, e=0.736, loss: 43197.6, -, 23.1% elo% vs. random_no_suicide, avg. reward: 36.817, 2.377 sec/game, 10.9 min. total, 427.9 MB
untrimmed_irate v6 343 games, 267344 moves, e=0.735, loss: 44706.6, -, 22.3% elo% vs. random_no_suicide, avg. reward: 36.763, 2.357 sec/game, 10.9 min. total, 427.5 MB
untrimmed_irate v6 344 games, 268139 moves, e=0.735, loss: 47578.0, -, 21.6% elo% vs. random_no_suicide, avg. reward: 36.628, 2.349 sec/game, 11.0 min. total, 427.7 MB
untrimmed_irate v6 345 games, 269020 moves, e=0.734, loss: 47169.7, -, 21.0% elo% vs. random_no_suicide, avg. reward: 36.239, 2.364 sec/game, 11.0 min. total, 428.8 MB
untrimmed_irate v6 346 games, 269942 moves, e=0.733, loss: 48058.1, -, 20.3% elo% vs. random_no_suicide, avg. reward: 36.894, 2.401 sec/game, 11.0 min. total, 430.9 MB
untrimmed_irate v6 347 games, 270969 moves, e=0.732, loss: 44119.7, +, 22.8% elo% vs. random_no_suicide, avg. reward: 37.049, 2.425 sec/game, 11.1 min. total, 430.8 MB
untrimmed_irate v6 348 games, 271928 moves, e=0.731, loss: 44215.4, -, 22.1% elo% vs. random_no_suicide, avg. reward: 36.919, 2.456 sec/game, 11.2 min. total, 431.0 MB
untrimmed_irate v6 349 games, 272848 moves, e=0.730, loss: 46351.4, -, 21.4% elo% vs. random_no_suicide, avg. reward: 37.129, 2.474 sec/game, 11.2 min. total, 431.2 MB
untrimmed_irate v6 350 games, 273743 moves, e=0.729, loss: 48591.3, -, 20.7% elo% vs. random_no_suicide, avg. reward: 37.421, 2.520 sec/game, 11.3 min. total, 431.2 MB
untrimmed_irate v6 351 games, 274771 moves, e=0.728, loss: 47763.8, -, 20.1% elo% vs. random_no_suicide, avg. reward: 37.237, 2.580 sec/game, 11.3 min. total, 431.4 MB
untrimmed_irate v6 352 games, 275590 moves, e=0.727, loss: 53897.5, +, 22.6% elo% vs. random_no_suicide, avg. reward: 37.235, 2.563 sec/game, 11.4 min. total, 431.8 MB
untrimmed_irate v6 353 games, 276515 moves, e=0.726, loss: 57129.6, -, 21.9% elo% vs. random_no_suicide, avg. reward: 36.964, 2.571 sec/game, 11.4 min. total, 431.8 MB
untrimmed_irate v6 354 games, 277388 moves, e=0.725, loss: 53786.5, -, 21.2% elo% vs. random_no_suicide, avg. reward: 36.840, 2.639 sec/game, 11.5 min. total, 432.2 MB
untrimmed_irate v6 355 games, 278263 moves, e=0.725, loss: 46431.6, -, 20.5% elo% vs. random_no_suicide, avg. reward: 36.862, 2.772 sec/game, 11.5 min. total, 432.4 MB
untrimmed_irate v6 356 games, 279108 moves, e=0.724, loss: 42184.9, +, 23.0% elo% vs. random_no_suicide, avg. reward: 36.958, 2.886 sec/game, 11.6 min. total, 424.3 MB
untrimmed_irate v6 357 games, 279905 moves, e=0.723, loss: 48613.6, -, 22.3% elo% vs. random_no_suicide, avg. reward: 36.340, 3.000 sec/game, 11.7 min. total, 424.4 MB
untrimmed_irate v6 358 games, 280754 moves, e=0.722, loss: 46000.4, -, 21.6% elo% vs. random_no_suicide, avg. reward: 36.574, 3.041 sec/game, 11.7 min. total, 424.5 MB
untrimmed_irate v6 359 games, 281519 moves, e=0.721, loss: 39590.5, -, 20.9% elo% vs. random_no_suicide, avg. reward: 36.308, 3.023 sec/game, 11.8 min. total, 424.3 MB
untrimmed_irate v6 360 games, 282340 moves, e=0.720, loss: 37210.0, -, 20.3% elo% vs. random_no_suicide, avg. reward: 36.476, 3.014 sec/game, 11.8 min. total, 424.8 MB
untrimmed_irate v6 361 games, 283213 moves, e=0.720, loss: 40233.0, -, 19.7% elo% vs. random_no_suicide, avg. reward: 36.822, 3.012 sec/game, 11.9 min. total, 425.2 MB
untrimmed_irate v6 362 games, 284060 moves, e=0.719, loss: 38746.0, -, 19.1% elo% vs. random_no_suicide, avg. reward: 37.172, 3.020 sec/game, 11.9 min. total, 426.6 MB
untrimmed_irate v6 363 games, 284847 moves, e=0.718, loss: 40711.2, -, 18.6% elo% vs. random_no_suicide, avg. reward: 37.084, 3.032 sec/game, 11.9 min. total, 427.9 MB
untrimmed_irate v6 364 games, 285677 moves, e=0.717, loss: 44353.5, ., 19.5% elo% vs. random_no_suicide, avg. reward: 36.835, 3.038 sec/game, 12.0 min. total, 428.9 MB
untrimmed_irate v6 365 games, 286550 moves, e=0.716, loss: 43000.6, +, 21.9% elo% vs. random_no_suicide, avg. reward: 36.894, 3.048 sec/game, 12.0 min. total, 428.9 MB
untrimmed_irate v6 366 games, 287427 moves, e=0.715, loss: 50135.0, -, 21.2% elo% vs. random_no_suicide, avg. reward: 36.413, 3.024 sec/game, 12.1 min. total, 429.1 MB
untrimmed_irate v6 367 games, 288251 moves, e=0.715, loss: 44949.8, -, 20.6% elo% vs. random_no_suicide, avg. reward: 36.032, 2.964 sec/game, 12.1 min. total, 429.0 MB
untrimmed_irate v6 368 games, 289113 moves, e=0.714, loss: 44370.9, +, 23.1% elo% vs. random_no_suicide, avg. reward: 35.509, 2.943 sec/game, 12.1 min. total, 429.0 MB
untrimmed_irate v6 369 games, 289924 moves, e=0.713, loss: 41473.1, -, 22.3% elo% vs. random_no_suicide, avg. reward: 35.879, 2.932 sec/game, 12.2 min. total, 428.8 MB
untrimmed_irate v6 370 games, 290802 moves, e=0.712, loss: 38105.9, -, 21.6% elo% vs. random_no_suicide, avg. reward: 35.250, 2.871 sec/game, 12.2 min. total, 429.1 MB
untrimmed_irate v6 371 games, 291771 moves, e=0.711, loss: 35840.8, ., 22.5% elo% vs. random_no_suicide, avg. reward: 35.032, 2.823 sec/game, 12.3 min. total, 429.3 MB
untrimmed_irate v6 372 games, 292686 moves, e=0.710, loss: 37475.2, -, 21.8% elo% vs. random_no_suicide, avg. reward: 34.982, 2.825 sec/game, 12.3 min. total, 430.7 MB
untrimmed_irate v6 373 games, 293723 moves, e=0.709, loss: 40400.3, -, 21.1% elo% vs. random_no_suicide, avg. reward: 34.370, 2.833 sec/game, 12.3 min. total, 430.9 MB
untrimmed_irate v6 374 games, 294569 moves, e=0.708, loss: 37363.8, -, 20.5% elo% vs. random_no_suicide, avg. reward: 34.498, 2.781 sec/game, 12.4 min. total, 430.8 MB
untrimmed_irate v6 375 games, 295301 moves, e=0.708, loss: 37232.5, -, 19.9% elo% vs. random_no_suicide, avg. reward: 34.747, 2.641 sec/game, 12.4 min. total, 430.8 MB
untrimmed_irate v6 376 games, 296206 moves, e=0.707, loss: 36594.5, -, 19.3% elo% vs. random_no_suicide, avg. reward: 34.702, 2.541 sec/game, 12.5 min. total, 431.1 MB
untrimmed_irate v6 377 games, 297160 moves, e=0.706, loss: 34542.5, -, 18.8% elo% vs. random_no_suicide, avg. reward: 34.469, 2.474 sec/game, 12.5 min. total, 431.3 MB
untrimmed_irate v6 378 games, 297891 moves, e=0.705, loss: 40266.0, -, 18.2% elo% vs. random_no_suicide, avg. reward: 34.467, 2.439 sec/game, 12.6 min. total, 431.6 MB
untrimmed_irate v6 379 games, 298839 moves, e=0.704, loss: 35223.0, -, 17.7% elo% vs. random_no_suicide, avg. reward: 34.519, 2.446 sec/game, 12.6 min. total, 431.4 MB
untrimmed_irate v6 380 games, 299741 moves, e=0.703, loss: 38862.4, +, 20.1% elo% vs. random_no_suicide, avg. reward: 34.602, 2.439 sec/game, 12.6 min. total, 431.3 MB
untrimmed_irate v6 381 games, 300695 moves, e=0.702, loss: 33567.1, -, 19.5% elo% vs. random_no_suicide, avg. reward: 34.643, 2.443 sec/game, 12.7 min. total, 432.6 MB
untrimmed_irate v6 382 games, 301685 moves, e=0.701, loss: 39188.3, -, 18.9% elo% vs. random_no_suicide, avg. reward: 35.157, 2.450 sec/game, 12.7 min. total, 433.4 MB
untrimmed_irate v6 383 games, 302593 moves, e=0.700, loss: 44475.4, +, 21.3% elo% vs. random_no_suicide, avg. reward: 34.876, 2.471 sec/game, 12.8 min. total, 433.5 MB
untrimmed_irate v6 384 games, 303631 moves, e=0.699, loss: 43328.1, -, 20.7% elo% vs. random_no_suicide, avg. reward: 34.939, 2.510 sec/game, 12.8 min. total, 433.5 MB
untrimmed_irate v6 385 games, 304458 moves, e=0.699, loss: 37023.8, -, 20.0% elo% vs. random_no_suicide, avg. reward: 34.726, 2.491 sec/game, 12.8 min. total, 433.3 MB
untrimmed_irate v6 386 games, 305458 moves, e=0.698, loss: 45857.7, -, 19.5% elo% vs. random_no_suicide, avg. reward: 34.701, 2.503 sec/game, 12.9 min. total, 433.7 MB
untrimmed_irate v6 387 games, 306326 moves, e=0.697, loss: 40572.7, -, 18.9% elo% vs. random_no_suicide, avg. reward: 34.732, 2.527 sec/game, 12.9 min. total, 433.8 MB
untrimmed_irate v6 388 games, 307096 moves, e=0.696, loss: 40976.8, -, 18.4% elo% vs. random_no_suicide, avg. reward: 34.447, 2.504 sec/game, 13.0 min. total, 433.8 MB
untrimmed_irate v6 389 games, 308064 moves, e=0.695, loss: 41042.7, +, 20.7% elo% vs. random_no_suicide, avg. reward: 33.863, 2.501 sec/game, 13.0 min. total, 434.2 MB
untrimmed_irate v6 390 games, 308830 moves, e=0.694, loss: 49064.5, -, 20.1% elo% vs. random_no_suicide, avg. reward: 34.646, 2.490 sec/game, 13.0 min. total, 436.0 MB
untrimmed_irate v6 391 games, 309871 moves, e=0.693, loss: 46368.8, -, 19.5% elo% vs. random_no_suicide, avg. reward: 34.453, 2.489 sec/game, 13.1 min. total, 437.2 MB
untrimmed_irate v6 392 games, 310694 moves, e=0.692, loss: 51144.2, -, 19.0% elo% vs. random_no_suicide, avg. reward: 35.062, 2.470 sec/game, 13.1 min. total, 437.1 MB
untrimmed_irate v6 393 games, 311398 moves, e=0.692, loss: 53379.1, -, 18.4% elo% vs. random_no_suicide, avg. reward: 35.005, 2.421 sec/game, 13.2 min. total, 437.0 MB
untrimmed_irate v6 394 games, 312355 moves, e=0.691, loss: 50509.7, -, 17.9% elo% vs. random_no_suicide, avg. reward: 35.042, 2.410 sec/game, 13.2 min. total, 437.3 MB
untrimmed_irate v6 395 games, 313220 moves, e=0.690, loss: 52828.2, -, 17.5% elo% vs. random_no_suicide, avg. reward: 34.762, 2.419 sec/game, 13.2 min. total, 438.0 MB
untrimmed_irate v6 396 games, 314151 moves, e=0.689, loss: 45365.5, -, 17.0% elo% vs. random_no_suicide, avg. reward: 35.302, 2.403 sec/game, 13.3 min. total, 438.1 MB
untrimmed_irate v6 397 games, 315045 moves, e=0.688, loss: 42092.0, -, 16.6% elo% vs. random_no_suicide, avg. reward: 35.341, 2.382 sec/game, 13.3 min. total, 438.2 MB
untrimmed_irate v6 398 games, 315948 moves, e=0.687, loss: 52797.6, -, 16.1% elo% vs. random_no_suicide, avg. reward: 35.039, 2.387 sec/game, 13.4 min. total, 438.4 MB
untrimmed_irate v6 399 games, 316780 moves, e=0.686, loss: 46190.7, -, 15.7% elo% vs. random_no_suicide, avg. reward: 35.009, 2.368 sec/game, 13.4 min. total, 438.4 MB
untrimmed_irate v6 400 games, 317781 moves, e=0.685, loss: 45267.8, -, 15.4% elo% vs. random_no_suicide, avg. reward: 34.938, 2.395 sec/game, 13.4 min. total, 439.4 MB
untrimmed_irate v7 401 games, 318760 moves, e=0.684, loss: 41036.1, -, 47.7% elo% vs. random_no_suicide, avg. reward: 35.393, 2.410 sec/game, 13.5 min. total, 439.4 MB
untrimmed_irate v7 402 games, 319728 moves, e=0.683, loss: 42748.6, -, 45.5% elo% vs. random_no_suicide, avg. reward: 35.915, 2.403 sec/game, 13.5 min. total, 439.5 MB
untrimmed_irate v7 403 games, 320728 moves, e=0.682, loss: 50078.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: 35.267, 2.408 sec/game, 13.6 min. total, 439.3 MB
untrimmed_irate v7 404 games, 321764 moves, e=0.681, loss: 53460.6, -, 41.5% elo% vs. random_no_suicide, avg. reward: 35.562, 2.407 sec/game, 13.6 min. total, 439.2 MB
untrimmed_irate v7 405 games, 322760 moves, e=0.680, loss: 46003.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: 35.667, 2.443 sec/game, 13.7 min. total, 439.7 MB
untrimmed_irate v7 406 games, 323776 moves, e=0.679, loss: 46960.1, -, 37.9% elo% vs. random_no_suicide, avg. reward: 35.918, 2.456 sec/game, 13.7 min. total, 439.8 MB
untrimmed_irate v7 407 games, 324603 moves, e=0.679, loss: 50524.7, -, 36.3% elo% vs. random_no_suicide, avg. reward: 35.543, 2.472 sec/game, 13.8 min. total, 440.7 MB
untrimmed_irate v7 408 games, 325541 moves, e=0.678, loss: 38293.0, ., 36.9% elo% vs. random_no_suicide, avg. reward: 35.554, 2.527 sec/game, 13.8 min. total, 442.4 MB
untrimmed_irate v7 409 games, 326513 moves, e=0.677, loss: 47336.2, -, 35.3% elo% vs. random_no_suicide, avg. reward: 35.970, 2.542 sec/game, 13.9 min. total, 442.7 MB
untrimmed_irate v7 410 games, 327521 moves, e=0.676, loss: 48618.4, -, 33.8% elo% vs. random_no_suicide, avg. reward: 36.670, 2.565 sec/game, 13.9 min. total, 442.8 MB
untrimmed_irate v7 411 games, 328384 moves, e=0.675, loss: 54565.6, -, 32.5% elo% vs. random_no_suicide, avg. reward: 36.246, 2.563 sec/game, 13.9 min. total, 442.4 MB
untrimmed_irate v7 412 games, 329376 moves, e=0.674, loss: 45556.9, -, 31.2% elo% vs. random_no_suicide, avg. reward: 36.394, 2.592 sec/game, 14.0 min. total, 443.1 MB
untrimmed_irate v7 413 games, 330320 moves, e=0.673, loss: 48850.6, -, 29.9% elo% vs. random_no_suicide, avg. reward: 36.120, 2.622 sec/game, 14.0 min. total, 443.3 MB
untrimmed_irate v7 414 games, 331359 moves, e=0.672, loss: 48650.7, -, 28.8% elo% vs. random_no_suicide, avg. reward: 35.407, 2.636 sec/game, 14.1 min. total, 443.5 MB
untrimmed_irate v7 415 games, 332339 moves, e=0.671, loss: 41887.2, +, 31.6% elo% vs. random_no_suicide, avg. reward: 35.773, 2.638 sec/game, 14.1 min. total, 443.5 MB
untrimmed_irate v7 416 games, 333286 moves, e=0.670, loss: 47053.4, -, 30.3% elo% vs. random_no_suicide, avg. reward: 35.187, 2.645 sec/game, 14.2 min. total, 443.9 MB
untrimmed_irate v7 417 games, 334111 moves, e=0.669, loss: 47869.1, -, 29.1% elo% vs. random_no_suicide, avg. reward: 35.179, 2.629 sec/game, 14.2 min. total, 444.5 MB
untrimmed_irate v7 418 games, 335061 moves, e=0.668, loss: 40366.1, -, 28.1% elo% vs. random_no_suicide, avg. reward: 35.572, 2.634 sec/game, 14.2 min. total, 444.5 MB
untrimmed_irate v7 419 games, 335966 moves, e=0.667, loss: 41154.7, +, 30.8% elo% vs. random_no_suicide, avg. reward: 35.556, 2.646 sec/game, 14.3 min. total, 444.4 MB
untrimmed_irate v7 420 games, 336808 moves, e=0.667, loss: 41222.2, +, 33.6% elo% vs. random_no_suicide, avg. reward: 35.342, 2.610 sec/game, 14.3 min. total, 444.5 MB
untrimmed_irate v7 421 games, 337693 moves, e=0.666, loss: 40892.4, +, 36.4% elo% vs. random_no_suicide, avg. reward: 36.022, 2.580 sec/game, 14.3 min. total, 444.5 MB
untrimmed_irate v7 422 games, 338638 moves, e=0.665, loss: 40232.0, -, 34.8% elo% vs. random_no_suicide, avg. reward: 36.556, 2.580 sec/game, 14.4 min. total, 444.7 MB
untrimmed_irate v7 423 games, 339552 moves, e=0.664, loss: 44796.2, -, 33.4% elo% vs. random_no_suicide, avg. reward: 36.759, 2.572 sec/game, 14.4 min. total, 444.9 MB
untrimmed_irate v7 424 games, 340560 moves, e=0.663, loss: 45213.7, -, 32.0% elo% vs. random_no_suicide, avg. reward: 36.246, 2.563 sec/game, 14.5 min. total, 446.4 MB
untrimmed_irate v7 425 games, 341611 moves, e=0.662, loss: 38760.1, -, 30.8% elo% vs. random_no_suicide, avg. reward: 35.671, 2.544 sec/game, 14.5 min. total, 448.1 MB
untrimmed_irate v7 426 games, 342542 moves, e=0.661, loss: 40960.7, -, 29.6% elo% vs. random_no_suicide, avg. reward: 35.166, 2.532 sec/game, 14.6 min. total, 447.7 MB
untrimmed_irate v7 427 games, 343609 moves, e=0.660, loss: 38150.7, -, 28.4% elo% vs. random_no_suicide, avg. reward: 35.124, 2.515 sec/game, 14.6 min. total, 447.6 MB
untrimmed_irate v7 428 games, 344474 moves, e=0.659, loss: 37400.7, -, 27.4% elo% vs. random_no_suicide, avg. reward: 34.314, 2.484 sec/game, 14.6 min. total, 447.8 MB
untrimmed_irate v7 429 games, 345305 moves, e=0.658, loss: 38348.1, -, 26.4% elo% vs. random_no_suicide, avg. reward: 34.313, 2.442 sec/game, 14.7 min. total, 447.9 MB
untrimmed_irate v7 430 games, 346223 moves, e=0.657, loss: 32859.2, -, 25.5% elo% vs. random_no_suicide, avg. reward: 33.984, 2.436 sec/game, 14.7 min. total, 447.9 MB
untrimmed_irate v7 431 games, 347056 moves, e=0.656, loss: 31484.8, -, 24.6% elo% vs. random_no_suicide, avg. reward: 33.918, 2.436 sec/game, 14.8 min. total, 447.7 MB
untrimmed_irate v7 432 games, 348055 moves, e=0.655, loss: 29892.6, -, 23.8% elo% vs. random_no_suicide, avg. reward: 33.759, 2.440 sec/game, 14.8 min. total, 448.2 MB
untrimmed_irate v7 433 games, 349037 moves, e=0.654, loss: 27320.0, -, 23.0% elo% vs. random_no_suicide, avg. reward: 33.767, 2.449 sec/game, 14.8 min. total, 449.1 MB
untrimmed_irate v7 434 games, 350015 moves, e=0.653, loss: 25584.3, -, 22.2% elo% vs. random_no_suicide, avg. reward: 33.614, 2.449 sec/game, 14.9 min. total, 449.7 MB
