demanding_wow v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.9 MB
demanding_wow v1 72 games, 50713 moves, e=0.950, loss: 4.0, -, 28.9% elo% vs. v0, avg. reward: -3.020, 2.049 sec/game, 2.0 min. total, 410.5 MB
demanding_wow v1 73 games, 51379 moves, e=0.949, loss: 4.2, +, 31.7% elo% vs. v0, avg. reward: -3.026, 2.064 sec/game, 2.0 min. total, 412.0 MB
demanding_wow v1 74 games, 52120 moves, e=0.948, loss: 4.2, +, 34.5% elo% vs. v0, avg. reward: -3.022, 2.062 sec/game, 2.0 min. total, 410.6 MB
demanding_wow v1 75 games, 52957 moves, e=0.948, loss: 4.5, +, 37.2% elo% vs. v0, avg. reward: -3.014, 2.059 sec/game, 2.1 min. total, 410.9 MB
demanding_wow v1 76 games, 53746 moves, e=0.947, loss: 4.2, +, 40.0% elo% vs. v0, avg. reward: -3.011, 2.045 sec/game, 2.1 min. total, 411.0 MB
demanding_wow v1 77 games, 54529 moves, e=0.946, loss: 4.3, +, 42.7% elo% vs. v0, avg. reward: -3.006, 2.055 sec/game, 2.1 min. total, 411.4 MB
demanding_wow v1 78 games, 55213 moves, e=0.945, loss: 4.4, +, 45.3% elo% vs. v0, avg. reward: -3.006, 2.019 sec/game, 2.2 min. total, 412.2 MB
demanding_wow v1 79 games, 55960 moves, e=0.945, loss: 4.7, +, 47.8% elo% vs. v0, avg. reward: -3.008, 2.050 sec/game, 2.2 min. total, 415.1 MB
demanding_wow v1 80 games, 56687 moves, e=0.944, loss: 4.8, -, 45.6% elo% vs. v0, avg. reward: -3.006, 2.069 sec/game, 2.2 min. total, 414.7 MB
demanding_wow v1 81 games, 57352 moves, e=0.943, loss: 5.3, -, 43.5% elo% vs. v0, avg. reward: -3.001, 2.063 sec/game, 2.3 min. total, 414.8 MB
demanding_wow v1 82 games, 57950 moves, e=0.943, loss: 4.8, -, 41.6% elo% vs. v0, avg. reward: -3.007, 2.048 sec/game, 2.3 min. total, 414.9 MB
demanding_wow v1 83 games, 58539 moves, e=0.942, loss: 4.6, +, 44.2% elo% vs. v0, avg. reward: -3.016, 2.026 sec/game, 2.3 min. total, 415.0 MB
demanding_wow v1 84 games, 59142 moves, e=0.941, loss: 5.0, +, 46.7% elo% vs. v0, avg. reward: -3.024, 2.001 sec/game, 2.4 min. total, 416.6 MB
demanding_wow v1 85 games, 59872 moves, e=0.941, loss: 4.8, +, 49.2% elo% vs. v0, avg. reward: -3.027, 1.996 sec/game, 2.4 min. total, 415.0 MB
demanding_wow v1 86 games, 60685 moves, e=0.940, loss: 5.3, +, 51.5% elo% vs. v0, avg. reward: -3.020, 2.022 sec/game, 2.4 min. total, 415.0 MB
demanding_wow v1 87 games, 61412 moves, e=0.939, loss: 5.7, +, 53.7% elo% vs. v0, avg. reward: -3.015, 2.016 sec/game, 2.5 min. total, 415.0 MB
