demanding_wow v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.9 MB
demanding_wow v14 977 games, 1517748 moves, e=0.010, loss: 20.3, ., 57.9% elo% vs. v13, avg. reward: 1.214, 9.552 sec/game, 11.1 min. total, 454.6 MB
demanding_wow v14 978 games, 1521639 moves, e=0.010, loss: 19.3, -, 55.2% elo% vs. v13, avg. reward: 1.215, 9.570 sec/game, 11.2 min. total, 460.3 MB
demanding_wow v14 979 games, 1525540 moves, e=0.010, loss: 18.5, +, 57.3% elo% vs. v13, avg. reward: 1.214, 9.614 sec/game, 11.4 min. total, 460.6 MB
demanding_wow v14 980 games, 1529098 moves, e=0.010, loss: 20.6, -, 54.7% elo% vs. v13, avg. reward: 1.213, 9.619 sec/game, 11.6 min. total, 462.4 MB
demanding_wow v14 981 games, 1532655 moves, e=0.010, loss: 19.4, -, 52.2% elo% vs. v13, avg. reward: 1.210, 9.520 sec/game, 11.7 min. total, 461.5 MB
demanding_wow v14 982 games, 1536609 moves, e=0.010, loss: 15.7, -, 49.8% elo% vs. v13, avg. reward: 1.209, 9.534 sec/game, 11.9 min. total, 461.9 MB
demanding_wow v14 983 games, 1540382 moves, e=0.010, loss: 16.5, -, 47.5% elo% vs. v13, avg. reward: 1.209, 9.581 sec/game, 12.1 min. total, 464.1 MB
demanding_wow v14 984 games, 1544197 moves, e=0.010, loss: 18.2, -, 45.3% elo% vs. v13, avg. reward: 1.209, 9.578 sec/game, 12.2 min. total, 465.4 MB
demanding_wow v14 985 games, 1548287 moves, e=0.010, loss: 16.6, -, 43.2% elo% vs. v13, avg. reward: 1.210, 9.679 sec/game, 12.4 min. total, 465.9 MB
demanding_wow v14 986 games, 1552131 moves, e=0.010, loss: 19.5, +, 45.8% elo% vs. v13, avg. reward: 1.208, 9.733 sec/game, 12.6 min. total, 466.4 MB
demanding_wow v14 987 games, 1556420 moves, e=0.010, loss: 18.9, -, 43.7% elo% vs. v13, avg. reward: 1.205, 9.783 sec/game, 12.8 min. total, 469.0 MB
demanding_wow v14 988 games, 1560448 moves, e=0.010, loss: 18.3, -, 41.8% elo% vs. v13, avg. reward: 1.203, 9.839 sec/game, 12.9 min. total, 469.3 MB
demanding_wow v14 989 games, 1564420 moves, e=0.010, loss: 17.4, -, 39.9% elo% vs. v13, avg. reward: 1.204, 9.855 sec/game, 13.1 min. total, 468.5 MB
demanding_wow v14 990 games, 1568154 moves, e=0.010, loss: 17.9, +, 42.6% elo% vs. v13, avg. reward: 1.203, 9.836 sec/game, 13.3 min. total, 468.7 MB
demanding_wow v14 991 games, 1572278 moves, e=0.010, loss: 16.6, +, 45.2% elo% vs. v13, avg. reward: 1.204, 9.903 sec/game, 13.4 min. total, 472.0 MB
demanding_wow v14 992 games, 1576544 moves, e=0.010, loss: 17.3, ., 45.4% elo% vs. v13, avg. reward: 1.201, 9.977 sec/game, 13.6 min. total, 472.5 MB
demanding_wow v14 993 games, 1580029 moves, e=0.010, loss: 18.4, +, 47.9% elo% vs. v13, avg. reward: 1.201, 9.968 sec/game, 13.8 min. total, 472.1 MB
demanding_wow v14 994 games, 1583956 moves, e=0.010, loss: 17.1, +, 50.3% elo% vs. v13, avg. reward: 1.199, 9.996 sec/game, 14.0 min. total, 471.8 MB
demanding_wow v14 995 games, 1588081 moves, e=0.010, loss: 17.2, -, 48.0% elo% vs. v13, avg. reward: 1.196, 10.110 sec/game, 14.1 min. total, 474.7 MB
demanding_wow v14 996 games, 1591982 moves, e=0.010, loss: 21.2, -, 45.8% elo% vs. v13, avg. reward: 1.200, 10.156 sec/game, 14.3 min. total, 475.5 MB
demanding_wow v14 997 games, 1596133 moves, e=0.010, loss: 21.3, +, 48.3% elo% vs. v13, avg. reward: 1.198, 10.231 sec/game, 14.5 min. total, 476.1 MB
demanding_wow v14 998 games, 1599984 moves, e=0.010, loss: 22.5, +, 50.7% elo% vs. v13, avg. reward: 1.199, 10.227 sec/game, 14.6 min. total, 474.1 MB
demanding_wow v14 999 games, 1603890 moves, e=0.010, loss: 23.7, -, 48.3% elo% vs. v13, avg. reward: 1.199, 10.214 sec/game, 14.8 min. total, 476.3 MB
demanding_wow v14 1000 games, 1607328 moves, e=0.010, loss: 23.2, +, 50.7% elo% vs. v13, avg. reward: 1.198, 10.211 sec/game, 15.0 min. total, 476.2 MB
demanding_wow v15 1001 games, 1610987 moves, e=0.010, loss: 23.7, +, 52.3% elo% vs. v13, avg. reward: 1.192, 10.228 sec/game, 15.1 min. total, 477.1 MB
demanding_wow v15 1002 games, 1614619 moves, e=0.010, loss: 24.9, -, 49.9% elo% vs. v13, avg. reward: 1.189, 10.196 sec/game, 15.3 min. total, 476.0 MB
demanding_wow v15 1003 games, 1617836 moves, e=0.010, loss: 28.2, -, 47.6% elo% vs. v13, avg. reward: 1.192, 10.115 sec/game, 15.4 min. total, 475.4 MB
demanding_wow v15 1004 games, 1620631 moves, e=0.010, loss: 29.0, -, 45.4% elo% vs. v13, avg. reward: 1.191, 9.972 sec/game, 15.6 min. total, 472.4 MB
demanding_wow v15 1005 games, 1623917 moves, e=0.010, loss: 28.6, -, 43.4% elo% vs. v13, avg. reward: 1.194, 9.878 sec/game, 15.7 min. total, 470.6 MB
demanding_wow v15 1006 games, 1627399 moves, e=0.010, loss: 27.8, +, 45.9% elo% vs. v13, avg. reward: 1.200, 9.821 sec/game, 15.9 min. total, 472.6 MB
demanding_wow v15 1007 games, 1631060 moves, e=0.010, loss: 25.0, +, 48.4% elo% vs. v13, avg. reward: 1.208, 9.734 sec/game, 16.0 min. total, 476.6 MB
demanding_wow v15 1008 games, 1634629 moves, e=0.010, loss: 25.6, +, 50.8% elo% vs. v13, avg. reward: 1.210, 9.676 sec/game, 16.2 min. total, 481.2 MB
demanding_wow v15 1009 games, 1638442 moves, e=0.010, loss: 23.1, +, 53.0% elo% vs. v13, avg. reward: 1.220, 9.667 sec/game, 16.3 min. total, 483.0 MB
demanding_wow v15 1010 games, 1642128 moves, e=0.010, loss: 23.8, -, 50.6% elo% vs. v13, avg. reward: 1.219, 9.677 sec/game, 16.5 min. total, 484.8 MB
demanding_wow v15 1011 games, 1646133 moves, e=0.010, loss: 22.7, -, 48.3% elo% vs. v13, avg. reward: 1.211, 9.662 sec/game, 16.7 min. total, 487.1 MB
demanding_wow v15 1012 games, 1650365 moves, e=0.010, loss: 16.3, +, 50.7% elo% vs. v13, avg. reward: 1.217, 9.640 sec/game, 16.8 min. total, 489.1 MB
demanding_wow v15 1013 games, 1654100 moves, e=0.010, loss: 15.4, -, 48.3% elo% vs. v13, avg. reward: 1.219, 9.672 sec/game, 17.0 min. total, 488.6 MB
demanding_wow v15 1014 games, 1658001 moves, e=0.010, loss: 17.4, -, 46.1% elo% vs. v13, avg. reward: 1.222, 9.670 sec/game, 17.2 min. total, 488.8 MB
demanding_wow v15 1015 games, 1661541 moves, e=0.010, loss: 19.1, -, 44.0% elo% vs. v13, avg. reward: 1.215, 9.572 sec/game, 17.3 min. total, 487.7 MB
demanding_wow v15 1016 games, 1665644 moves, e=0.010, loss: 18.7, -, 42.0% elo% vs. v13, avg. reward: 1.212, 9.589 sec/game, 17.5 min. total, 490.1 MB
demanding_wow v15 1017 games, 1669378 moves, e=0.010, loss: 19.5, ., 42.4% elo% vs. v13, avg. reward: 1.214, 9.530 sec/game, 17.7 min. total, 490.7 MB
demanding_wow v15 1018 games, 1673453 moves, e=0.010, loss: 18.3, +, 45.0% elo% vs. v13, avg. reward: 1.208, 9.558 sec/game, 17.8 min. total, 494.0 MB
demanding_wow v15 1019 games, 1677486 moves, e=0.010, loss: 17.4, +, 47.5% elo% vs. v13, avg. reward: 1.206, 9.581 sec/game, 18.0 min. total, 494.3 MB
demanding_wow v15 1020 games, 1681172 moves, e=0.010, loss: 14.1, -, 45.3% elo% vs. v13, avg. reward: 1.210, 9.592 sec/game, 18.2 min. total, 493.6 MB
demanding_wow v15 1021 games, 1684485 moves, e=0.010, loss: 17.5, +, 47.8% elo% vs. v13, avg. reward: 1.219, 9.560 sec/game, 18.3 min. total, 491.5 MB
demanding_wow v15 1022 games, 1688336 moves, e=0.010, loss: 19.3, +, 50.2% elo% vs. v13, avg. reward: 1.224, 9.578 sec/game, 18.5 min. total, 488.7 MB
demanding_wow v15 1023 games, 1692076 moves, e=0.010, loss: 22.5, -, 47.9% elo% vs. v13, avg. reward: 1.225, 9.620 sec/game, 18.6 min. total, 490.8 MB
demanding_wow v15 1024 games, 1695997 moves, e=0.010, loss: 21.6, -, 45.7% elo% vs. v13, avg. reward: 1.221, 9.752 sec/game, 18.8 min. total, 493.4 MB
demanding_wow v15 1025 games, 1699912 moves, e=0.010, loss: 23.2, -, 43.6% elo% vs. v13, avg. reward: 1.225, 9.839 sec/game, 19.0 min. total, 495.7 MB
demanding_wow v15 1026 games, 1703664 moves, e=0.010, loss: 23.1, +, 46.2% elo% vs. v13, avg. reward: 1.226, 9.852 sec/game, 19.1 min. total, 495.6 MB
demanding_wow v15 1027 games, 1707580 moves, e=0.010, loss: 22.7, +, 48.7% elo% vs. v13, avg. reward: 1.238, 9.904 sec/game, 19.3 min. total, 496.8 MB
demanding_wow v15 1028 games, 1711770 moves, e=0.010, loss: 21.2, -, 46.4% elo% vs. v13, avg. reward: 1.240, 9.980 sec/game, 19.5 min. total, 498.6 MB
demanding_wow v15 1029 games, 1716081 moves, e=0.010, loss: 20.4, -, 44.3% elo% vs. v13, avg. reward: 1.245, 10.029 sec/game, 19.7 min. total, 499.6 MB
demanding_wow v15 1030 games, 1719752 moves, e=0.010, loss: 23.7, -, 42.3% elo% vs. v13, avg. reward: 1.245, 10.029 sec/game, 19.8 min. total, 499.9 MB
demanding_wow v15 1031 games, 1723716 moves, e=0.010, loss: 26.1, -, 40.4% elo% vs. v13, avg. reward: 1.245, 10.025 sec/game, 20.0 min. total, 499.7 MB
demanding_wow v15 1032 games, 1727709 moves, e=0.010, loss: 24.4, -, 38.7% elo% vs. v13, avg. reward: 1.253, 9.999 sec/game, 20.2 min. total, 500.1 MB
demanding_wow v15 1033 games, 1731912 moves, e=0.010, loss: 23.9, -, 37.0% elo% vs. v13, avg. reward: 1.258, 10.058 sec/game, 20.4 min. total, 506.2 MB
demanding_wow v15 1034 games, 1735694 moves, e=0.010, loss: 22.1, +, 39.7% elo% vs. v13, avg. reward: 1.258, 10.043 sec/game, 20.5 min. total, 503.8 MB
demanding_wow v15 1035 games, 1739706 moves, e=0.010, loss: 24.3, -, 38.0% elo% vs. v13, avg. reward: 1.249, 10.103 sec/game, 20.7 min. total, 503.7 MB
demanding_wow v15 1036 games, 1743691 moves, e=0.010, loss: 18.6, -, 36.3% elo% vs. v13, avg. reward: 1.250, 10.089 sec/game, 20.9 min. total, 504.8 MB
demanding_wow v15 1037 games, 1747493 moves, e=0.010, loss: 18.3, ., 36.9% elo% vs. v13, avg. reward: 1.249, 10.095 sec/game, 21.0 min. total, 504.6 MB
demanding_wow v15 1038 games, 1751465 moves, e=0.010, loss: 21.4, ., 37.5% elo% vs. v13, avg. reward: 1.249, 10.082 sec/game, 21.2 min. total, 509.7 MB
demanding_wow v15 1039 games, 1755443 moves, e=0.010, loss: 20.6, +, 40.2% elo% vs. v13, avg. reward: 1.252, 10.071 sec/game, 21.4 min. total, 511.9 MB
demanding_wow v15 1040 games, 1759197 moves, e=0.010, loss: 22.7, +, 42.9% elo% vs. v13, avg. reward: 1.244, 10.083 sec/game, 21.5 min. total, 510.1 MB
demanding_wow v15 1041 games, 1763423 moves, e=0.010, loss: 19.5, +, 45.5% elo% vs. v13, avg. reward: 1.246, 10.180 sec/game, 21.7 min. total, 511.2 MB
demanding_wow v15 1042 games, 1767362 moves, e=0.010, loss: 19.0, +, 48.0% elo% vs. v13, avg. reward: 1.245, 10.197 sec/game, 21.9 min. total, 511.4 MB
demanding_wow v15 1043 games, 1771330 moves, e=0.010, loss: 18.9, +, 50.4% elo% vs. v13, avg. reward: 1.237, 10.229 sec/game, 22.0 min. total, 512.5 MB
demanding_wow v15 1044 games, 1774933 moves, e=0.010, loss: 20.5, -, 48.1% elo% vs. v13, avg. reward: 1.235, 10.173 sec/game, 22.2 min. total, 510.6 MB
demanding_wow v15 1045 games, 1778553 moves, e=0.010, loss: 20.5, -, 45.9% elo% vs. v13, avg. reward: 1.233, 10.133 sec/game, 22.4 min. total, 510.4 MB
demanding_wow v15 1046 games, 1782316 moves, e=0.010, loss: 21.8, -, 43.8% elo% vs. v13, avg. reward: 1.235, 10.145 sec/game, 22.5 min. total, 510.4 MB
demanding_wow v15 1047 games, 1785775 moves, e=0.010, loss: 21.1, +, 46.3% elo% vs. v13, avg. reward: 1.235, 10.064 sec/game, 22.7 min. total, 509.9 MB
demanding_wow v15 1048 games, 1789386 moves, e=0.010, loss: 22.5, -, 44.2% elo% vs. v13, avg. reward: 1.236, 9.986 sec/game, 22.8 min. total, 509.2 MB
demanding_wow v15 1049 games, 1792844 moves, e=0.010, loss: 25.2, -, 42.2% elo% vs. v13, avg. reward: 1.235, 9.892 sec/game, 23.0 min. total, 510.0 MB
demanding_wow v15 1050 games, 1796058 moves, e=0.010, loss: 22.3, -, 40.3% elo% vs. v13, avg. reward: 1.237, 9.830 sec/game, 23.1 min. total, 508.6 MB
demanding_wow v15 1051 games, 1799346 moves, e=0.010, loss: 23.9, -, 38.6% elo% vs. v13, avg. reward: 1.238, 9.751 sec/game, 23.3 min. total, 507.9 MB
demanding_wow v15 1052 games, 1802792 moves, e=0.010, loss: 20.0, -, 36.9% elo% vs. v13, avg. reward: 1.239, 9.692 sec/game, 23.4 min. total, 508.2 MB
demanding_wow v15 1053 games, 1806162 moves, e=0.010, loss: 19.0, -, 35.3% elo% vs. v13, avg. reward: 1.242, 9.586 sec/game, 23.6 min. total, 508.6 MB
demanding_wow v15 1054 games, 1809525 moves, e=0.010, loss: 19.9, -, 33.9% elo% vs. v13, avg. reward: 1.241, 9.523 sec/game, 23.7 min. total, 510.8 MB
demanding_wow v15 1055 games, 1813211 moves, e=0.010, loss: 18.3, -, 32.5% elo% vs. v13, avg. reward: 1.242, 9.493 sec/game, 23.9 min. total, 513.8 MB
demanding_wow v15 1056 games, 1816823 moves, e=0.010, loss: 21.7, -, 31.2% elo% vs. v13, avg. reward: 1.242, 9.438 sec/game, 24.0 min. total, 517.8 MB
demanding_wow v15 1057 games, 1820172 moves, e=0.010, loss: 21.9, ., 31.9% elo% vs. v13, avg. reward: 1.244, 9.395 sec/game, 24.2 min. total, 520.1 MB
demanding_wow v15 1058 games, 1823925 moves, e=0.010, loss: 19.9, -, 30.7% elo% vs. v13, avg. reward: 1.245, 9.365 sec/game, 24.3 min. total, 519.4 MB
demanding_wow v15 1059 games, 1827010 moves, e=0.010, loss: 21.6, -, 29.5% elo% vs. v13, avg. reward: 1.244, 9.264 sec/game, 24.5 min. total, 516.2 MB
demanding_wow v15 1060 games, 1830955 moves, e=0.010, loss: 20.4, +, 32.2% elo% vs. v13, avg. reward: 1.243, 9.292 sec/game, 24.6 min. total, 518.6 MB
demanding_wow v15 1061 games, 1834530 moves, e=0.010, loss: 21.6, +, 35.0% elo% vs. v13, avg. reward: 1.244, 9.218 sec/game, 24.8 min. total, 518.2 MB
demanding_wow v15 1062 games, 1838159 moves, e=0.010, loss: 21.9, -, 33.6% elo% vs. v13, avg. reward: 1.245, 9.164 sec/game, 24.9 min. total, 522.1 MB
demanding_wow v15 1063 games, 1842040 moves, e=0.010, loss: 20.0, -, 32.2% elo% vs. v13, avg. reward: 1.243, 9.151 sec/game, 25.1 min. total, 525.0 MB
demanding_wow v15 1064 games, 1845768 moves, e=0.010, loss: 21.8, +, 35.0% elo% vs. v13, avg. reward: 1.241, 9.177 sec/game, 25.3 min. total, 526.1 MB
demanding_wow v15 1065 games, 1849221 moves, e=0.010, loss: 21.0, -, 33.5% elo% vs. v13, avg. reward: 1.239, 9.141 sec/game, 25.4 min. total, 525.7 MB
demanding_wow v15 1066 games, 1853066 moves, e=0.010, loss: 22.7, -, 32.2% elo% vs. v13, avg. reward: 1.241, 9.132 sec/game, 25.6 min. total, 524.6 MB
demanding_wow v15 1067 games, 1856886 moves, e=0.010, loss: 25.3, -, 30.9% elo% vs. v13, avg. reward: 1.242, 9.164 sec/game, 25.7 min. total, 524.4 MB
demanding_wow v15 1068 games, 1861157 moves, e=0.010, loss: 21.3, -, 29.7% elo% vs. v13, avg. reward: 1.241, 9.252 sec/game, 25.9 min. total, 525.8 MB
demanding_wow v15 1069 games, 1864824 moves, e=0.010, loss: 23.5, -, 28.6% elo% vs. v13, avg. reward: 1.248, 9.233 sec/game, 26.1 min. total, 527.2 MB
demanding_wow v15 1070 games, 1868352 moves, e=0.010, loss: 28.3, -, 27.5% elo% vs. v13, avg. reward: 1.252, 9.249 sec/game, 26.2 min. total, 527.1 MB
demanding_wow v15 1071 games, 1872144 moves, e=0.010, loss: 29.5, -, 26.5% elo% vs. v13, avg. reward: 1.250, 9.269 sec/game, 26.3 min. total, 525.8 MB
demanding_wow v15 1072 games, 1875513 moves, e=0.010, loss: 30.6, -, 25.6% elo% vs. v13, avg. reward: 1.248, 9.214 sec/game, 26.5 min. total, 525.7 MB
demanding_wow v15 1073 games, 1878886 moves, e=0.010, loss: 30.2, -, 24.7% elo% vs. v13, avg. reward: 1.248, 9.172 sec/game, 26.6 min. total, 524.9 MB
demanding_wow v15 1074 games, 1882408 moves, e=0.010, loss: 27.0, -, 23.8% elo% vs. v13, avg. reward: 1.249, 9.148 sec/game, 26.7 min. total, 524.4 MB
demanding_wow v15 1075 games, 1886085 moves, e=0.010, loss: 24.4, -, 23.1% elo% vs. v13, avg. reward: 1.252, 9.097 sec/game, 26.9 min. total, 528.8 MB
demanding_wow v15 1076 games, 1889400 moves, e=0.010, loss: 26.4, ., 24.0% elo% vs. v13, avg. reward: 1.249, 9.016 sec/game, 27.0 min. total, 530.1 MB
demanding_wow v15 1077 games, 1892875 moves, e=0.010, loss: 26.3, -, 23.2% elo% vs. v13, avg. reward: 1.249, 8.974 sec/game, 27.2 min. total, 529.4 MB
demanding_wow v15 1078 games, 1896466 moves, e=0.010, loss: 26.9, -, 22.4% elo% vs. v13, avg. reward: 1.252, 8.914 sec/game, 27.3 min. total, 528.7 MB
demanding_wow v15 1079 games, 1899890 moves, e=0.010, loss: 25.5, -, 21.7% elo% vs. v13, avg. reward: 1.245, 8.889 sec/game, 27.4 min. total, 531.9 MB
demanding_wow v15 1080 games, 1903433 moves, e=0.010, loss: 21.7, -, 21.0% elo% vs. v13, avg. reward: 1.247, 8.796 sec/game, 27.6 min. total, 532.6 MB
demanding_wow v15 1081 games, 1906807 moves, e=0.010, loss: 23.9, -, 20.4% elo% vs. v13, avg. reward: 1.252, 8.728 sec/game, 27.7 min. total, 530.9 MB
demanding_wow v15 1082 games, 1910137 moves, e=0.010, loss: 25.2, -, 19.8% elo% vs. v13, avg. reward: 1.256, 8.657 sec/game, 27.8 min. total, 531.4 MB
demanding_wow v15 1083 games, 1913694 moves, e=0.010, loss: 29.5, -, 19.2% elo% vs. v13, avg. reward: 1.261, 8.586 sec/game, 28.0 min. total, 529.8 MB
demanding_wow v15 1084 games, 1917247 moves, e=0.010, loss: 28.9, -, 18.7% elo% vs. v13, avg. reward: 1.263, 8.525 sec/game, 28.1 min. total, 530.4 MB
demanding_wow v15 1085 games, 1921019 moves, e=0.010, loss: 29.1, -, 18.2% elo% vs. v13, avg. reward: 1.253, 8.521 sec/game, 28.2 min. total, 533.7 MB
demanding_wow v15 1086 games, 1924439 moves, e=0.010, loss: 25.9, -, 17.7% elo% vs. v13, avg. reward: 1.256, 8.448 sec/game, 28.4 min. total, 535.4 MB
demanding_wow v15 1087 games, 1927909 moves, e=0.010, loss: 22.8, -, 17.2% elo% vs. v13, avg. reward: 1.265, 8.365 sec/game, 28.5 min. total, 535.1 MB
demanding_wow v15 1088 games, 1931372 moves, e=0.010, loss: 27.1, -, 16.7% elo% vs. v13, avg. reward: 1.267, 8.214 sec/game, 28.6 min. total, 532.7 MB
demanding_wow v15 1089 games, 1934544 moves, e=0.010, loss: 31.2, -, 16.3% elo% vs. v13, avg. reward: 1.262, 8.156 sec/game, 28.8 min. total, 533.3 MB
demanding_wow v15 1090 games, 1937813 moves, e=0.010, loss: 30.8, -, 15.9% elo% vs. v13, avg. reward: 1.264, 8.108 sec/game, 28.9 min. total, 535.2 MB
demanding_wow v15 1091 games, 1941642 moves, e=0.010, loss: 23.6, ., 16.8% elo% vs. v13, avg. reward: 1.263, 8.099 sec/game, 29.0 min. total, 537.9 MB
demanding_wow v15 1092 games, 1945132 moves, e=0.010, loss: 21.4, -, 16.3% elo% vs. v13, avg. reward: 1.268, 8.119 sec/game, 29.2 min. total, 540.2 MB
demanding_wow v15 1093 games, 1948903 moves, e=0.010, loss: 21.4, +, 18.6% elo% vs. v13, avg. reward: 1.268, 8.161 sec/game, 29.3 min. total, 545.2 MB
demanding_wow v15 1094 games, 1952560 moves, e=0.010, loss: 18.6, -, 18.1% elo% vs. v13, avg. reward: 1.271, 8.177 sec/game, 29.5 min. total, 543.9 MB
demanding_wow v15 1095 games, 1956360 moves, e=0.010, loss: 21.2, -, 17.6% elo% vs. v13, avg. reward: 1.274, 8.207 sec/game, 29.6 min. total, 546.8 MB
demanding_wow v15 1096 games, 1960291 moves, e=0.010, loss: 21.3, +, 19.9% elo% vs. v13, avg. reward: 1.269, 8.268 sec/game, 29.8 min. total, 547.3 MB
demanding_wow v15 1097 games, 1964319 moves, e=0.010, loss: 19.7, -, 19.3% elo% vs. v13, avg. reward: 1.271, 8.337 sec/game, 29.9 min. total, 549.3 MB
demanding_wow v15 1098 games, 1968531 moves, e=0.010, loss: 21.6, +, 21.7% elo% vs. v13, avg. reward: 1.268, 8.407 sec/game, 30.1 min. total, 549.7 MB
demanding_wow v15 1099 games, 1972259 moves, e=0.010, loss: 23.9, -, 21.0% elo% vs. v13, avg. reward: 1.260, 8.447 sec/game, 30.2 min. total, 550.0 MB
demanding_wow v15 1100 games, 1976140 moves, e=0.010, loss: 21.1, -, 20.4% elo% vs. v13, avg. reward: 1.262, 8.475 sec/game, 30.4 min. total, 550.3 MB
demanding_wow v16 1101 games, 1980193 moves, e=0.010, loss: 21.9, +, 52.3% elo% vs. v13, avg. reward: 1.260, 8.568 sec/game, 30.5 min. total, 550.3 MB
demanding_wow v16 1102 games, 1984124 moves, e=0.010, loss: 25.6, -, 49.9% elo% vs. v13, avg. reward: 1.259, 8.621 sec/game, 30.7 min. total, 550.3 MB
demanding_wow v16 1103 games, 1987904 moves, e=0.010, loss: 27.6, -, 47.6% elo% vs. v13, avg. reward: 1.259, 8.639 sec/game, 30.8 min. total, 551.8 MB
demanding_wow v16 1104 games, 1991861 moves, e=0.010, loss: 28.5, -, 45.4% elo% vs. v13, avg. reward: 1.260, 8.671 sec/game, 31.0 min. total, 551.5 MB
demanding_wow v16 1105 games, 1995478 moves, e=0.010, loss: 33.9, -, 43.4% elo% vs. v13, avg. reward: 1.260, 8.651 sec/game, 31.1 min. total, 553.9 MB
demanding_wow v16 1106 games, 1998967 moves, e=0.010, loss: 36.1, -, 41.4% elo% vs. v13, avg. reward: 1.257, 8.651 sec/game, 31.3 min. total, 552.1 MB
demanding_wow v16 1107 games, 2002840 moves, e=0.010, loss: 31.4, -, 39.6% elo% vs. v13, avg. reward: 1.257, 8.712 sec/game, 31.4 min. total, 552.1 MB
demanding_wow v16 1108 games, 2006639 moves, e=0.010, loss: 28.4, -, 37.8% elo% vs. v13, avg. reward: 1.255, 8.740 sec/game, 31.6 min. total, 553.6 MB
demanding_wow v16 1109 games, 2010536 moves, e=0.010, loss: 26.9, -, 36.2% elo% vs. v13, avg. reward: 1.262, 8.835 sec/game, 31.7 min. total, 554.3 MB
demanding_wow v16 1110 games, 2014318 moves, e=0.010, loss: 32.8, -, 34.7% elo% vs. v13, avg. reward: 1.263, 8.872 sec/game, 31.9 min. total, 554.2 MB
demanding_wow v16 1111 games, 2018068 moves, e=0.010, loss: 32.7, +, 37.5% elo% vs. v13, avg. reward: 1.272, 8.869 sec/game, 32.0 min. total, 554.7 MB
demanding_wow v16 1112 games, 2021709 moves, e=0.010, loss: 32.4, +, 40.2% elo% vs. v13, avg. reward: 1.272, 8.883 sec/game, 32.1 min. total, 557.7 MB
demanding_wow v16 1113 games, 2025398 moves, e=0.010, loss: 28.7, +, 42.9% elo% vs. v13, avg. reward: 1.271, 8.872 sec/game, 32.3 min. total, 557.9 MB
demanding_wow v16 1114 games, 2029274 moves, e=0.010, loss: 25.1, -, 40.9% elo% vs. v13, avg. reward: 1.269, 8.880 sec/game, 32.4 min. total, 559.4 MB
demanding_wow v16 1115 games, 2033098 moves, e=0.010, loss: 24.9, -, 39.1% elo% vs. v13, avg. reward: 1.269, 8.872 sec/game, 32.6 min. total, 563.4 MB
demanding_wow v16 1116 games, 2037147 moves, e=0.010, loss: 24.5, -, 37.4% elo% vs. v13, avg. reward: 1.273, 8.905 sec/game, 32.7 min. total, 563.4 MB
demanding_wow v16 1117 games, 2040917 moves, e=0.010, loss: 26.3, -, 35.8% elo% vs. v13, avg. reward: 1.271, 8.849 sec/game, 32.9 min. total, 564.7 MB
demanding_wow v16 1118 games, 2044698 moves, e=0.010, loss: 24.5, -, 34.3% elo% vs. v13, avg. reward: 1.274, 8.812 sec/game, 33.0 min. total, 564.3 MB
demanding_wow v16 1119 games, 2048943 moves, e=0.010, loss: 27.1, -, 32.9% elo% vs. v13, avg. reward: 1.274, 8.874 sec/game, 33.2 min. total, 564.9 MB
demanding_wow v16 1120 games, 2052975 moves, e=0.010, loss: 26.3, -, 31.6% elo% vs. v13, avg. reward: 1.268, 8.882 sec/game, 33.3 min. total, 565.9 MB
demanding_wow v16 1121 games, 2057108 moves, e=0.010, loss: 23.6, -, 30.3% elo% vs. v13, avg. reward: 1.270, 8.889 sec/game, 33.5 min. total, 567.4 MB
demanding_wow v16 1122 games, 2061297 moves, e=0.010, loss: 24.5, -, 29.2% elo% vs. v13, avg. reward: 1.263, 8.916 sec/game, 33.7 min. total, 566.0 MB
demanding_wow v16 1123 games, 2065461 moves, e=0.010, loss: 26.9, -, 28.1% elo% vs. v13, avg. reward: 1.262, 8.957 sec/game, 33.8 min. total, 566.1 MB
demanding_wow v16 1124 games, 2069475 moves, e=0.010, loss: 24.5, +, 30.8% elo% vs. v13, avg. reward: 1.259, 8.959 sec/game, 34.0 min. total, 567.6 MB
demanding_wow v16 1125 games, 2073590 moves, e=0.010, loss: 22.2, -, 29.6% elo% vs. v13, avg. reward: 1.256, 9.009 sec/game, 34.1 min. total, 567.9 MB
demanding_wow v16 1126 games, 2077798 moves, e=0.010, loss: 23.2, ., 30.4% elo% vs. v13, avg. reward: 1.253, 9.076 sec/game, 34.3 min. total, 569.0 MB
demanding_wow v16 1127 games, 2081962 moves, e=0.010, loss: 22.9, -, 29.3% elo% vs. v13, avg. reward: 1.250, 9.110 sec/game, 34.5 min. total, 571.1 MB
demanding_wow v16 1128 games, 2085866 moves, e=0.010, loss: 25.1, -, 28.1% elo% vs. v13, avg. reward: 1.247, 9.126 sec/game, 34.6 min. total, 570.4 MB
demanding_wow v16 1129 games, 2089880 moves, e=0.010, loss: 23.1, +, 30.9% elo% vs. v13, avg. reward: 1.229, 9.130 sec/game, 34.8 min. total, 570.0 MB
demanding_wow v16 1130 games, 2093782 moves, e=0.010, loss: 21.4, -, 29.7% elo% vs. v13, avg. reward: 1.236, 9.149 sec/game, 34.9 min. total, 569.6 MB
