agreeable_scroll v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
agreeable_scroll v3 59 games, 42576 moves, e=0.958, loss: 11.1, -, 18.5% elo% vs. random_no_suicide, avg. reward: -13.117, 1.191 sec/game, 0.9 min. total, 442.7 MB
agreeable_scroll v3 60 games, 43338 moves, e=0.957, loss: 10.7, -, 18.0% elo% vs. random_no_suicide, avg. reward: -13.110, 1.196 sec/game, 0.9 min. total, 441.9 MB
agreeable_scroll v3 61 games, 44107 moves, e=0.956, loss: 9.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: -13.090, 1.206 sec/game, 0.9 min. total, 441.9 MB
agreeable_scroll v3 62 games, 44716 moves, e=0.956, loss: 9.0, -, 17.0% elo% vs. random_no_suicide, avg. reward: -13.132, 1.212 sec/game, 0.9 min. total, 442.8 MB
agreeable_scroll v3 63 games, 45468 moves, e=0.955, loss: 9.0, -, 16.6% elo% vs. random_no_suicide, avg. reward: -13.120, 1.211 sec/game, 1.0 min. total, 442.8 MB
agreeable_scroll v3 64 games, 46164 moves, e=0.954, loss: 9.3, -, 16.2% elo% vs. random_no_suicide, avg. reward: -13.123, 1.214 sec/game, 1.0 min. total, 443.7 MB
agreeable_scroll v3 65 games, 47002 moves, e=0.953, loss: 9.4, -, 15.8% elo% vs. random_no_suicide, avg. reward: -13.092, 1.223 sec/game, 1.0 min. total, 444.1 MB
agreeable_scroll v3 66 games, 47822 moves, e=0.953, loss: 9.7, -, 15.4% elo% vs. random_no_suicide, avg. reward: -13.063, 1.226 sec/game, 1.0 min. total, 444.4 MB
agreeable_scroll v3 67 games, 48535 moves, e=0.952, loss: 9.9, -, 15.0% elo% vs. random_no_suicide, avg. reward: -13.069, 1.228 sec/game, 1.0 min. total, 442.8 MB
agreeable_scroll v3 68 games, 49187 moves, e=0.951, loss: 10.1, -, 14.7% elo% vs. random_no_suicide, avg. reward: -13.083, 1.218 sec/game, 1.1 min. total, 443.3 MB
agreeable_scroll v3 69 games, 49838 moves, e=0.951, loss: 9.7, +, 16.7% elo% vs. random_no_suicide, avg. reward: -13.106, 1.214 sec/game, 1.1 min. total, 442.9 MB
agreeable_scroll v3 70 games, 50580 moves, e=0.950, loss: 9.9, -, 16.3% elo% vs. random_no_suicide, avg. reward: -13.102, 1.204 sec/game, 1.1 min. total, 443.0 MB
agreeable_scroll v3 71 games, 51379 moves, e=0.949, loss: 9.3, +, 18.5% elo% vs. random_no_suicide, avg. reward: -13.078, 1.208 sec/game, 1.1 min. total, 443.0 MB
agreeable_scroll v3 72 games, 52133 moves, e=0.948, loss: 9.2, +, 20.9% elo% vs. random_no_suicide, avg. reward: -13.065, 1.216 sec/game, 1.1 min. total, 443.1 MB
agreeable_scroll v3 73 games, 52868 moves, e=0.948, loss: 8.5, -, 20.3% elo% vs. random_no_suicide, avg. reward: -13.062, 1.230 sec/game, 1.2 min. total, 444.1 MB
agreeable_scroll v3 74 games, 53623 moves, e=0.947, loss: 8.9, -, 19.7% elo% vs. random_no_suicide, avg. reward: -13.058, 1.175 sec/game, 1.2 min. total, 443.3 MB
agreeable_scroll v3 75 games, 54323 moves, e=0.946, loss: 8.8, -, 19.1% elo% vs. random_no_suicide, avg. reward: -13.064, 1.134 sec/game, 1.2 min. total, 444.6 MB
agreeable_scroll v3 76 games, 54953 moves, e=0.946, loss: 9.3, -, 18.6% elo% vs. random_no_suicide, avg. reward: -13.089, 1.128 sec/game, 1.2 min. total, 442.9 MB
agreeable_scroll v3 77 games, 55591 moves, e=0.945, loss: 9.6, -, 18.1% elo% vs. random_no_suicide, avg. reward: -13.115, 1.129 sec/game, 1.2 min. total, 442.9 MB
agreeable_scroll v3 78 games, 56198 moves, e=0.944, loss: 10.1, -, 17.6% elo% vs. random_no_suicide, avg. reward: -13.143, 1.115 sec/game, 1.2 min. total, 443.6 MB
agreeable_scroll v3 79 games, 56992 moves, e=0.944, loss: 10.5, -, 17.1% elo% vs. random_no_suicide, avg. reward: -13.125, 1.121 sec/game, 1.3 min. total, 445.5 MB
agreeable_scroll v3 80 games, 57811 moves, e=0.943, loss: 9.3, -, 16.7% elo% vs. random_no_suicide, avg. reward: -13.094, 1.126 sec/game, 1.3 min. total, 446.0 MB
agreeable_scroll v3 81 games, 58506 moves, e=0.942, loss: 8.4, -, 16.2% elo% vs. random_no_suicide, avg. reward: -13.095, 1.120 sec/game, 1.3 min. total, 444.4 MB
agreeable_scroll v3 82 games, 59132 moves, e=0.941, loss: 8.3, -, 15.8% elo% vs. random_no_suicide, avg. reward: -13.117, 1.109 sec/game, 1.3 min. total, 445.2 MB
agreeable_scroll v3 83 games, 59928 moves, e=0.941, loss: 8.5, -, 15.5% elo% vs. random_no_suicide, avg. reward: -13.103, 1.119 sec/game, 1.3 min. total, 445.2 MB
agreeable_scroll v3 84 games, 60797 moves, e=0.940, loss: 8.7, -, 15.1% elo% vs. random_no_suicide, avg. reward: -13.073, 1.130 sec/game, 1.4 min. total, 444.8 MB
agreeable_scroll v3 85 games, 61649 moves, e=0.939, loss: 8.8, ., 15.9% elo% vs. random_no_suicide, avg. reward: -13.045, 1.133 sec/game, 1.4 min. total, 446.4 MB
agreeable_scroll v3 86 games, 62329 moves, e=0.938, loss: 9.1, -, 15.5% elo% vs. random_no_suicide, avg. reward: -13.053, 1.125 sec/game, 1.4 min. total, 446.7 MB
agreeable_scroll v3 87 games, 63075 moves, e=0.938, loss: 8.7, -, 15.2% elo% vs. random_no_suicide, avg. reward: -13.045, 1.126 sec/game, 1.4 min. total, 445.8 MB
