anyplace_passage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
anyplace_passage v5 294 games, 227711 moves, e=0.775, loss: 55.7, -, 34.7% elo% vs. random_no_suicide, avg. reward: -3.717, 1.906 sec/game, 7.4 min. total, 539.7 MB
anyplace_passage v5 295 games, 228570 moves, e=0.774, loss: 58.3, -, 33.2% elo% vs. random_no_suicide, avg. reward: -3.702, 1.903 sec/game, 7.5 min. total, 537.9 MB
anyplace_passage v5 296 games, 229596 moves, e=0.773, loss: 58.9, -, 31.9% elo% vs. random_no_suicide, avg. reward: -3.684, 1.912 sec/game, 7.5 min. total, 539.9 MB
anyplace_passage v5 297 games, 230415 moves, e=0.772, loss: 61.1, +, 34.7% elo% vs. random_no_suicide, avg. reward: -3.674, 1.910 sec/game, 7.5 min. total, 535.4 MB
anyplace_passage v5 298 games, 231245 moves, e=0.771, loss: 59.9, -, 33.2% elo% vs. random_no_suicide, avg. reward: -3.682, 1.916 sec/game, 7.6 min. total, 540.2 MB
anyplace_passage v5 299 games, 231987 moves, e=0.770, loss: 60.0, +, 36.0% elo% vs. random_no_suicide, avg. reward: -3.698, 1.894 sec/game, 7.6 min. total, 535.5 MB
anyplace_passage v5 300 games, 232813 moves, e=0.770, loss: 61.4, -, 34.5% elo% vs. random_no_suicide, avg. reward: -3.697, 1.888 sec/game, 7.6 min. total, 540.3 MB
anyplace_passage v6 301 games, 233651 moves, e=0.769, loss: 62.0, -, 47.7% elo% vs. random_no_suicide, avg. reward: -3.699, 1.892 sec/game, 7.7 min. total, 535.9 MB
anyplace_passage v6 302 games, 234463 moves, e=0.768, loss: 60.3, +, 50.1% elo% vs. random_no_suicide, avg. reward: -3.693, 1.883 sec/game, 7.7 min. total, 537.8 MB
anyplace_passage v6 303 games, 235253 moves, e=0.767, loss: 59.6, -, 47.8% elo% vs. random_no_suicide, avg. reward: -3.686, 1.868 sec/game, 7.7 min. total, 542.9 MB
anyplace_passage v6 304 games, 236199 moves, e=0.766, loss: 62.4, -, 45.6% elo% vs. random_no_suicide, avg. reward: -3.679, 1.883 sec/game, 7.8 min. total, 542.7 MB
anyplace_passage v6 305 games, 237175 moves, e=0.765, loss: 62.9, -, 43.5% elo% vs. random_no_suicide, avg. reward: -3.676, 1.896 sec/game, 7.8 min. total, 542.7 MB
anyplace_passage v6 306 games, 238095 moves, e=0.764, loss: 62.3, -, 41.6% elo% vs. random_no_suicide, avg. reward: -3.646, 1.908 sec/game, 7.8 min. total, 542.7 MB
anyplace_passage v6 307 games, 239029 moves, e=0.763, loss: 62.7, -, 39.7% elo% vs. random_no_suicide, avg. reward: -3.641, 1.890 sec/game, 7.9 min. total, 542.7 MB
anyplace_passage v6 308 games, 239888 moves, e=0.763, loss: 60.2, -, 38.0% elo% vs. random_no_suicide, avg. reward: -3.630, 1.900 sec/game, 7.9 min. total, 542.7 MB
anyplace_passage v6 309 games, 240705 moves, e=0.762, loss: 60.7, -, 36.4% elo% vs. random_no_suicide, avg. reward: -3.626, 1.874 sec/game, 7.9 min. total, 538.9 MB
anyplace_passage v6 310 games, 241639 moves, e=0.761, loss: 57.2, ., 36.9% elo% vs. random_no_suicide, avg. reward: -3.621, 1.874 sec/game, 7.9 min. total, 538.7 MB
anyplace_passage v6 311 games, 242540 moves, e=0.760, loss: 57.7, +, 39.7% elo% vs. random_no_suicide, avg. reward: -3.621, 1.887 sec/game, 8.0 min. total, 543.3 MB
anyplace_passage v6 312 games, 243425 moves, e=0.759, loss: 56.0, -, 37.9% elo% vs. random_no_suicide, avg. reward: -3.613, 1.885 sec/game, 8.0 min. total, 544.9 MB
anyplace_passage v6 313 games, 244434 moves, e=0.758, loss: 55.7, -, 36.3% elo% vs. random_no_suicide, avg. reward: -3.595, 1.903 sec/game, 8.0 min. total, 546.0 MB
anyplace_passage v6 314 games, 245199 moves, e=0.757, loss: 56.2, -, 34.8% elo% vs. random_no_suicide, avg. reward: -3.602, 1.900 sec/game, 8.1 min. total, 541.6 MB
anyplace_passage v6 315 games, 245984 moves, e=0.756, loss: 55.2, +, 37.6% elo% vs. random_no_suicide, avg. reward: -3.582, 1.888 sec/game, 8.1 min. total, 542.0 MB
anyplace_passage v6 316 games, 246830 moves, e=0.756, loss: 54.0, +, 40.3% elo% vs. random_no_suicide, avg. reward: -3.588, 1.870 sec/game, 8.1 min. total, 542.2 MB
anyplace_passage v6 317 games, 247751 moves, e=0.755, loss: 52.6, +, 43.0% elo% vs. random_no_suicide, avg. reward: -3.578, 1.871 sec/game, 8.2 min. total, 543.3 MB
anyplace_passage v6 318 games, 248606 moves, e=0.754, loss: 53.1, +, 45.6% elo% vs. random_no_suicide, avg. reward: -3.580, 1.879 sec/game, 8.2 min. total, 542.2 MB
anyplace_passage v6 319 games, 249524 moves, e=0.753, loss: 49.0, -, 43.5% elo% vs. random_no_suicide, avg. reward: -3.567, 1.894 sec/game, 8.2 min. total, 546.8 MB
anyplace_passage v6 320 games, 250345 moves, e=0.752, loss: 53.1, +, 46.1% elo% vs. random_no_suicide, avg. reward: -3.536, 1.895 sec/game, 8.3 min. total, 542.2 MB
anyplace_passage v6 321 games, 251101 moves, e=0.751, loss: 52.5, +, 48.5% elo% vs. random_no_suicide, avg. reward: -3.539, 1.882 sec/game, 8.3 min. total, 544.2 MB
anyplace_passage v6 322 games, 251950 moves, e=0.751, loss: 52.6, +, 50.9% elo% vs. random_no_suicide, avg. reward: -3.537, 1.892 sec/game, 8.3 min. total, 543.8 MB
anyplace_passage v6 323 games, 252844 moves, e=0.750, loss: 54.5, -, 48.6% elo% vs. random_no_suicide, avg. reward: -3.515, 1.905 sec/game, 8.3 min. total, 548.7 MB
anyplace_passage v6 324 games, 253686 moves, e=0.749, loss: 55.3, -, 46.3% elo% vs. random_no_suicide, avg. reward: -3.508, 1.878 sec/game, 8.4 min. total, 548.8 MB
anyplace_passage v6 325 games, 254530 moves, e=0.748, loss: 54.4, +, 48.8% elo% vs. random_no_suicide, avg. reward: -3.503, 1.878 sec/game, 8.4 min. total, 545.9 MB
anyplace_passage v6 326 games, 255414 moves, e=0.747, loss: 57.6, -, 46.5% elo% vs. random_no_suicide, avg. reward: -3.497, 1.865 sec/game, 8.4 min. total, 548.8 MB
anyplace_passage v6 327 games, 256417 moves, e=0.746, loss: 58.9, -, 44.4% elo% vs. random_no_suicide, avg. reward: -3.483, 1.874 sec/game, 8.5 min. total, 549.3 MB
anyplace_passage v6 328 games, 257228 moves, e=0.745, loss: 59.2, +, 47.0% elo% vs. random_no_suicide, avg. reward: -3.474, 1.862 sec/game, 8.5 min. total, 544.7 MB
anyplace_passage v6 329 games, 258118 moves, e=0.744, loss: 58.9, +, 49.4% elo% vs. random_no_suicide, avg. reward: -3.464, 1.873 sec/game, 8.5 min. total, 545.5 MB
anyplace_passage v6 330 games, 259124 moves, e=0.743, loss: 64.2, -, 47.1% elo% vs. random_no_suicide, avg. reward: -3.440, 1.886 sec/game, 8.6 min. total, 547.1 MB
anyplace_passage v6 331 games, 259973 moves, e=0.743, loss: 66.3, -, 45.0% elo% vs. random_no_suicide, avg. reward: -3.418, 1.885 sec/game, 8.6 min. total, 546.4 MB
anyplace_passage v6 332 games, 260978 moves, e=0.742, loss: 63.2, +, 47.5% elo% vs. random_no_suicide, avg. reward: -3.405, 1.887 sec/game, 8.6 min. total, 546.5 MB
anyplace_passage v6 333 games, 261994 moves, e=0.741, loss: 64.4, +, 49.9% elo% vs. random_no_suicide, avg. reward: -3.396, 1.884 sec/game, 8.7 min. total, 548.0 MB
anyplace_passage v6 334 games, 262922 moves, e=0.740, loss: 64.0, -, 47.6% elo% vs. random_no_suicide, avg. reward: -3.384, 1.906 sec/game, 8.7 min. total, 546.6 MB
anyplace_passage v6 335 games, 263883 moves, e=0.739, loss: 63.3, -, 45.4% elo% vs. random_no_suicide, avg. reward: -3.381, 1.922 sec/game, 8.7 min. total, 551.7 MB
anyplace_passage v6 336 games, 264627 moves, e=0.738, loss: 63.4, -, 43.4% elo% vs. random_no_suicide, avg. reward: -3.391, 1.911 sec/game, 8.8 min. total, 551.6 MB
anyplace_passage v6 337 games, 265580 moves, e=0.737, loss: 59.4, +, 45.9% elo% vs. random_no_suicide, avg. reward: -3.364, 1.911 sec/game, 8.8 min. total, 547.7 MB
anyplace_passage v6 338 games, 266453 moves, e=0.736, loss: 56.4, -, 43.8% elo% vs. random_no_suicide, avg. reward: -3.342, 1.914 sec/game, 8.8 min. total, 548.9 MB
anyplace_passage v6 339 games, 267455 moves, e=0.735, loss: 52.5, -, 41.9% elo% vs. random_no_suicide, avg. reward: -3.331, 1.924 sec/game, 8.9 min. total, 548.7 MB
anyplace_passage v6 340 games, 268293 moves, e=0.734, loss: 54.4, -, 40.0% elo% vs. random_no_suicide, avg. reward: -3.316, 1.940 sec/game, 8.9 min. total, 548.9 MB
anyplace_passage v6 341 games, 269046 moves, e=0.734, loss: 53.1, +, 42.7% elo% vs. random_no_suicide, avg. reward: -3.312, 1.929 sec/game, 8.9 min. total, 548.8 MB
anyplace_passage v6 342 games, 269931 moves, e=0.733, loss: 54.2, +, 45.3% elo% vs. random_no_suicide, avg. reward: -3.308, 1.930 sec/game, 9.0 min. total, 548.9 MB
anyplace_passage v6 343 games, 270938 moves, e=0.732, loss: 52.2, +, 47.8% elo% vs. random_no_suicide, avg. reward: -3.286, 1.942 sec/game, 9.0 min. total, 550.2 MB
anyplace_passage v6 344 games, 272034 moves, e=0.731, loss: 50.1, -, 45.6% elo% vs. random_no_suicide, avg. reward: -3.260, 1.980 sec/game, 9.0 min. total, 549.0 MB
anyplace_passage v6 345 games, 272932 moves, e=0.730, loss: 50.7, -, 43.5% elo% vs. random_no_suicide, avg. reward: -3.264, 1.981 sec/game, 9.1 min. total, 553.7 MB
anyplace_passage v6 346 games, 273831 moves, e=0.729, loss: 52.2, -, 41.6% elo% vs. random_no_suicide, avg. reward: -3.245, 1.986 sec/game, 9.1 min. total, 550.1 MB
anyplace_passage v6 347 games, 274766 moves, e=0.728, loss: 54.1, +, 44.2% elo% vs. random_no_suicide, avg. reward: -3.245, 1.976 sec/game, 9.1 min. total, 550.4 MB
anyplace_passage v6 348 games, 275768 moves, e=0.727, loss: 56.5, +, 46.8% elo% vs. random_no_suicide, avg. reward: -3.229, 2.000 sec/game, 9.2 min. total, 550.1 MB
anyplace_passage v6 349 games, 276618 moves, e=0.726, loss: 54.7, +, 49.2% elo% vs. random_no_suicide, avg. reward: -3.219, 1.998 sec/game, 9.2 min. total, 550.2 MB
anyplace_passage v6 350 games, 277527 moves, e=0.725, loss: 54.7, +, 51.5% elo% vs. random_no_suicide, avg. reward: -3.217, 1.984 sec/game, 9.2 min. total, 550.3 MB
anyplace_passage v6 351 games, 278432 moves, e=0.724, loss: 52.4, +, 53.8% elo% vs. random_no_suicide, avg. reward: -3.208, 1.987 sec/game, 9.3 min. total, 550.2 MB
anyplace_passage v6 352 games, 279403 moves, e=0.723, loss: 54.8, -, 51.3% elo% vs. random_no_suicide, avg. reward: -3.199, 1.991 sec/game, 9.3 min. total, 556.0 MB
anyplace_passage v6 353 games, 280389 moves, e=0.722, loss: 53.0, -, 48.9% elo% vs. random_no_suicide, avg. reward: -3.183, 1.995 sec/game, 9.3 min. total, 555.8 MB
anyplace_passage v6 354 games, 281252 moves, e=0.722, loss: 55.4, -, 46.7% elo% vs. random_no_suicide, avg. reward: -3.178, 1.989 sec/game, 9.4 min. total, 556.7 MB
anyplace_passage v6 355 games, 282116 moves, e=0.721, loss: 59.1, -, 44.6% elo% vs. random_no_suicide, avg. reward: -3.171, 1.985 sec/game, 9.4 min. total, 557.6 MB
anyplace_passage v6 356 games, 283106 moves, e=0.720, loss: 59.6, ., 44.8% elo% vs. random_no_suicide, avg. reward: -3.156, 2.008 sec/game, 9.4 min. total, 552.8 MB
anyplace_passage v6 357 games, 284093 moves, e=0.719, loss: 56.4, +, 47.3% elo% vs. random_no_suicide, avg. reward: -3.124, 2.020 sec/game, 9.5 min. total, 554.4 MB
anyplace_passage v6 358 games, 284954 moves, e=0.718, loss: 53.1, +, 49.7% elo% vs. random_no_suicide, avg. reward: -3.126, 2.019 sec/game, 9.5 min. total, 552.9 MB
anyplace_passage v6 359 games, 285950 moves, e=0.717, loss: 53.1, +, 52.1% elo% vs. random_no_suicide, avg. reward: -3.121, 2.010 sec/game, 9.5 min. total, 553.3 MB
anyplace_passage v6 360 games, 286935 moves, e=0.716, loss: 54.3, +, 54.3% elo% vs. random_no_suicide, avg. reward: -3.108, 2.021 sec/game, 9.6 min. total, 554.5 MB
anyplace_passage v6 361 games, 287962 moves, e=0.715, loss: 56.2, +, 56.3% elo% vs. random_no_suicide, avg. reward: -3.085, 2.060 sec/game, 9.6 min. total, 557.9 MB
anyplace_passage v6 362 games, 288964 moves, e=0.714, loss: 56.7, +, 58.3% elo% vs. random_no_suicide, avg. reward: -3.068, 2.071 sec/game, 9.7 min. total, 554.1 MB
anyplace_passage v6 363 games, 289969 moves, e=0.713, loss: 57.5, +, 60.2% elo% vs. random_no_suicide, avg. reward: -3.046, 2.073 sec/game, 9.7 min. total, 556.1 MB
anyplace_passage v6 364 games, 290853 moves, e=0.712, loss: 60.6, -, 57.5% elo% vs. random_no_suicide, avg. reward: -3.039, 2.052 sec/game, 9.7 min. total, 560.5 MB
anyplace_passage v6 365 games, 291822 moves, e=0.711, loss: 62.2, +, 59.4% elo% vs. random_no_suicide, avg. reward: -3.034, 2.054 sec/game, 9.8 min. total, 555.9 MB
anyplace_passage v6 366 games, 292725 moves, e=0.710, loss: 61.6, +, 61.2% elo% vs. random_no_suicide, avg. reward: -3.019, 2.054 sec/game, 9.8 min. total, 557.2 MB
anyplace_passage v6 367 games, 293864 moves, e=0.709, loss: 60.5, +, 62.9% elo% vs. random_no_suicide, avg. reward: -2.994, 2.080 sec/game, 9.8 min. total, 556.1 MB
anyplace_passage v6 368 games, 294847 moves, e=0.708, loss: 58.1, +, 64.4% elo% vs. random_no_suicide, avg. reward: -2.979, 2.081 sec/game, 9.9 min. total, 556.4 MB
anyplace_passage v6 369 games, 295824 moves, e=0.707, loss: 57.2, -, 61.7% elo% vs. random_no_suicide, avg. reward: -2.959, 2.096 sec/game, 9.9 min. total, 556.7 MB
anyplace_passage v6 370 games, 296819 moves, e=0.706, loss: 55.8, -, 59.0% elo% vs. random_no_suicide, avg. reward: -2.934, 2.098 sec/game, 9.9 min. total, 557.1 MB
anyplace_passage v6 371 games, 297603 moves, e=0.705, loss: 54.9, -, 56.3% elo% vs. random_no_suicide, avg. reward: -2.936, 2.096 sec/game, 10.0 min. total, 563.0 MB
anyplace_passage v6 372 games, 298503 moves, e=0.704, loss: 55.2, +, 58.3% elo% vs. random_no_suicide, avg. reward: -2.932, 2.099 sec/game, 10.0 min. total, 558.0 MB
anyplace_passage v6 373 games, 299329 moves, e=0.704, loss: 57.4, -, 55.6% elo% vs. random_no_suicide, avg. reward: -2.926, 2.073 sec/game, 10.0 min. total, 562.4 MB
anyplace_passage v6 374 games, 300286 moves, e=0.703, loss: 60.2, -, 53.1% elo% vs. random_no_suicide, avg. reward: -2.923, 2.071 sec/game, 10.1 min. total, 562.7 MB
anyplace_passage v6 375 games, 301241 moves, e=0.702, loss: 57.3, -, 50.7% elo% vs. random_no_suicide, avg. reward: -2.918, 2.084 sec/game, 10.1 min. total, 562.8 MB
anyplace_passage v6 376 games, 302143 moves, e=0.701, loss: 60.2, -, 48.3% elo% vs. random_no_suicide, avg. reward: -2.919, 2.077 sec/game, 10.1 min. total, 562.9 MB
anyplace_passage v6 377 games, 303083 moves, e=0.700, loss: 61.4, ., 48.4% elo% vs. random_no_suicide, avg. reward: -2.910, 2.068 sec/game, 10.2 min. total, 558.4 MB
anyplace_passage v6 378 games, 303935 moves, e=0.699, loss: 61.3, -, 46.2% elo% vs. random_no_suicide, avg. reward: -2.892, 2.071 sec/game, 10.2 min. total, 562.7 MB
anyplace_passage v6 379 games, 304865 moves, e=0.698, loss: 61.3, +, 48.7% elo% vs. random_no_suicide, avg. reward: -2.884, 2.069 sec/game, 10.2 min. total, 559.1 MB
anyplace_passage v6 380 games, 305795 moves, e=0.697, loss: 65.4, +, 51.0% elo% vs. random_no_suicide, avg. reward: -2.874, 2.067 sec/game, 10.3 min. total, 560.6 MB
anyplace_passage v6 381 games, 306600 moves, e=0.696, loss: 65.1, +, 53.3% elo% vs. random_no_suicide, avg. reward: -2.874, 2.041 sec/game, 10.3 min. total, 561.1 MB
anyplace_passage v6 382 games, 307554 moves, e=0.696, loss: 63.6, -, 50.8% elo% vs. random_no_suicide, avg. reward: -2.864, 2.034 sec/game, 10.3 min. total, 561.2 MB
anyplace_passage v6 383 games, 308498 moves, e=0.695, loss: 62.0, -, 48.5% elo% vs. random_no_suicide, avg. reward: -2.864, 2.032 sec/game, 10.4 min. total, 565.8 MB
anyplace_passage v6 384 games, 309441 moves, e=0.694, loss: 62.3, +, 50.9% elo% vs. random_no_suicide, avg. reward: -2.865, 2.033 sec/game, 10.4 min. total, 561.4 MB
anyplace_passage v6 385 games, 310444 moves, e=0.693, loss: 57.1, +, 53.1% elo% vs. random_no_suicide, avg. reward: -2.843, 2.045 sec/game, 10.4 min. total, 561.7 MB
anyplace_passage v6 386 games, 311538 moves, e=0.692, loss: 59.9, +, 55.3% elo% vs. random_no_suicide, avg. reward: -2.819, 2.059 sec/game, 10.5 min. total, 561.8 MB
anyplace_passage v6 387 games, 312500 moves, e=0.691, loss: 57.9, +, 57.3% elo% vs. random_no_suicide, avg. reward: -2.813, 2.047 sec/game, 10.5 min. total, 562.0 MB
anyplace_passage v6 388 games, 313456 moves, e=0.690, loss: 58.0, +, 59.2% elo% vs. random_no_suicide, avg. reward: -2.796, 2.038 sec/game, 10.5 min. total, 563.1 MB
anyplace_passage v6 389 games, 314407 moves, e=0.689, loss: 59.6, -, 56.5% elo% vs. random_no_suicide, avg. reward: -2.799, 2.046 sec/game, 10.6 min. total, 564.2 MB
anyplace_passage v6 390 games, 315248 moves, e=0.688, loss: 61.3, +, 58.5% elo% vs. random_no_suicide, avg. reward: -2.804, 2.034 sec/game, 10.6 min. total, 563.8 MB
anyplace_passage v6 391 games, 316341 moves, e=0.687, loss: 56.6, +, 60.3% elo% vs. random_no_suicide, avg. reward: -2.776, 2.062 sec/game, 10.7 min. total, 563.9 MB
anyplace_passage v6 392 games, 317244 moves, e=0.686, loss: 57.1, -, 57.7% elo% vs. random_no_suicide, avg. reward: -2.764, 2.055 sec/game, 10.7 min. total, 563.9 MB
anyplace_passage v6 393 games, 318293 moves, e=0.685, loss: 61.4, -, 55.0% elo% vs. random_no_suicide, avg. reward: -2.752, 2.082 sec/game, 10.7 min. total, 568.8 MB
anyplace_passage v6 394 games, 319084 moves, e=0.684, loss: 60.7, -, 52.5% elo% vs. random_no_suicide, avg. reward: -2.756, 2.069 sec/game, 10.8 min. total, 569.0 MB
anyplace_passage v6 395 games, 319902 moves, e=0.683, loss: 65.9, -, 50.1% elo% vs. random_no_suicide, avg. reward: -2.762, 2.055 sec/game, 10.8 min. total, 569.2 MB
anyplace_passage v6 396 games, 320710 moves, e=0.682, loss: 65.4, +, 52.4% elo% vs. random_no_suicide, avg. reward: -2.782, 2.042 sec/game, 10.8 min. total, 564.6 MB
anyplace_passage v6 397 games, 321717 moves, e=0.682, loss: 63.5, +, 54.6% elo% vs. random_no_suicide, avg. reward: -2.765, 2.064 sec/game, 10.9 min. total, 566.2 MB
anyplace_passage v6 398 games, 322748 moves, e=0.680, loss: 62.9, +, 56.6% elo% vs. random_no_suicide, avg. reward: -2.743, 2.088 sec/game, 10.9 min. total, 568.0 MB
anyplace_passage v6 399 games, 323661 moves, e=0.680, loss: 63.9, -, 54.1% elo% vs. random_no_suicide, avg. reward: -2.718, 2.101 sec/game, 10.9 min. total, 566.7 MB
anyplace_passage v6 400 games, 324511 moves, e=0.679, loss: 64.5, +, 56.2% elo% vs. random_no_suicide, avg. reward: -2.713, 2.101 sec/game, 11.0 min. total, 568.3 MB
anyplace_passage v7 401 games, 325565 moves, e=0.678, loss: 61.3, +, 52.3% elo% vs. random_no_suicide, avg. reward: -2.695, 2.141 sec/game, 11.0 min. total, 567.1 MB
anyplace_passage v7 402 games, 326613 moves, e=0.677, loss: 63.8, +, 54.5% elo% vs. random_no_suicide, avg. reward: -2.673, 2.162 sec/game, 11.1 min. total, 567.1 MB
anyplace_passage v7 403 games, 327498 moves, e=0.676, loss: 59.7, +, 56.6% elo% vs. random_no_suicide, avg. reward: -2.660, 2.160 sec/game, 11.1 min. total, 568.3 MB
anyplace_passage v7 404 games, 328481 moves, e=0.675, loss: 60.3, +, 58.5% elo% vs. random_no_suicide, avg. reward: -2.657, 2.178 sec/game, 11.1 min. total, 567.8 MB
anyplace_passage v7 405 games, 329442 moves, e=0.674, loss: 58.1, +, 60.4% elo% vs. random_no_suicide, avg. reward: -2.659, 2.173 sec/game, 11.2 min. total, 571.0 MB
anyplace_passage v7 406 games, 330466 moves, e=0.673, loss: 60.4, +, 62.1% elo% vs. random_no_suicide, avg. reward: -2.649, 2.187 sec/game, 11.2 min. total, 570.9 MB
anyplace_passage v7 407 games, 331413 moves, e=0.672, loss: 56.2, +, 63.7% elo% vs. random_no_suicide, avg. reward: -2.648, 2.193 sec/game, 11.2 min. total, 570.9 MB
anyplace_passage v7 408 games, 332480 moves, e=0.671, loss: 58.8, +, 65.2% elo% vs. random_no_suicide, avg. reward: -2.626, 2.214 sec/game, 11.3 min. total, 569.7 MB
anyplace_passage v7 409 games, 333381 moves, e=0.670, loss: 61.2, -, 62.5% elo% vs. random_no_suicide, avg. reward: -2.612, 2.206 sec/game, 11.3 min. total, 574.4 MB
anyplace_passage v7 410 games, 334289 moves, e=0.669, loss: 60.1, -, 59.7% elo% vs. random_no_suicide, avg. reward: -2.608, 2.225 sec/game, 11.4 min. total, 574.7 MB
anyplace_passage v7 411 games, 335156 moves, e=0.668, loss: 63.7, -, 57.1% elo% vs. random_no_suicide, avg. reward: -2.609, 2.207 sec/game, 11.4 min. total, 575.2 MB
anyplace_passage v7 412 games, 336052 moves, e=0.667, loss: 63.9, +, 59.0% elo% vs. random_no_suicide, avg. reward: -2.611, 2.213 sec/game, 11.4 min. total, 571.9 MB
anyplace_passage v7 413 games, 336936 moves, e=0.666, loss: 62.6, -, 56.3% elo% vs. random_no_suicide, avg. reward: -2.619, 2.205 sec/game, 11.5 min. total, 571.3 MB
anyplace_passage v7 414 games, 337936 moves, e=0.665, loss: 61.8, +, 58.3% elo% vs. random_no_suicide, avg. reward: -2.597, 2.241 sec/game, 11.5 min. total, 573.2 MB
anyplace_passage v7 415 games, 339117 moves, e=0.664, loss: 58.1, +, 60.2% elo% vs. random_no_suicide, avg. reward: -2.562, 2.278 sec/game, 11.5 min. total, 573.2 MB
anyplace_passage v7 416 games, 340202 moves, e=0.663, loss: 59.0, -, 57.5% elo% vs. random_no_suicide, avg. reward: -2.543, 2.312 sec/game, 11.6 min. total, 571.6 MB
anyplace_passage v7 417 games, 341438 moves, e=0.662, loss: 58.9, +, 59.4% elo% vs. random_no_suicide, avg. reward: -2.520, 2.332 sec/game, 11.6 min. total, 573.6 MB
anyplace_passage v7 418 games, 342591 moves, e=0.661, loss: 58.8, +, 61.2% elo% vs. random_no_suicide, avg. reward: -2.496, 2.346 sec/game, 11.7 min. total, 572.3 MB
anyplace_passage v7 419 games, 343679 moves, e=0.660, loss: 55.8, +, 62.9% elo% vs. random_no_suicide, avg. reward: -2.487, 2.357 sec/game, 11.7 min. total, 574.1 MB
anyplace_passage v7 420 games, 344629 moves, e=0.659, loss: 55.2, +, 64.4% elo% vs. random_no_suicide, avg. reward: -2.469, 2.367 sec/game, 11.8 min. total, 573.6 MB
anyplace_passage v7 421 games, 345660 moves, e=0.658, loss: 54.1, +, 65.9% elo% vs. random_no_suicide, avg. reward: -2.435, 2.362 sec/game, 11.8 min. total, 575.2 MB
anyplace_passage v7 422 games, 346660 moves, e=0.657, loss: 55.7, +, 67.3% elo% vs. random_no_suicide, avg. reward: -2.417, 2.364 sec/game, 11.8 min. total, 573.7 MB
anyplace_passage v7 423 games, 347574 moves, e=0.656, loss: 57.7, +, 68.6% elo% vs. random_no_suicide, avg. reward: -2.421, 2.371 sec/game, 11.9 min. total, 575.2 MB
anyplace_passage v7 424 games, 348619 moves, e=0.655, loss: 57.5, +, 69.9% elo% vs. random_no_suicide, avg. reward: -2.410, 2.376 sec/game, 11.9 min. total, 573.8 MB
anyplace_passage v7 425 games, 349666 moves, e=0.654, loss: 58.9, +, 71.0% elo% vs. random_no_suicide, avg. reward: -2.398, 2.394 sec/game, 12.0 min. total, 574.0 MB
anyplace_passage v8 426 games, 350840 moves, e=0.653, loss: 56.1, -, 49.9% elo% vs. simple_bot, avg. reward: -2.373, 2.400 sec/game, 12.0 min. total, 576.7 MB
anyplace_passage v8 427 games, 351962 moves, e=0.652, loss: 55.0, -, 47.6% elo% vs. simple_bot, avg. reward: -2.363, 2.427 sec/game, 12.1 min. total, 577.9 MB
anyplace_passage v8 428 games, 353119 moves, e=0.650, loss: 58.5, -, 45.4% elo% vs. simple_bot, avg. reward: -2.331, 2.453 sec/game, 12.1 min. total, 582.8 MB
anyplace_passage v8 429 games, 354077 moves, e=0.649, loss: 59.4, -, 43.4% elo% vs. simple_bot, avg. reward: -2.325, 2.473 sec/game, 12.1 min. total, 578.5 MB
anyplace_passage v8 430 games, 355075 moves, e=0.648, loss: 56.6, -, 41.4% elo% vs. simple_bot, avg. reward: -2.326, 2.494 sec/game, 12.2 min. total, 583.2 MB
anyplace_passage v8 431 games, 356033 moves, e=0.648, loss: 59.1, -, 39.6% elo% vs. simple_bot, avg. reward: -2.320, 2.505 sec/game, 12.2 min. total, 583.2 MB
anyplace_passage v8 432 games, 357160 moves, e=0.646, loss: 59.4, -, 37.8% elo% vs. simple_bot, avg. reward: -2.312, 2.542 sec/game, 12.3 min. total, 583.5 MB
anyplace_passage v8 433 games, 358277 moves, e=0.645, loss: 63.0, -, 36.2% elo% vs. simple_bot, avg. reward: -2.304, 2.579 sec/game, 12.3 min. total, 585.0 MB
anyplace_passage v8 434 games, 359332 moves, e=0.644, loss: 64.0, -, 34.7% elo% vs. simple_bot, avg. reward: -2.291, 2.590 sec/game, 12.4 min. total, 580.4 MB
anyplace_passage v8 435 games, 360269 moves, e=0.643, loss: 64.1, -, 33.3% elo% vs. simple_bot, avg. reward: -2.293, 2.572 sec/game, 12.4 min. total, 580.5 MB
anyplace_passage v8 436 games, 361454 moves, e=0.642, loss: 62.0, -, 31.9% elo% vs. simple_bot, avg. reward: -2.253, 2.597 sec/game, 12.4 min. total, 580.6 MB
anyplace_passage v8 437 games, 362401 moves, e=0.641, loss: 65.8, -, 30.6% elo% vs. simple_bot, avg. reward: -2.255, 2.587 sec/game, 12.5 min. total, 580.7 MB
anyplace_passage v8 438 games, 363425 moves, e=0.640, loss: 65.0, -, 29.5% elo% vs. simple_bot, avg. reward: -2.246, 2.580 sec/game, 12.5 min. total, 582.1 MB
anyplace_passage v8 439 games, 364606 moves, e=0.639, loss: 61.9, -, 28.3% elo% vs. simple_bot, avg. reward: -2.232, 2.608 sec/game, 12.6 min. total, 582.7 MB
anyplace_passage v8 440 games, 365670 moves, e=0.638, loss: 60.6, -, 27.3% elo% vs. simple_bot, avg. reward: -2.217, 2.619 sec/game, 12.6 min. total, 583.5 MB
anyplace_passage v8 441 games, 366735 moves, e=0.637, loss: 65.2, -, 26.3% elo% vs. simple_bot, avg. reward: -2.190, 2.632 sec/game, 12.7 min. total, 588.2 MB
