anyplace_passage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
anyplace_passage v3 66 games, 47239 moves, e=0.953, loss: 43.9, -, 25.6% elo% vs. random_no_suicide, avg. reward: -5.277, 1.440 sec/game, 1.2 min. total, 474.7 MB
anyplace_passage v3 67 games, 47911 moves, e=0.953, loss: 46.4, -, 24.7% elo% vs. random_no_suicide, avg. reward: -5.288, 1.443 sec/game, 1.2 min. total, 475.7 MB
anyplace_passage v3 68 games, 48665 moves, e=0.952, loss: 48.0, -, 23.9% elo% vs. random_no_suicide, avg. reward: -5.281, 1.438 sec/game, 1.3 min. total, 476.6 MB
anyplace_passage v3 69 games, 49448 moves, e=0.951, loss: 45.1, -, 23.1% elo% vs. random_no_suicide, avg. reward: -5.267, 1.449 sec/game, 1.3 min. total, 477.8 MB
anyplace_passage v3 70 games, 50137 moves, e=0.950, loss: 45.5, -, 22.4% elo% vs. random_no_suicide, avg. reward: -5.269, 1.451 sec/game, 1.3 min. total, 478.7 MB
anyplace_passage v3 71 games, 50885 moves, e=0.950, loss: 48.5, -, 21.7% elo% vs. random_no_suicide, avg. reward: -5.261, 1.447 sec/game, 1.3 min. total, 474.2 MB
anyplace_passage v3 72 games, 51576 moves, e=0.949, loss: 47.9, -, 21.0% elo% vs. random_no_suicide, avg. reward: -5.267, 1.433 sec/game, 1.4 min. total, 478.9 MB
anyplace_passage v3 73 games, 52336 moves, e=0.948, loss: 50.8, -, 20.4% elo% vs. random_no_suicide, avg. reward: -5.256, 1.442 sec/game, 1.4 min. total, 479.0 MB
anyplace_passage v3 74 games, 53090 moves, e=0.947, loss: 49.1, -, 19.8% elo% vs. random_no_suicide, avg. reward: -5.251, 1.441 sec/game, 1.4 min. total, 479.5 MB
anyplace_passage v3 75 games, 53807 moves, e=0.947, loss: 52.7, -, 19.2% elo% vs. random_no_suicide, avg. reward: -5.252, 1.442 sec/game, 1.4 min. total, 479.8 MB
anyplace_passage v3 76 games, 54575 moves, e=0.946, loss: 48.0, +, 21.6% elo% vs. random_no_suicide, avg. reward: -5.242, 1.449 sec/game, 1.5 min. total, 474.9 MB
anyplace_passage v3 77 games, 55308 moves, e=0.945, loss: 46.9, -, 20.9% elo% vs. random_no_suicide, avg. reward: -5.234, 1.448 sec/game, 1.5 min. total, 475.4 MB
anyplace_passage v3 78 games, 56136 moves, e=0.944, loss: 46.7, +, 23.4% elo% vs. random_no_suicide, avg. reward: -5.215, 1.448 sec/game, 1.5 min. total, 479.8 MB
anyplace_passage v3 79 games, 56827 moves, e=0.944, loss: 49.4, -, 22.7% elo% vs. random_no_suicide, avg. reward: -5.221, 1.441 sec/game, 1.5 min. total, 482.3 MB
anyplace_passage v3 80 games, 57576 moves, e=0.943, loss: 47.1, -, 22.0% elo% vs. random_no_suicide, avg. reward: -5.217, 1.449 sec/game, 1.6 min. total, 482.5 MB
anyplace_passage v3 81 games, 58329 moves, e=0.942, loss: 45.5, +, 24.5% elo% vs. random_no_suicide, avg. reward: -5.208, 1.435 sec/game, 1.6 min. total, 477.9 MB
anyplace_passage v3 82 games, 59099 moves, e=0.941, loss: 46.7, +, 27.2% elo% vs. random_no_suicide, avg. reward: -5.201, 1.432 sec/game, 1.6 min. total, 478.5 MB
anyplace_passage v3 83 games, 59848 moves, e=0.941, loss: 47.7, +, 29.9% elo% vs. random_no_suicide, avg. reward: -5.198, 1.441 sec/game, 1.6 min. total, 479.1 MB
anyplace_passage v3 84 games, 60638 moves, e=0.940, loss: 46.7, -, 28.8% elo% vs. random_no_suicide, avg. reward: -5.182, 1.429 sec/game, 1.6 min. total, 484.3 MB
anyplace_passage v3 85 games, 61387 moves, e=0.939, loss: 48.1, -, 27.7% elo% vs. random_no_suicide, avg. reward: -5.180, 1.440 sec/game, 1.7 min. total, 484.7 MB
anyplace_passage v3 86 games, 62142 moves, e=0.938, loss: 50.1, -, 26.7% elo% vs. random_no_suicide, avg. reward: -5.173, 1.432 sec/game, 1.7 min. total, 485.8 MB
anyplace_passage v3 87 games, 62875 moves, e=0.938, loss: 49.0, -, 25.7% elo% vs. random_no_suicide, avg. reward: -5.171, 1.444 sec/game, 1.7 min. total, 482.8 MB
anyplace_passage v3 88 games, 63592 moves, e=0.937, loss: 49.4, -, 24.8% elo% vs. random_no_suicide, avg. reward: -5.172, 1.447 sec/game, 1.7 min. total, 483.7 MB
anyplace_passage v3 89 games, 64259 moves, e=0.936, loss: 51.4, +, 27.5% elo% vs. random_no_suicide, avg. reward: -5.184, 1.453 sec/game, 1.8 min. total, 482.8 MB
anyplace_passage v3 90 games, 65000 moves, e=0.936, loss: 51.3, +, 30.3% elo% vs. random_no_suicide, avg. reward: -5.180, 1.452 sec/game, 1.8 min. total, 482.9 MB
anyplace_passage v3 91 games, 65804 moves, e=0.935, loss: 51.5, ., 31.0% elo% vs. random_no_suicide, avg. reward: -5.166, 1.470 sec/game, 1.8 min. total, 483.0 MB
anyplace_passage v3 92 games, 66449 moves, e=0.934, loss: 50.9, ., 31.8% elo% vs. random_no_suicide, avg. reward: -5.184, 1.476 sec/game, 1.8 min. total, 482.9 MB
anyplace_passage v3 93 games, 67163 moves, e=0.934, loss: 51.4, +, 34.6% elo% vs. random_no_suicide, avg. reward: -5.184, 1.467 sec/game, 1.9 min. total, 483.3 MB
anyplace_passage v3 94 games, 67914 moves, e=0.933, loss: 48.6, +, 37.3% elo% vs. random_no_suicide, avg. reward: -5.179, 1.471 sec/game, 1.9 min. total, 483.2 MB
anyplace_passage v3 95 games, 68633 moves, e=0.932, loss: 48.4, -, 35.7% elo% vs. random_no_suicide, avg. reward: -5.178, 1.476 sec/game, 1.9 min. total, 488.0 MB
anyplace_passage v3 96 games, 69415 moves, e=0.931, loss: 49.7, ., 36.4% elo% vs. random_no_suicide, avg. reward: -5.168, 1.479 sec/game, 1.9 min. total, 489.0 MB
anyplace_passage v3 97 games, 70221 moves, e=0.930, loss: 48.1, +, 39.1% elo% vs. random_no_suicide, avg. reward: -5.158, 1.483 sec/game, 2.0 min. total, 485.3 MB
anyplace_passage v3 98 games, 70982 moves, e=0.930, loss: 47.7, +, 41.8% elo% vs. random_no_suicide, avg. reward: -5.152, 1.482 sec/game, 2.0 min. total, 485.6 MB
anyplace_passage v3 99 games, 71766 moves, e=0.929, loss: 48.0, -, 39.9% elo% vs. random_no_suicide, avg. reward: -5.143, 1.491 sec/game, 2.0 min. total, 490.2 MB
anyplace_passage v3 100 games, 72558 moves, e=0.928, loss: 47.0, -, 38.2% elo% vs. random_no_suicide, avg. reward: -5.132, 1.498 sec/game, 2.1 min. total, 490.0 MB
anyplace_passage v4 101 games, 73296 moves, e=0.927, loss: 47.7, -, 47.7% elo% vs. random_no_suicide, avg. reward: -5.125, 1.502 sec/game, 2.1 min. total, 490.1 MB
anyplace_passage v4 102 games, 74014 moves, e=0.927, loss: 48.7, ., 47.8% elo% vs. random_no_suicide, avg. reward: -5.124, 1.505 sec/game, 2.1 min. total, 490.4 MB
anyplace_passage v4 103 games, 74715 moves, e=0.926, loss: 49.4, +, 50.2% elo% vs. random_no_suicide, avg. reward: -5.107, 1.498 sec/game, 2.1 min. total, 486.0 MB
anyplace_passage v4 104 games, 75473 moves, e=0.925, loss: 49.4, -, 47.9% elo% vs. random_no_suicide, avg. reward: -5.089, 1.503 sec/game, 2.1 min. total, 490.7 MB
anyplace_passage v4 105 games, 76221 moves, e=0.925, loss: 49.3, +, 50.3% elo% vs. random_no_suicide, avg. reward: -5.091, 1.505 sec/game, 2.2 min. total, 486.6 MB
anyplace_passage v4 106 games, 76828 moves, e=0.924, loss: 50.3, -, 48.0% elo% vs. random_no_suicide, avg. reward: -5.108, 1.495 sec/game, 2.2 min. total, 486.9 MB
