jaybird_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
jaybird_flanked v1 52 games, 36288 moves, e=0.964, loss: 58.6, -, 23.3% elo% vs. v0, avg. reward: -3.505, 1.529 sec/game, 1.0 min. total, 408.7 MB
jaybird_flanked v1 53 games, 37021 moves, e=0.963, loss: 57.2, -, 22.5% elo% vs. v0, avg. reward: -3.493, 1.541 sec/game, 1.0 min. total, 407.8 MB
jaybird_flanked v1 54 games, 37730 moves, e=0.963, loss: 65.6, -, 21.8% elo% vs. v0, avg. reward: -3.542, 1.531 sec/game, 1.0 min. total, 408.3 MB
jaybird_flanked v1 55 games, 38440 moves, e=0.962, loss: 69.4, +, 24.3% elo% vs. v0, avg. reward: -3.499, 1.545 sec/game, 1.0 min. total, 408.1 MB
jaybird_flanked v1 56 games, 39139 moves, e=0.961, loss: 66.8, -, 23.5% elo% vs. v0, avg. reward: -3.550, 1.525 sec/game, 1.1 min. total, 407.8 MB
jaybird_flanked v1 57 games, 39741 moves, e=0.961, loss: 65.6, -, 22.8% elo% vs. v0, avg. reward: -3.553, 1.484 sec/game, 1.1 min. total, 407.8 MB
jaybird_flanked v1 58 games, 40414 moves, e=0.960, loss: 62.4, +, 25.4% elo% vs. v0, avg. reward: -3.555, 1.498 sec/game, 1.1 min. total, 408.0 MB
jaybird_flanked v1 59 games, 41212 moves, e=0.959, loss: 64.7, +, 28.0% elo% vs. v0, avg. reward: -3.477, 1.500 sec/game, 1.1 min. total, 410.6 MB
jaybird_flanked v1 60 games, 41827 moves, e=0.959, loss: 65.9, +, 30.8% elo% vs. v0, avg. reward: -3.508, 1.497 sec/game, 1.2 min. total, 408.1 MB
jaybird_flanked v1 61 games, 42581 moves, e=0.958, loss: 68.9, +, 33.6% elo% vs. v0, avg. reward: -3.500, 1.489 sec/game, 1.2 min. total, 409.3 MB
jaybird_flanked v1 62 games, 43174 moves, e=0.957, loss: 74.1, +, 36.4% elo% vs. v0, avg. reward: -3.514, 1.476 sec/game, 1.2 min. total, 411.1 MB
jaybird_flanked v1 63 games, 43849 moves, e=0.957, loss: 83.5, -, 34.8% elo% vs. v0, avg. reward: -3.507, 1.462 sec/game, 1.2 min. total, 411.8 MB
jaybird_flanked v1 64 games, 44580 moves, e=0.956, loss: 86.5, +, 37.6% elo% vs. v0, avg. reward: -3.506, 1.461 sec/game, 1.3 min. total, 414.1 MB
jaybird_flanked v1 65 games, 45258 moves, e=0.955, loss: 82.6, -, 36.0% elo% vs. v0, avg. reward: -3.465, 1.452 sec/game, 1.3 min. total, 411.5 MB
jaybird_flanked v1 66 games, 45949 moves, e=0.955, loss: 79.3, +, 38.7% elo% vs. v0, avg. reward: -3.493, 1.452 sec/game, 1.3 min. total, 416.2 MB
jaybird_flanked v1 67 games, 46708 moves, e=0.954, loss: 82.2, +, 41.4% elo% vs. v0, avg. reward: -3.491, 1.455 sec/game, 1.3 min. total, 412.3 MB
jaybird_flanked v1 68 games, 47323 moves, e=0.953, loss: 80.5, +, 44.1% elo% vs. v0, avg. reward: -3.520, 1.443 sec/game, 1.4 min. total, 412.4 MB
jaybird_flanked v1 69 games, 48090 moves, e=0.952, loss: 84.3, +, 46.6% elo% vs. v0, avg. reward: -3.484, 1.457 sec/game, 1.4 min. total, 414.9 MB
jaybird_flanked v1 70 games, 48749 moves, e=0.952, loss: 87.5, +, 49.1% elo% vs. v0, avg. reward: -3.505, 1.447 sec/game, 1.4 min. total, 415.0 MB
jaybird_flanked v1 71 games, 49469 moves, e=0.951, loss: 90.1, +, 51.4% elo% vs. v0, avg. reward: -3.503, 1.462 sec/game, 1.4 min. total, 414.4 MB
jaybird_flanked v1 72 games, 50212 moves, e=0.950, loss: 96.8, +, 53.7% elo% vs. v0, avg. reward: -3.472, 1.464 sec/game, 1.5 min. total, 418.0 MB
jaybird_flanked v1 73 games, 50962 moves, e=0.950, loss: 94.4, +, 55.8% elo% vs. v0, avg. reward: -3.483, 1.466 sec/game, 1.5 min. total, 417.9 MB
jaybird_flanked v1 74 games, 51720 moves, e=0.949, loss: 98.7, +, 57.8% elo% vs. v0, avg. reward: -3.455, 1.477 sec/game, 1.5 min. total, 415.7 MB
jaybird_flanked v1 75 games, 52464 moves, e=0.948, loss: 106.3, +, 59.7% elo% vs. v0, avg. reward: -3.401, 1.463 sec/game, 1.5 min. total, 417.9 MB
jaybird_flanked v1 76 games, 53175 moves, e=0.947, loss: 103.9, -, 57.0% elo% vs. v0, avg. reward: -3.411, 1.474 sec/game, 1.6 min. total, 415.6 MB
jaybird_flanked v1 77 games, 53823 moves, e=0.947, loss: 114.5, -, 54.4% elo% vs. v0, avg. reward: -3.424, 1.476 sec/game, 1.6 min. total, 415.8 MB
jaybird_flanked v1 78 games, 54492 moves, e=0.946, loss: 121.1, -, 51.9% elo% vs. v0, avg. reward: -3.458, 1.475 sec/game, 1.6 min. total, 415.7 MB
jaybird_flanked v1 79 games, 55192 moves, e=0.945, loss: 123.2, -, 49.5% elo% vs. v0, avg. reward: -3.444, 1.473 sec/game, 1.6 min. total, 415.8 MB
jaybird_flanked v1 80 games, 55942 moves, e=0.945, loss: 124.9, +, 51.8% elo% vs. v0, avg. reward: -3.440, 1.487 sec/game, 1.7 min. total, 415.6 MB
jaybird_flanked v1 81 games, 56634 moves, e=0.944, loss: 117.5, +, 54.1% elo% vs. v0, avg. reward: -3.434, 1.476 sec/game, 1.7 min. total, 416.4 MB
jaybird_flanked v1 82 games, 57416 moves, e=0.943, loss: 127.3, +, 56.1% elo% vs. v0, avg. reward: -3.433, 1.499 sec/game, 1.7 min. total, 418.1 MB
jaybird_flanked v1 83 games, 58034 moves, e=0.943, loss: 124.9, -, 53.6% elo% vs. v0, avg. reward: -3.457, 1.500 sec/game, 1.7 min. total, 418.4 MB
jaybird_flanked v1 84 games, 58810 moves, e=0.942, loss: 134.3, +, 55.7% elo% vs. v0, avg. reward: -3.438, 1.501 sec/game, 1.8 min. total, 420.8 MB
jaybird_flanked v1 85 games, 59508 moves, e=0.941, loss: 128.3, -, 53.2% elo% vs. v0, avg. reward: -3.431, 1.503 sec/game, 1.8 min. total, 418.5 MB
jaybird_flanked v1 86 games, 60182 moves, e=0.940, loss: 128.2, +, 55.3% elo% vs. v0, avg. reward: -3.441, 1.514 sec/game, 1.8 min. total, 418.7 MB
jaybird_flanked v1 87 games, 60958 moves, e=0.940, loss: 119.8, -, 52.8% elo% vs. v0, avg. reward: -3.435, 1.516 sec/game, 1.8 min. total, 418.9 MB
jaybird_flanked v1 88 games, 61724 moves, e=0.939, loss: 115.6, -, 50.3% elo% vs. v0, avg. reward: -3.401, 1.530 sec/game, 1.9 min. total, 418.9 MB
jaybird_flanked v1 89 games, 62520 moves, e=0.938, loss: 116.0, -, 48.0% elo% vs. v0, avg. reward: -3.401, 1.530 sec/game, 1.9 min. total, 418.9 MB
jaybird_flanked v1 90 games, 63321 moves, e=0.937, loss: 114.0, -, 45.8% elo% vs. v0, avg. reward: -3.358, 1.545 sec/game, 1.9 min. total, 419.6 MB
jaybird_flanked v1 91 games, 64195 moves, e=0.936, loss: 121.1, -, 43.7% elo% vs. v0, avg. reward: -3.326, 1.561 sec/game, 2.0 min. total, 419.5 MB
jaybird_flanked v1 92 games, 64952 moves, e=0.936, loss: 116.2, -, 41.8% elo% vs. v0, avg. reward: -3.311, 1.562 sec/game, 2.0 min. total, 420.2 MB
jaybird_flanked v1 93 games, 65648 moves, e=0.935, loss: 119.4, +, 44.4% elo% vs. v0, avg. reward: -3.342, 1.553 sec/game, 2.0 min. total, 423.6 MB
jaybird_flanked v1 94 games, 66331 moves, e=0.934, loss: 123.8, -, 42.4% elo% vs. v0, avg. reward: -3.331, 1.554 sec/game, 2.0 min. total, 422.6 MB
jaybird_flanked v1 95 games, 67090 moves, e=0.934, loss: 119.9, -, 40.5% elo% vs. v0, avg. reward: -3.223, 1.574 sec/game, 2.1 min. total, 421.6 MB
jaybird_flanked v1 96 games, 67812 moves, e=0.933, loss: 122.2, +, 43.2% elo% vs. v0, avg. reward: -3.199, 1.565 sec/game, 2.1 min. total, 421.9 MB
jaybird_flanked v1 97 games, 68452 moves, e=0.932, loss: 127.7, -, 41.2% elo% vs. v0, avg. reward: -3.233, 1.568 sec/game, 2.1 min. total, 421.8 MB
