wasp_emote v3 144 games, 78291 moves, e=0.922, loss: nan, ., 61.6% elo% vs. guard_bot, avg. reward: -9.627, 1.215 sec/game, 2.8 min. total, 641.7 MB
wasp_emote v3 146 games, 79388 moves, e=0.921, loss: nan, ., 61.1% elo% vs. guard_bot, avg. reward: -9.614, 0.708 sec/game, 2.8 min. total, 644.6 MB
wasp_emote v3 148 games, 80520 moves, e=0.920, loss: nan, ., 60.6% elo% vs. guard_bot, avg. reward: -9.607, 0.282 sec/game, 2.8 min. total, 647.3 MB
wasp_emote v3 150 games, 81518 moves, e=0.919, loss: nan, +, 62.3% elo% vs. guard_bot, avg. reward: -9.613, 0.643 sec/game, 3.0 min. total, 649.6 MB
wasp_emote v3 152 games, 82663 moves, e=0.918, loss: nan, +, 63.9% elo% vs. guard_bot, avg. reward: -9.582, 1.091 sec/game, 3.1 min. total, 652.7 MB
wasp_emote v3 154 games, 83735 moves, e=0.917, loss: nan, ., 63.4% elo% vs. guard_bot, avg. reward: -9.574, 1.438 sec/game, 3.3 min. total, 656.6 MB
wasp_emote v3 156 games, 84766 moves, e=0.916, loss: nan, ., 62.8% elo% vs. guard_bot, avg. reward: -9.532, 2.010 sec/game, 3.5 min. total, 661.4 MB
wasp_emote v3 158 games, 85792 moves, e=0.915, loss: nan, +, 64.4% elo% vs. guard_bot, avg. reward: -9.550, 2.011 sec/game, 3.5 min. total, 665.9 MB
wasp_emote v3 160 games, 86895 moves, e=0.914, loss: nan, ., 63.8% elo% vs. guard_bot, avg. reward: -9.575, 2.005 sec/game, 3.5 min. total, 671.0 MB
wasp_emote v3 162 games, 87993 moves, e=0.913, loss: nan, ., 63.2% elo% vs. guard_bot, avg. reward: -9.577, 2.003 sec/game, 3.5 min. total, 676.7 MB
wasp_emote v3 164 games, 89156 moves, e=0.912, loss: nan, ., 62.6% elo% vs. guard_bot, avg. reward: -9.577, 2.006 sec/game, 3.5 min. total, 681.4 MB
wasp_emote v3 166 games, 90131 moves, e=0.911, loss: nan, ., 62.1% elo% vs. guard_bot, avg. reward: -9.583, 2.005 sec/game, 3.5 min. total, 686.1 MB
wasp_emote v3 168 games, 91365 moves, e=0.910, loss: nan, +, 63.7% elo% vs. guard_bot, avg. reward: -9.567, 2.009 sec/game, 3.5 min. total, 687.9 MB
wasp_emote v3 170 games, 92523 moves, e=0.908, loss: nan, ., 63.1% elo% vs. guard_bot, avg. reward: -9.548, 1.631 sec/game, 3.5 min. total, 690.2 MB
wasp_emote v3 172 games, 93655 moves, e=0.907, loss: nan, ., 62.5% elo% vs. guard_bot, avg. reward: -9.550, 1.193 sec/game, 3.5 min. total, 693.0 MB
wasp_emote v3 174 games, 94915 moves, e=0.906, loss: nan, ., 62.0% elo% vs. guard_bot, avg. reward: -9.534, 0.848 sec/game, 3.5 min. total, 696.3 MB
wasp_emote v3 176 games, 96127 moves, e=0.905, loss: nan, +, 63.6% elo% vs. guard_bot, avg. reward: -9.492, 0.352 sec/game, 3.6 min. total, 699.4 MB
wasp_emote v3 178 games, 97214 moves, e=0.904, loss: nan, ., 63.1% elo% vs. guard_bot, avg. reward: -9.539, 0.741 sec/game, 3.7 min. total, 702.0 MB
wasp_emote v3 180 games, 98385 moves, e=0.903, loss: nan, ., 62.5% elo% vs. guard_bot, avg. reward: -9.526, 1.120 sec/game, 3.9 min. total, 705.0 MB
wasp_emote v3 182 games, 99554 moves, e=0.901, loss: nan, ., 61.9% elo% vs. guard_bot, avg. reward: -9.519, 2.177 sec/game, 4.2 min. total, 708.2 MB
wasp_emote v3 184 games, 100689 moves, e=0.900, loss: 59.0, ., 61.4% elo% vs. guard_bot, avg. reward: -9.516, 2.356 sec/game, 4.3 min. total, 751.9 MB
wasp_emote v3 186 games, 101870 moves, e=0.899, loss: 33.3, ., 60.9% elo% vs. guard_bot, avg. reward: -9.506, 3.161 sec/game, 4.6 min. total, 752.7 MB
wasp_emote v3 188 games, 103093 moves, e=0.898, loss: 17.4, +, 62.6% elo% vs. guard_bot, avg. reward: -9.467, 3.463 sec/game, 4.7 min. total, 754.8 MB
