annuity_bulge v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.7 MB
annuity_bulge v5 295 games, 228195 moves, e=0.774, loss: 7.6, +, 24.9% elo% vs. random_no_suicide, avg. reward: -9.550, 2.360 sec/game, 9.8 min. total, 519.4 MB
annuity_bulge v5 296 games, 229065 moves, e=0.773, loss: 7.7, -, 24.1% elo% vs. random_no_suicide, avg. reward: -9.538, 2.379 sec/game, 9.9 min. total, 522.7 MB
annuity_bulge v5 297 games, 229955 moves, e=0.772, loss: 7.7, -, 23.3% elo% vs. random_no_suicide, avg. reward: -9.527, 2.377 sec/game, 9.9 min. total, 523.3 MB
annuity_bulge v5 298 games, 230806 moves, e=0.772, loss: 7.4, -, 22.5% elo% vs. random_no_suicide, avg. reward: -9.518, 2.392 sec/game, 9.9 min. total, 522.9 MB
annuity_bulge v5 299 games, 231813 moves, e=0.771, loss: 7.4, -, 21.8% elo% vs. random_no_suicide, avg. reward: -9.496, 2.406 sec/game, 10.0 min. total, 521.7 MB
annuity_bulge v5 300 games, 232579 moves, e=0.770, loss: 7.3, +, 24.3% elo% vs. random_no_suicide, avg. reward: -9.494, 2.406 sec/game, 10.0 min. total, 521.1 MB
annuity_bulge v6 301 games, 233448 moves, e=0.769, loss: 7.2, +, 52.3% elo% vs. random_no_suicide, avg. reward: -9.495, 2.382 sec/game, 10.1 min. total, 519.9 MB
annuity_bulge v6 302 games, 234457 moves, e=0.768, loss: 7.0, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.474, 2.406 sec/game, 10.1 min. total, 522.7 MB
annuity_bulge v6 303 games, 235200 moves, e=0.767, loss: 7.1, +, 52.2% elo% vs. random_no_suicide, avg. reward: -9.466, 2.399 sec/game, 10.1 min. total, 523.9 MB
annuity_bulge v6 304 games, 235889 moves, e=0.766, loss: 6.9, -, 49.8% elo% vs. random_no_suicide, avg. reward: -9.487, 2.378 sec/game, 10.2 min. total, 526.3 MB
annuity_bulge v6 305 games, 236705 moves, e=0.766, loss: 7.1, -, 47.5% elo% vs. random_no_suicide, avg. reward: -9.478, 2.361 sec/game, 10.2 min. total, 526.2 MB
annuity_bulge v6 306 games, 237503 moves, e=0.765, loss: 7.3, -, 45.3% elo% vs. random_no_suicide, avg. reward: -9.478, 2.345 sec/game, 10.3 min. total, 523.2 MB
annuity_bulge v6 307 games, 238360 moves, e=0.764, loss: 7.4, -, 43.3% elo% vs. random_no_suicide, avg. reward: -9.470, 2.358 sec/game, 10.3 min. total, 526.4 MB
annuity_bulge v6 308 games, 239245 moves, e=0.763, loss: 7.4, -, 41.3% elo% vs. random_no_suicide, avg. reward: -9.455, 2.377 sec/game, 10.3 min. total, 523.0 MB
annuity_bulge v6 309 games, 240028 moves, e=0.762, loss: 7.8, -, 39.5% elo% vs. random_no_suicide, avg. reward: -9.459, 2.368 sec/game, 10.4 min. total, 526.3 MB
annuity_bulge v6 310 games, 240919 moves, e=0.761, loss: 8.0, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.444, 2.384 sec/game, 10.4 min. total, 525.3 MB
annuity_bulge v6 311 games, 241688 moves, e=0.761, loss: 8.0, +, 40.5% elo% vs. random_no_suicide, avg. reward: -9.430, 2.383 sec/game, 10.5 min. total, 523.1 MB
annuity_bulge v6 312 games, 242452 moves, e=0.760, loss: 8.0, +, 43.2% elo% vs. random_no_suicide, avg. reward: -9.424, 2.369 sec/game, 10.5 min. total, 526.6 MB
annuity_bulge v6 313 games, 243298 moves, e=0.759, loss: 7.9, -, 41.2% elo% vs. random_no_suicide, avg. reward: -9.431, 2.371 sec/game, 10.5 min. total, 527.4 MB
annuity_bulge v6 314 games, 244150 moves, e=0.758, loss: 7.9, -, 39.4% elo% vs. random_no_suicide, avg. reward: -9.438, 2.385 sec/game, 10.6 min. total, 527.4 MB
annuity_bulge v6 315 games, 245045 moves, e=0.757, loss: 7.7, -, 37.7% elo% vs. random_no_suicide, avg. reward: -9.443, 2.381 sec/game, 10.6 min. total, 527.5 MB
annuity_bulge v6 316 games, 245953 moves, e=0.757, loss: 7.8, +, 40.4% elo% vs. random_no_suicide, avg. reward: -9.413, 2.380 sec/game, 10.7 min. total, 524.0 MB
annuity_bulge v6 317 games, 246751 moves, e=0.756, loss: 7.7, +, 43.1% elo% vs. random_no_suicide, avg. reward: -9.417, 2.367 sec/game, 10.7 min. total, 524.0 MB
annuity_bulge v6 318 games, 247607 moves, e=0.755, loss: 7.8, +, 45.7% elo% vs. random_no_suicide, avg. reward: -9.419, 2.369 sec/game, 10.7 min. total, 525.4 MB
annuity_bulge v6 319 games, 248406 moves, e=0.754, loss: 7.8, -, 43.6% elo% vs. random_no_suicide, avg. reward: -9.407, 2.338 sec/game, 10.8 min. total, 527.6 MB
annuity_bulge v6 320 games, 249213 moves, e=0.753, loss: 7.6, +, 46.2% elo% vs. random_no_suicide, avg. reward: -9.397, 2.344 sec/game, 10.8 min. total, 524.0 MB
annuity_bulge v6 321 games, 250090 moves, e=0.752, loss: 7.7, -, 44.1% elo% vs. random_no_suicide, avg. reward: -9.416, 2.352 sec/game, 10.8 min. total, 525.4 MB
annuity_bulge v6 322 games, 250992 moves, e=0.752, loss: 7.8, +, 46.6% elo% vs. random_no_suicide, avg. reward: -9.408, 2.327 sec/game, 10.9 min. total, 529.1 MB
annuity_bulge v6 323 games, 251907 moves, e=0.751, loss: 7.8, -, 44.5% elo% vs. random_no_suicide, avg. reward: -9.390, 2.357 sec/game, 10.9 min. total, 531.0 MB
annuity_bulge v6 324 games, 252789 moves, e=0.750, loss: 7.5, -, 42.5% elo% vs. random_no_suicide, avg. reward: -9.391, 2.372 sec/game, 11.0 min. total, 529.9 MB
annuity_bulge v6 325 games, 253708 moves, e=0.749, loss: 7.3, +, 45.1% elo% vs. random_no_suicide, avg. reward: -9.373, 2.388 sec/game, 11.0 min. total, 528.0 MB
annuity_bulge v6 326 games, 254580 moves, e=0.748, loss: 7.0, -, 43.0% elo% vs. random_no_suicide, avg. reward: -9.356, 2.389 sec/game, 11.1 min. total, 530.2 MB
annuity_bulge v6 327 games, 255473 moves, e=0.747, loss: 6.8, +, 45.6% elo% vs. random_no_suicide, avg. reward: -9.355, 2.393 sec/game, 11.1 min. total, 528.0 MB
annuity_bulge v6 328 games, 256292 moves, e=0.746, loss: 7.3, -, 43.5% elo% vs. random_no_suicide, avg. reward: -9.366, 2.400 sec/game, 11.1 min. total, 531.4 MB
annuity_bulge v6 329 games, 257188 moves, e=0.745, loss: 7.5, -, 41.6% elo% vs. random_no_suicide, avg. reward: -9.363, 2.417 sec/game, 11.2 min. total, 528.6 MB
annuity_bulge v6 330 games, 258049 moves, e=0.745, loss: 7.3, +, 44.2% elo% vs. random_no_suicide, avg. reward: -9.334, 2.421 sec/game, 11.2 min. total, 528.7 MB
annuity_bulge v6 331 games, 258870 moves, e=0.744, loss: 7.6, +, 46.8% elo% vs. random_no_suicide, avg. reward: -9.335, 2.425 sec/game, 11.3 min. total, 529.2 MB
annuity_bulge v6 332 games, 259653 moves, e=0.743, loss: 7.8, -, 44.6% elo% vs. random_no_suicide, avg. reward: -9.311, 2.429 sec/game, 11.3 min. total, 531.4 MB
annuity_bulge v6 333 games, 260670 moves, e=0.742, loss: 7.9, +, 47.2% elo% vs. random_no_suicide, avg. reward: -9.284, 2.461 sec/game, 11.3 min. total, 529.3 MB
annuity_bulge v6 334 games, 261524 moves, e=0.741, loss: 7.6, -, 45.0% elo% vs. random_no_suicide, avg. reward: -9.270, 2.454 sec/game, 11.4 min. total, 531.6 MB
annuity_bulge v6 335 games, 262405 moves, e=0.740, loss: 7.9, -, 43.0% elo% vs. random_no_suicide, avg. reward: -9.261, 2.454 sec/game, 11.4 min. total, 531.4 MB
annuity_bulge v6 336 games, 263244 moves, e=0.739, loss: 8.0, -, 41.0% elo% vs. random_no_suicide, avg. reward: -9.252, 2.444 sec/game, 11.5 min. total, 529.6 MB
annuity_bulge v6 337 games, 264125 moves, e=0.739, loss: 8.2, +, 43.7% elo% vs. random_no_suicide, avg. reward: -9.244, 2.459 sec/game, 11.5 min. total, 531.6 MB
annuity_bulge v6 338 games, 265088 moves, e=0.738, loss: 8.4, -, 41.7% elo% vs. random_no_suicide, avg. reward: -9.219, 2.476 sec/game, 11.6 min. total, 535.6 MB
annuity_bulge v6 339 games, 265923 moves, e=0.737, loss: 8.4, -, 39.9% elo% vs. random_no_suicide, avg. reward: -9.214, 2.482 sec/game, 11.6 min. total, 535.5 MB
annuity_bulge v6 340 games, 266758 moves, e=0.736, loss: 8.1, -, 38.1% elo% vs. random_no_suicide, avg. reward: -9.223, 2.492 sec/game, 11.6 min. total, 537.0 MB
annuity_bulge v6 341 games, 267597 moves, e=0.735, loss: 7.9, +, 40.8% elo% vs. random_no_suicide, avg. reward: -9.211, 2.479 sec/game, 11.7 min. total, 536.1 MB
annuity_bulge v6 342 games, 268517 moves, e=0.734, loss: 7.8, +, 43.5% elo% vs. random_no_suicide, avg. reward: -9.213, 2.493 sec/game, 11.7 min. total, 536.2 MB
annuity_bulge v6 343 games, 269452 moves, e=0.733, loss: 7.8, ., 43.8% elo% vs. random_no_suicide, avg. reward: -9.197, 2.496 sec/game, 11.8 min. total, 539.7 MB
annuity_bulge v6 344 games, 270263 moves, e=0.732, loss: 7.8, ., 44.1% elo% vs. random_no_suicide, avg. reward: -9.185, 2.496 sec/game, 11.8 min. total, 536.3 MB
annuity_bulge v6 345 games, 271151 moves, e=0.732, loss: 7.8, +, 46.6% elo% vs. random_no_suicide, avg. reward: -9.175, 2.483 sec/game, 11.8 min. total, 536.6 MB
annuity_bulge v6 346 games, 272103 moves, e=0.731, loss: 7.9, +, 49.1% elo% vs. random_no_suicide, avg. reward: -9.156, 2.497 sec/game, 11.9 min. total, 539.1 MB
annuity_bulge v6 347 games, 272970 moves, e=0.730, loss: 7.8, -, 46.8% elo% vs. random_no_suicide, avg. reward: -9.148, 2.497 sec/game, 11.9 min. total, 540.6 MB
annuity_bulge v6 348 games, 273808 moves, e=0.729, loss: 7.6, ., 47.0% elo% vs. random_no_suicide, avg. reward: -9.142, 2.490 sec/game, 12.0 min. total, 540.1 MB
annuity_bulge v6 349 games, 274654 moves, e=0.728, loss: 7.7, -, 44.8% elo% vs. random_no_suicide, avg. reward: -9.136, 2.476 sec/game, 12.0 min. total, 537.1 MB
annuity_bulge v6 350 games, 275506 moves, e=0.727, loss: 7.6, +, 47.3% elo% vs. random_no_suicide, avg. reward: -9.128, 2.470 sec/game, 12.0 min. total, 538.6 MB
annuity_bulge v6 351 games, 276277 moves, e=0.726, loss: 7.5, +, 49.8% elo% vs. random_no_suicide, avg. reward: -9.127, 2.469 sec/game, 12.1 min. total, 538.4 MB
annuity_bulge v6 352 games, 277248 moves, e=0.726, loss: 7.5, -, 47.5% elo% vs. random_no_suicide, avg. reward: -9.103, 2.499 sec/game, 12.1 min. total, 541.5 MB
annuity_bulge v6 353 games, 278205 moves, e=0.725, loss: 7.4, -, 45.3% elo% vs. random_no_suicide, avg. reward: -9.094, 2.484 sec/game, 12.2 min. total, 538.5 MB
annuity_bulge v6 354 games, 279174 moves, e=0.724, loss: 7.3, +, 47.8% elo% vs. random_no_suicide, avg. reward: -9.093, 2.497 sec/game, 12.2 min. total, 538.7 MB
annuity_bulge v6 355 games, 280241 moves, e=0.723, loss: 7.0, +, 50.2% elo% vs. random_no_suicide, avg. reward: -9.065, 2.517 sec/game, 12.3 min. total, 538.7 MB
annuity_bulge v6 356 games, 281172 moves, e=0.722, loss: 7.1, -, 47.9% elo% vs. random_no_suicide, avg. reward: -9.027, 2.530 sec/game, 12.3 min. total, 540.8 MB
annuity_bulge v6 357 games, 282089 moves, e=0.721, loss: 6.9, +, 50.3% elo% vs. random_no_suicide, avg. reward: -9.005, 2.533 sec/game, 12.4 min. total, 539.0 MB
annuity_bulge v6 358 games, 283099 moves, e=0.720, loss: 6.6, -, 48.0% elo% vs. random_no_suicide, avg. reward: -8.994, 2.537 sec/game, 12.4 min. total, 542.8 MB
annuity_bulge v6 359 games, 283868 moves, e=0.719, loss: 6.7, -, 45.8% elo% vs. random_no_suicide, avg. reward: -9.001, 2.529 sec/game, 12.4 min. total, 540.0 MB
annuity_bulge v6 360 games, 284751 moves, e=0.718, loss: 6.7, -, 43.7% elo% vs. random_no_suicide, avg. reward: -8.996, 2.530 sec/game, 12.5 min. total, 543.2 MB
annuity_bulge v6 361 games, 285745 moves, e=0.717, loss: 7.0, -, 41.7% elo% vs. random_no_suicide, avg. reward: -8.994, 2.574 sec/game, 12.5 min. total, 540.2 MB
annuity_bulge v6 362 games, 286574 moves, e=0.716, loss: 7.2, +, 44.4% elo% vs. random_no_suicide, avg. reward: -8.994, 2.550 sec/game, 12.6 min. total, 539.9 MB
annuity_bulge v6 363 games, 287462 moves, e=0.715, loss: 7.1, -, 42.4% elo% vs. random_no_suicide, avg. reward: -8.976, 2.539 sec/game, 12.6 min. total, 542.3 MB
annuity_bulge v6 364 games, 288399 moves, e=0.714, loss: 7.4, -, 40.5% elo% vs. random_no_suicide, avg. reward: -8.968, 2.565 sec/game, 12.7 min. total, 543.5 MB
annuity_bulge v6 365 games, 289244 moves, e=0.714, loss: 7.4, +, 43.1% elo% vs. random_no_suicide, avg. reward: -8.972, 2.557 sec/game, 12.7 min. total, 542.4 MB
annuity_bulge v6 366 games, 290094 moves, e=0.713, loss: 7.9, +, 45.7% elo% vs. random_no_suicide, avg. reward: -8.965, 2.552 sec/game, 12.7 min. total, 540.8 MB
annuity_bulge v6 367 games, 290902 moves, e=0.712, loss: 7.9, +, 48.2% elo% vs. random_no_suicide, avg. reward: -8.963, 2.542 sec/game, 12.8 min. total, 542.5 MB
annuity_bulge v6 368 games, 291800 moves, e=0.711, loss: 7.9, +, 50.6% elo% vs. random_no_suicide, avg. reward: -8.952, 2.549 sec/game, 12.8 min. total, 543.7 MB
annuity_bulge v6 369 games, 292656 moves, e=0.710, loss: 8.0, +, 52.9% elo% vs. random_no_suicide, avg. reward: -8.941, 2.562 sec/game, 12.9 min. total, 542.4 MB
annuity_bulge v6 370 games, 293590 moves, e=0.709, loss: 7.8, +, 55.0% elo% vs. random_no_suicide, avg. reward: -8.912, 2.567 sec/game, 12.9 min. total, 542.6 MB
annuity_bulge v6 371 games, 294450 moves, e=0.708, loss: 7.7, +, 57.1% elo% vs. random_no_suicide, avg. reward: -8.932, 2.580 sec/game, 12.9 min. total, 544.7 MB
annuity_bulge v6 372 games, 295247 moves, e=0.708, loss: 7.3, +, 59.0% elo% vs. random_no_suicide, avg. reward: -8.928, 2.551 sec/game, 13.0 min. total, 543.1 MB
annuity_bulge v6 373 games, 296145 moves, e=0.707, loss: 7.4, ., 58.6% elo% vs. random_no_suicide, avg. reward: -8.907, 2.556 sec/game, 13.0 min. total, 546.3 MB
annuity_bulge v6 374 games, 297105 moves, e=0.706, loss: 7.7, +, 60.4% elo% vs. random_no_suicide, avg. reward: -8.898, 2.557 sec/game, 13.1 min. total, 543.1 MB
annuity_bulge v6 375 games, 298042 moves, e=0.705, loss: 8.0, +, 62.2% elo% vs. random_no_suicide, avg. reward: -8.870, 2.543 sec/game, 13.1 min. total, 544.0 MB
annuity_bulge v6 376 games, 298896 moves, e=0.704, loss: 8.0, +, 63.8% elo% vs. random_no_suicide, avg. reward: -8.866, 2.540 sec/game, 13.2 min. total, 544.4 MB
annuity_bulge v6 377 games, 299795 moves, e=0.703, loss: 7.9, +, 65.3% elo% vs. random_no_suicide, avg. reward: -8.863, 2.537 sec/game, 13.2 min. total, 544.6 MB
annuity_bulge v6 378 games, 300609 moves, e=0.702, loss: 8.0, -, 62.5% elo% vs. random_no_suicide, avg. reward: -8.852, 2.507 sec/game, 13.2 min. total, 548.0 MB
annuity_bulge v6 379 games, 301594 moves, e=0.701, loss: 8.2, +, 64.1% elo% vs. random_no_suicide, avg. reward: -8.840, 2.541 sec/game, 13.3 min. total, 544.7 MB
annuity_bulge v6 380 games, 302652 moves, e=0.700, loss: 8.0, -, 61.4% elo% vs. random_no_suicide, avg. reward: -8.809, 2.559 sec/game, 13.3 min. total, 547.3 MB
annuity_bulge v6 381 games, 303694 moves, e=0.699, loss: 8.0, +, 63.0% elo% vs. random_no_suicide, avg. reward: -8.795, 2.550 sec/game, 13.4 min. total, 545.2 MB
annuity_bulge v6 382 games, 304608 moves, e=0.698, loss: 7.5, -, 60.3% elo% vs. random_no_suicide, avg. reward: -8.790, 2.563 sec/game, 13.4 min. total, 549.4 MB
annuity_bulge v6 383 games, 305637 moves, e=0.697, loss: 7.6, +, 62.0% elo% vs. random_no_suicide, avg. reward: -8.770, 2.576 sec/game, 13.5 min. total, 548.3 MB
annuity_bulge v6 384 games, 306543 moves, e=0.697, loss: 7.2, +, 63.7% elo% vs. random_no_suicide, avg. reward: -8.745, 2.571 sec/game, 13.5 min. total, 547.0 MB
annuity_bulge v6 385 games, 307368 moves, e=0.696, loss: 7.1, +, 65.2% elo% vs. random_no_suicide, avg. reward: -8.753, 2.578 sec/game, 13.6 min. total, 547.0 MB
annuity_bulge v6 386 games, 308320 moves, e=0.695, loss: 7.0, +, 66.6% elo% vs. random_no_suicide, avg. reward: -8.737, 2.584 sec/game, 13.6 min. total, 547.3 MB
annuity_bulge v6 387 games, 309270 moves, e=0.694, loss: 7.1, +, 68.0% elo% vs. random_no_suicide, avg. reward: -8.721, 2.609 sec/game, 13.6 min. total, 547.1 MB
annuity_bulge v6 388 games, 310214 moves, e=0.693, loss: 7.2, +, 69.3% elo% vs. random_no_suicide, avg. reward: -8.699, 2.606 sec/game, 13.7 min. total, 547.4 MB
annuity_bulge v6 389 games, 311267 moves, e=0.692, loss: 7.0, +, 70.5% elo% vs. random_no_suicide, avg. reward: -8.676, 2.628 sec/game, 13.7 min. total, 547.7 MB
annuity_bulge v6 390 games, 312150 moves, e=0.691, loss: 7.2, +, 71.6% elo% vs. random_no_suicide, avg. reward: -8.665, 2.627 sec/game, 13.8 min. total, 549.7 MB
annuity_bulge v6 391 games, 313055 moves, e=0.690, loss: 7.2, +, 72.6% elo% vs. random_no_suicide, avg. reward: -8.645, 2.630 sec/game, 13.8 min. total, 549.1 MB
annuity_bulge v6 392 games, 314202 moves, e=0.689, loss: 7.3, +, 73.6% elo% vs. random_no_suicide, avg. reward: -8.617, 2.680 sec/game, 13.9 min. total, 549.8 MB
annuity_bulge v6 393 games, 315212 moves, e=0.688, loss: 7.4, +, 74.6% elo% vs. random_no_suicide, avg. reward: -8.581, 2.689 sec/game, 13.9 min. total, 551.2 MB
annuity_bulge v6 394 games, 316157 moves, e=0.687, loss: 7.8, +, 75.4% elo% vs. random_no_suicide, avg. reward: -8.575, 2.679 sec/game, 14.0 min. total, 551.3 MB
annuity_bulge v6 395 games, 317105 moves, e=0.686, loss: 7.6, -, 72.8% elo% vs. random_no_suicide, avg. reward: -8.570, 2.697 sec/game, 14.0 min. total, 553.2 MB
annuity_bulge v6 396 games, 318007 moves, e=0.685, loss: 8.2, +, 73.7% elo% vs. random_no_suicide, avg. reward: -8.565, 2.701 sec/game, 14.1 min. total, 550.4 MB
annuity_bulge v6 397 games, 318930 moves, e=0.684, loss: 8.3, +, 74.7% elo% vs. random_no_suicide, avg. reward: -8.555, 2.710 sec/game, 14.1 min. total, 550.6 MB
annuity_bulge v6 398 games, 319860 moves, e=0.683, loss: 8.4, +, 75.5% elo% vs. random_no_suicide, avg. reward: -8.546, 2.721 sec/game, 14.1 min. total, 552.8 MB
annuity_bulge v6 399 games, 320910 moves, e=0.682, loss: 8.5, +, 76.4% elo% vs. random_no_suicide, avg. reward: -8.545, 2.739 sec/game, 14.2 min. total, 551.9 MB
annuity_bulge v6 400 games, 321934 moves, e=0.681, loss: 8.6, ., 75.5% elo% vs. random_no_suicide, avg. reward: -8.505, 2.738 sec/game, 14.2 min. total, 552.6 MB
annuity_bulge v7 401 games, 322878 moves, e=0.680, loss: 8.4, +, 52.3% elo% vs. random_no_suicide, avg. reward: -8.489, 2.726 sec/game, 14.3 min. total, 552.9 MB
annuity_bulge v7 402 games, 323605 moves, e=0.680, loss: 8.2, +, 54.5% elo% vs. random_no_suicide, avg. reward: -8.502, 2.709 sec/game, 14.3 min. total, 553.1 MB
annuity_bulge v7 403 games, 324676 moves, e=0.679, loss: 8.5, +, 56.6% elo% vs. random_no_suicide, avg. reward: -8.472, 2.712 sec/game, 14.4 min. total, 554.3 MB
annuity_bulge v7 404 games, 325595 moves, e=0.678, loss: 8.4, +, 58.5% elo% vs. random_no_suicide, avg. reward: -8.439, 2.707 sec/game, 14.4 min. total, 557.0 MB
annuity_bulge v7 405 games, 326601 moves, e=0.677, loss: 8.4, -, 55.9% elo% vs. random_no_suicide, avg. reward: -8.430, 2.724 sec/game, 14.5 min. total, 557.2 MB
annuity_bulge v7 406 games, 327523 moves, e=0.676, loss: 8.3, +, 57.9% elo% vs. random_no_suicide, avg. reward: -8.411, 2.730 sec/game, 14.5 min. total, 553.7 MB
annuity_bulge v7 407 games, 328544 moves, e=0.675, loss: 8.6, +, 59.7% elo% vs. random_no_suicide, avg. reward: -8.384, 2.735 sec/game, 14.6 min. total, 554.6 MB
annuity_bulge v7 408 games, 329366 moves, e=0.674, loss: 8.6, +, 61.5% elo% vs. random_no_suicide, avg. reward: -8.384, 2.734 sec/game, 14.6 min. total, 556.9 MB
annuity_bulge v7 409 games, 330378 moves, e=0.673, loss: 9.0, +, 63.2% elo% vs. random_no_suicide, avg. reward: -8.355, 2.736 sec/game, 14.6 min. total, 555.4 MB
annuity_bulge v7 410 games, 331360 moves, e=0.672, loss: 9.0, -, 60.4% elo% vs. random_no_suicide, avg. reward: -8.342, 2.740 sec/game, 14.7 min. total, 559.2 MB
annuity_bulge v7 411 games, 332467 moves, e=0.671, loss: 9.2, +, 62.2% elo% vs. random_no_suicide, avg. reward: -8.314, 2.770 sec/game, 14.7 min. total, 555.8 MB
annuity_bulge v7 412 games, 333462 moves, e=0.670, loss: 9.3, -, 59.4% elo% vs. random_no_suicide, avg. reward: -8.287, 2.753 sec/game, 14.8 min. total, 559.0 MB
annuity_bulge v7 413 games, 334391 moves, e=0.669, loss: 9.0, -, 56.8% elo% vs. random_no_suicide, avg. reward: -8.273, 2.738 sec/game, 14.8 min. total, 558.9 MB
annuity_bulge v7 414 games, 335329 moves, e=0.668, loss: 9.2, -, 54.2% elo% vs. random_no_suicide, avg. reward: -8.265, 2.738 sec/game, 14.9 min. total, 559.3 MB
annuity_bulge v7 415 games, 336489 moves, e=0.667, loss: 9.3, +, 56.3% elo% vs. random_no_suicide, avg. reward: -8.237, 2.752 sec/game, 14.9 min. total, 556.9 MB
annuity_bulge v7 416 games, 337495 moves, e=0.666, loss: 9.2, +, 58.2% elo% vs. random_no_suicide, avg. reward: -8.222, 2.768 sec/game, 15.0 min. total, 558.2 MB
annuity_bulge v7 417 games, 338516 moves, e=0.665, loss: 8.8, +, 60.1% elo% vs. random_no_suicide, avg. reward: -8.197, 2.778 sec/game, 15.0 min. total, 558.9 MB
annuity_bulge v7 418 games, 339600 moves, e=0.664, loss: 8.8, +, 61.9% elo% vs. random_no_suicide, avg. reward: -8.174, 2.809 sec/game, 15.1 min. total, 558.8 MB
annuity_bulge v7 419 games, 340517 moves, e=0.663, loss: 8.3, +, 63.5% elo% vs. random_no_suicide, avg. reward: -8.164, 2.777 sec/game, 15.1 min. total, 559.0 MB
annuity_bulge v7 420 games, 341592 moves, e=0.662, loss: 8.2, +, 65.0% elo% vs. random_no_suicide, avg. reward: -8.127, 2.780 sec/game, 15.2 min. total, 560.2 MB
annuity_bulge v7 421 games, 342361 moves, e=0.661, loss: 8.2, +, 66.5% elo% vs. random_no_suicide, avg. reward: -8.131, 2.765 sec/game, 15.2 min. total, 559.0 MB
annuity_bulge v7 422 games, 343304 moves, e=0.660, loss: 8.4, +, 67.9% elo% vs. random_no_suicide, avg. reward: -8.120, 2.795 sec/game, 15.3 min. total, 559.7 MB
annuity_bulge v7 423 games, 344041 moves, e=0.659, loss: 8.4, +, 69.1% elo% vs. random_no_suicide, avg. reward: -8.142, 2.749 sec/game, 15.3 min. total, 559.9 MB
annuity_bulge v7 424 games, 345186 moves, e=0.658, loss: 8.5, +, 70.3% elo% vs. random_no_suicide, avg. reward: -8.118, 2.779 sec/game, 15.3 min. total, 561.2 MB
annuity_bulge v7 425 games, 346236 moves, e=0.657, loss: 9.0, +, 71.5% elo% vs. random_no_suicide, avg. reward: -8.107, 2.795 sec/game, 15.4 min. total, 561.2 MB
annuity_bulge v7 426 games, 347142 moves, e=0.656, loss: 8.9, +, 72.5% elo% vs. random_no_suicide, avg. reward: -8.101, 2.805 sec/game, 15.4 min. total, 561.4 MB
annuity_bulge v7 427 games, 348196 moves, e=0.655, loss: 9.0, +, 73.5% elo% vs. random_no_suicide, avg. reward: -8.082, 2.804 sec/game, 15.5 min. total, 561.4 MB
annuity_bulge v7 428 games, 349280 moves, e=0.654, loss: 8.9, +, 74.5% elo% vs. random_no_suicide, avg. reward: -8.058, 2.829 sec/game, 15.5 min. total, 561.5 MB
annuity_bulge v7 429 games, 350314 moves, e=0.653, loss: 8.9, ., 73.6% elo% vs. random_no_suicide, avg. reward: -8.037, 2.825 sec/game, 15.6 min. total, 561.6 MB
annuity_bulge v7 430 games, 351244 moves, e=0.652, loss: 8.9, +, 74.5% elo% vs. random_no_suicide, avg. reward: -8.024, 2.842 sec/game, 15.6 min. total, 563.2 MB
annuity_bulge v7 431 games, 352161 moves, e=0.651, loss: 9.0, +, 75.4% elo% vs. random_no_suicide, avg. reward: -7.998, 2.811 sec/game, 15.7 min. total, 561.8 MB
annuity_bulge v7 432 games, 353007 moves, e=0.651, loss: 9.0, +, 76.2% elo% vs. random_no_suicide, avg. reward: -7.993, 2.786 sec/game, 15.7 min. total, 561.7 MB
annuity_bulge v7 433 games, 353989 moves, e=0.650, loss: 8.4, +, 77.0% elo% vs. random_no_suicide, avg. reward: -7.998, 2.805 sec/game, 15.8 min. total, 563.2 MB
annuity_bulge v7 434 games, 355155 moves, e=0.648, loss: 8.8, +, 77.8% elo% vs. random_no_suicide, avg. reward: -7.965, 2.842 sec/game, 15.8 min. total, 564.5 MB
annuity_bulge v7 435 games, 356104 moves, e=0.647, loss: 9.0, +, 78.5% elo% vs. random_no_suicide, avg. reward: -7.954, 2.828 sec/game, 15.9 min. total, 563.2 MB
annuity_bulge v7 436 games, 357184 moves, e=0.646, loss: 9.1, +, 79.1% elo% vs. random_no_suicide, avg. reward: -7.929, 2.830 sec/game, 15.9 min. total, 563.4 MB
annuity_bulge v7 437 games, 358405 moves, e=0.645, loss: 8.9, +, 79.7% elo% vs. random_no_suicide, avg. reward: -7.894, 2.861 sec/game, 16.0 min. total, 563.5 MB
annuity_bulge v7 438 games, 359561 moves, e=0.644, loss: 9.4, +, 80.3% elo% vs. random_no_suicide, avg. reward: -7.875, 2.865 sec/game, 16.0 min. total, 563.8 MB
annuity_bulge v8 439 games, 360649 moves, e=0.643, loss: 9.4, -, 49.9% elo% vs. simple_bot, avg. reward: -7.861, 2.880 sec/game, 16.1 min. total, 580.0 MB
annuity_bulge v8 440 games, 361589 moves, e=0.642, loss: 9.3, -, 47.6% elo% vs. simple_bot, avg. reward: -7.850, 2.862 sec/game, 16.1 min. total, 578.6 MB
annuity_bulge v8 441 games, 362597 moves, e=0.641, loss: 9.3, -, 45.4% elo% vs. simple_bot, avg. reward: -7.830, 2.891 sec/game, 16.2 min. total, 581.8 MB
annuity_bulge v8 442 games, 363554 moves, e=0.640, loss: 9.5, -, 43.4% elo% vs. simple_bot, avg. reward: -7.824, 2.891 sec/game, 16.2 min. total, 581.9 MB
