annuity_bulge v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.7 MB
annuity_bulge v3 69 games, 49019 moves, e=0.951, loss: 5.3, -, 36.5% elo% vs. random_no_suicide, avg. reward: -10.954, 1.781 sec/game, 1.7 min. total, 478.2 MB
annuity_bulge v3 70 games, 49712 moves, e=0.951, loss: 5.5, +, 39.2% elo% vs. random_no_suicide, avg. reward: -10.963, 1.795 sec/game, 1.8 min. total, 475.4 MB
annuity_bulge v3 71 games, 50432 moves, e=0.950, loss: 5.5, -, 37.5% elo% vs. random_no_suicide, avg. reward: -10.959, 1.821 sec/game, 1.8 min. total, 479.1 MB
annuity_bulge v3 72 games, 51013 moves, e=0.949, loss: 5.4, -, 35.9% elo% vs. random_no_suicide, avg. reward: -10.985, 1.795 sec/game, 1.8 min. total, 477.5 MB
annuity_bulge v3 73 games, 51745 moves, e=0.949, loss: 5.4, -, 34.4% elo% vs. random_no_suicide, avg. reward: -10.976, 1.794 sec/game, 1.9 min. total, 478.7 MB
annuity_bulge v3 74 games, 52597 moves, e=0.948, loss: 5.2, -, 33.0% elo% vs. random_no_suicide, avg. reward: -10.945, 1.811 sec/game, 1.9 min. total, 478.7 MB
annuity_bulge v3 75 games, 53272 moves, e=0.947, loss: 5.0, -, 31.7% elo% vs. random_no_suicide, avg. reward: -10.950, 1.811 sec/game, 1.9 min. total, 479.2 MB
annuity_bulge v3 76 games, 54003 moves, e=0.947, loss: 5.2, ., 32.4% elo% vs. random_no_suicide, avg. reward: -10.946, 1.811 sec/game, 1.9 min. total, 477.7 MB
annuity_bulge v3 77 games, 54770 moves, e=0.946, loss: 5.0, -, 31.1% elo% vs. random_no_suicide, avg. reward: -10.936, 1.828 sec/game, 2.0 min. total, 479.0 MB
annuity_bulge v3 78 games, 55422 moves, e=0.945, loss: 5.0, -, 29.9% elo% vs. random_no_suicide, avg. reward: -10.946, 1.828 sec/game, 2.0 min. total, 477.8 MB
annuity_bulge v3 79 games, 56157 moves, e=0.944, loss: 5.3, -, 28.7% elo% vs. random_no_suicide, avg. reward: -10.930, 1.831 sec/game, 2.0 min. total, 476.0 MB
annuity_bulge v3 80 games, 56890 moves, e=0.944, loss: 5.5, +, 31.5% elo% vs. random_no_suicide, avg. reward: -10.925, 1.833 sec/game, 2.1 min. total, 475.8 MB
annuity_bulge v3 81 games, 57601 moves, e=0.943, loss: 5.6, -, 30.3% elo% vs. random_no_suicide, avg. reward: -10.923, 1.829 sec/game, 2.1 min. total, 479.1 MB
annuity_bulge v3 82 games, 58171 moves, e=0.942, loss: 5.8, -, 29.1% elo% vs. random_no_suicide, avg. reward: -10.957, 1.814 sec/game, 2.1 min. total, 479.2 MB
annuity_bulge v3 83 games, 58979 moves, e=0.942, loss: 5.9, -, 28.0% elo% vs. random_no_suicide, avg. reward: -10.946, 1.798 sec/game, 2.2 min. total, 478.0 MB
annuity_bulge v3 84 games, 59670 moves, e=0.941, loss: 5.8, -, 27.0% elo% vs. random_no_suicide, avg. reward: -10.945, 1.794 sec/game, 2.2 min. total, 479.4 MB
annuity_bulge v3 85 games, 60447 moves, e=0.940, loss: 5.9, -, 26.0% elo% vs. random_no_suicide, avg. reward: -10.931, 1.811 sec/game, 2.2 min. total, 479.4 MB
annuity_bulge v3 86 games, 61138 moves, e=0.939, loss: 5.8, +, 28.7% elo% vs. random_no_suicide, avg. reward: -10.931, 1.813 sec/game, 2.2 min. total, 476.2 MB
annuity_bulge v3 87 games, 61882 moves, e=0.939, loss: 5.8, -, 27.7% elo% vs. random_no_suicide, avg. reward: -10.914, 1.805 sec/game, 2.3 min. total, 480.9 MB
annuity_bulge v3 88 games, 62661 moves, e=0.938, loss: 5.7, -, 26.6% elo% vs. random_no_suicide, avg. reward: -10.911, 1.812 sec/game, 2.3 min. total, 478.2 MB
annuity_bulge v3 89 games, 63407 moves, e=0.937, loss: 5.9, -, 25.7% elo% vs. random_no_suicide, avg. reward: -10.909, 1.827 sec/game, 2.3 min. total, 481.2 MB
annuity_bulge v3 90 games, 64237 moves, e=0.936, loss: 5.9, -, 24.8% elo% vs. random_no_suicide, avg. reward: -10.900, 1.831 sec/game, 2.4 min. total, 478.3 MB
annuity_bulge v3 91 games, 64866 moves, e=0.936, loss: 5.9, -, 24.0% elo% vs. random_no_suicide, avg. reward: -10.914, 1.830 sec/game, 2.4 min. total, 480.4 MB
annuity_bulge v3 92 games, 65739 moves, e=0.935, loss: 5.7, -, 23.2% elo% vs. random_no_suicide, avg. reward: -10.897, 1.903 sec/game, 2.5 min. total, 481.0 MB
annuity_bulge v3 93 games, 66457 moves, e=0.934, loss: 5.5, +, 25.8% elo% vs. random_no_suicide, avg. reward: -10.890, 1.919 sec/game, 2.5 min. total, 478.9 MB
