stegosaur_undermine v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.1 MB
stegosaur_undermine v3 84 games, 61492 moves, e=0.939, loss: 6.7, -, 14.4% elo% vs. random_no_suicide, avg. reward: -9.686, 1.406 sec/game, 1.6 min. total, 488.3 MB
stegosaur_undermine v3 85 games, 62271 moves, e=0.938, loss: 7.0, ., 15.2% elo% vs. random_no_suicide, avg. reward: -9.672, 1.417 sec/game, 1.6 min. total, 489.5 MB
stegosaur_undermine v3 86 games, 63144 moves, e=0.937, loss: 7.1, -, 14.9% elo% vs. random_no_suicide, avg. reward: -9.656, 1.429 sec/game, 1.7 min. total, 488.3 MB
stegosaur_undermine v3 87 games, 63860 moves, e=0.937, loss: 6.9, -, 14.5% elo% vs. random_no_suicide, avg. reward: -9.662, 1.412 sec/game, 1.7 min. total, 489.3 MB
stegosaur_undermine v3 88 games, 64655 moves, e=0.936, loss: 6.8, -, 14.2% elo% vs. random_no_suicide, avg. reward: -9.649, 1.433 sec/game, 1.7 min. total, 488.8 MB
stegosaur_undermine v3 89 games, 65362 moves, e=0.935, loss: 6.6, -, 13.9% elo% vs. random_no_suicide, avg. reward: -9.652, 1.422 sec/game, 1.7 min. total, 488.8 MB
stegosaur_undermine v3 90 games, 66128 moves, e=0.935, loss: 6.0, -, 13.6% elo% vs. random_no_suicide, avg. reward: -9.645, 1.429 sec/game, 1.8 min. total, 490.8 MB
stegosaur_undermine v3 91 games, 66813 moves, e=0.934, loss: 6.5, -, 13.3% elo% vs. random_no_suicide, avg. reward: -9.652, 1.420 sec/game, 1.8 min. total, 489.8 MB
stegosaur_undermine v3 92 games, 67499 moves, e=0.933, loss: 6.2, +, 15.2% elo% vs. random_no_suicide, avg. reward: -9.658, 1.408 sec/game, 1.8 min. total, 490.0 MB
stegosaur_undermine v3 93 games, 68268 moves, e=0.932, loss: 6.6, -, 14.9% elo% vs. random_no_suicide, avg. reward: -9.649, 1.403 sec/game, 1.8 min. total, 489.8 MB
stegosaur_undermine v3 94 games, 69031 moves, e=0.932, loss: 6.5, -, 14.5% elo% vs. random_no_suicide, avg. reward: -9.639, 1.401 sec/game, 1.8 min. total, 491.2 MB
stegosaur_undermine v3 95 games, 69693 moves, e=0.931, loss: 6.6, -, 14.2% elo% vs. random_no_suicide, avg. reward: -9.648, 1.406 sec/game, 1.9 min. total, 491.2 MB
stegosaur_undermine v3 96 games, 70593 moves, e=0.930, loss: 6.1, +, 16.2% elo% vs. random_no_suicide, avg. reward: -9.628, 1.417 sec/game, 1.9 min. total, 490.1 MB
stegosaur_undermine v3 97 games, 71348 moves, e=0.929, loss: 6.2, +, 18.5% elo% vs. random_no_suicide, avg. reward: -9.623, 1.418 sec/game, 1.9 min. total, 490.2 MB
stegosaur_undermine v3 98 games, 72057 moves, e=0.929, loss: 5.4, +, 20.8% elo% vs. random_no_suicide, avg. reward: -9.625, 1.417 sec/game, 1.9 min. total, 490.4 MB
stegosaur_undermine v3 99 games, 72743 moves, e=0.928, loss: 5.4, -, 20.2% elo% vs. random_no_suicide, avg. reward: -9.635, 1.417 sec/game, 2.0 min. total, 491.2 MB
stegosaur_undermine v3 100 games, 73424 moves, e=0.927, loss: 5.0, -, 19.6% elo% vs. random_no_suicide, avg. reward: -9.641, 1.414 sec/game, 2.0 min. total, 492.2 MB
stegosaur_undermine v4 101 games, 74163 moves, e=0.927, loss: 5.4, +, 52.3% elo% vs. random_no_suicide, avg. reward: -9.634, 1.417 sec/game, 2.0 min. total, 491.5 MB
stegosaur_undermine v4 102 games, 74925 moves, e=0.926, loss: 6.2, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.608, 1.419 sec/game, 2.0 min. total, 491.2 MB
stegosaur_undermine v4 103 games, 75662 moves, e=0.925, loss: 5.9, -, 47.6% elo% vs. random_no_suicide, avg. reward: -9.608, 1.409 sec/game, 2.1 min. total, 491.2 MB
stegosaur_undermine v4 104 games, 76477 moves, e=0.924, loss: 5.9, -, 45.4% elo% vs. random_no_suicide, avg. reward: -9.594, 1.411 sec/game, 2.1 min. total, 491.1 MB
