goofball_resource v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
goofball_resource v3 51 games, 36545 moves, e=0.964, loss: 0.6, -, 18.0% elo% vs. random_no_suicide, avg. reward: 0.413, 1.291 sec/game, 0.9 min. total, 437.0 MB
goofball_resource v3 52 games, 37331 moves, e=0.963, loss: 0.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: 0.412, 1.293 sec/game, 0.9 min. total, 437.1 MB
goofball_resource v3 53 games, 38012 moves, e=0.962, loss: 0.6, -, 17.0% elo% vs. random_no_suicide, avg. reward: 0.411, 1.296 sec/game, 0.9 min. total, 437.4 MB
goofball_resource v3 54 games, 38761 moves, e=0.962, loss: 0.6, -, 16.6% elo% vs. random_no_suicide, avg. reward: 0.412, 1.317 sec/game, 0.9 min. total, 437.3 MB
goofball_resource v3 55 games, 39457 moves, e=0.961, loss: 0.6, -, 16.2% elo% vs. random_no_suicide, avg. reward: 0.408, 1.315 sec/game, 0.9 min. total, 437.7 MB
goofball_resource v3 56 games, 40157 moves, e=0.960, loss: 0.6, -, 15.8% elo% vs. random_no_suicide, avg. reward: 0.405, 1.310 sec/game, 1.0 min. total, 438.3 MB
goofball_resource v3 57 games, 40905 moves, e=0.960, loss: 0.6, -, 15.4% elo% vs. random_no_suicide, avg. reward: 0.409, 1.315 sec/game, 1.0 min. total, 438.4 MB
goofball_resource v3 58 games, 41576 moves, e=0.959, loss: 0.6, -, 15.0% elo% vs. random_no_suicide, avg. reward: 0.412, 1.311 sec/game, 1.0 min. total, 439.8 MB
goofball_resource v3 59 games, 42400 moves, e=0.958, loss: 0.6, -, 14.7% elo% vs. random_no_suicide, avg. reward: 0.415, 1.343 sec/game, 1.0 min. total, 439.6 MB
goofball_resource v3 60 games, 43039 moves, e=0.957, loss: 0.6, -, 14.3% elo% vs. random_no_suicide, avg. reward: 0.417, 1.333 sec/game, 1.1 min. total, 439.1 MB
goofball_resource v3 61 games, 43780 moves, e=0.957, loss: 0.6, -, 14.0% elo% vs. random_no_suicide, avg. reward: 0.420, 1.344 sec/game, 1.1 min. total, 439.6 MB
goofball_resource v3 62 games, 44484 moves, e=0.956, loss: 0.6, -, 13.7% elo% vs. random_no_suicide, avg. reward: 0.419, 1.337 sec/game, 1.1 min. total, 439.6 MB
goofball_resource v3 63 games, 45212 moves, e=0.955, loss: 0.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: 0.416, 1.334 sec/game, 1.1 min. total, 439.1 MB
goofball_resource v3 64 games, 45998 moves, e=0.954, loss: 0.7, -, 13.1% elo% vs. random_no_suicide, avg. reward: 0.414, 1.327 sec/game, 1.1 min. total, 439.9 MB
goofball_resource v3 65 games, 46707 moves, e=0.954, loss: 0.7, -, 12.9% elo% vs. random_no_suicide, avg. reward: 0.411, 1.331 sec/game, 1.2 min. total, 439.8 MB
goofball_resource v3 66 games, 47545 moves, e=0.953, loss: 0.7, -, 12.6% elo% vs. random_no_suicide, avg. reward: 0.408, 1.359 sec/game, 1.2 min. total, 440.1 MB
goofball_resource v3 67 games, 48272 moves, e=0.952, loss: 0.7, -, 12.3% elo% vs. random_no_suicide, avg. reward: 0.404, 1.349 sec/game, 1.2 min. total, 440.5 MB
goofball_resource v3 68 games, 49031 moves, e=0.951, loss: 0.7, -, 12.1% elo% vs. random_no_suicide, avg. reward: 0.402, 1.351 sec/game, 1.2 min. total, 440.4 MB
goofball_resource v3 69 games, 49761 moves, e=0.951, loss: 0.8, -, 11.9% elo% vs. random_no_suicide, avg. reward: 0.403, 1.344 sec/game, 1.3 min. total, 440.3 MB
goofball_resource v3 70 games, 50449 moves, e=0.950, loss: 0.8, -, 11.6% elo% vs. random_no_suicide, avg. reward: 0.406, 1.354 sec/game, 1.3 min. total, 441.0 MB
goofball_resource v3 71 games, 51247 moves, e=0.949, loss: 0.7, -, 11.4% elo% vs. random_no_suicide, avg. reward: 0.403, 1.350 sec/game, 1.3 min. total, 441.0 MB
goofball_resource v3 72 games, 51955 moves, e=0.949, loss: 0.8, -, 11.2% elo% vs. random_no_suicide, avg. reward: 0.405, 1.340 sec/game, 1.3 min. total, 441.1 MB
goofball_resource v3 73 games, 52657 moves, e=0.948, loss: 0.8, -, 11.0% elo% vs. random_no_suicide, avg. reward: 0.403, 1.348 sec/game, 1.3 min. total, 441.0 MB
goofball_resource v3 74 games, 53368 moves, e=0.947, loss: 0.8, -, 10.8% elo% vs. random_no_suicide, avg. reward: 0.406, 1.339 sec/game, 1.4 min. total, 441.4 MB
goofball_resource v3 75 games, 54110 moves, e=0.946, loss: 0.8, -, 10.6% elo% vs. random_no_suicide, avg. reward: 0.405, 1.337 sec/game, 1.4 min. total, 440.9 MB
goofball_resource v3 76 games, 54876 moves, e=0.946, loss: 0.7, -, 10.4% elo% vs. random_no_suicide, avg. reward: 0.403, 1.346 sec/game, 1.4 min. total, 441.7 MB
