stack_squall v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.2 MB
stack_squall v2 67 games, 46449 moves, e=0.954, loss: 74.2, -, 19.1% elo% vs. v1, avg. reward: -3.776, 1.480 sec/game, 1.3 min. total, 488.0 MB
stack_squall v2 68 games, 47190 moves, e=0.953, loss: 79.2, -, 18.6% elo% vs. v1, avg. reward: -3.815, 1.484 sec/game, 1.3 min. total, 486.1 MB
stack_squall v2 69 games, 48004 moves, e=0.952, loss: 89.3, -, 18.1% elo% vs. v1, avg. reward: -3.803, 1.511 sec/game, 1.4 min. total, 488.0 MB
stack_squall v2 70 games, 48735 moves, e=0.952, loss: 84.8, -, 17.6% elo% vs. v1, avg. reward: -3.780, 1.504 sec/game, 1.4 min. total, 488.0 MB
stack_squall v2 71 games, 49410 moves, e=0.951, loss: 83.8, -, 17.1% elo% vs. v1, avg. reward: -3.797, 1.512 sec/game, 1.4 min. total, 488.1 MB
stack_squall v2 72 games, 50051 moves, e=0.950, loss: 92.5, -, 16.7% elo% vs. v1, avg. reward: -3.829, 1.502 sec/game, 1.4 min. total, 488.3 MB
stack_squall v2 73 games, 50849 moves, e=0.950, loss: 90.0, -, 16.2% elo% vs. v1, avg. reward: -3.794, 1.518 sec/game, 1.5 min. total, 488.6 MB
stack_squall v2 74 games, 51464 moves, e=0.949, loss: 87.7, -, 15.8% elo% vs. v1, avg. reward: -3.811, 1.494 sec/game, 1.5 min. total, 490.1 MB
stack_squall v2 75 games, 52228 moves, e=0.948, loss: 91.9, -, 15.5% elo% vs. v1, avg. reward: -3.815, 1.494 sec/game, 1.5 min. total, 492.5 MB
stack_squall v2 76 games, 52874 moves, e=0.948, loss: 90.3, -, 15.1% elo% vs. v1, avg. reward: -3.805, 1.487 sec/game, 1.5 min. total, 492.2 MB
stack_squall v2 77 games, 53666 moves, e=0.947, loss: 94.5, -, 14.7% elo% vs. v1, avg. reward: -3.763, 1.504 sec/game, 1.6 min. total, 492.3 MB
stack_squall v2 78 games, 54400 moves, e=0.946, loss: 94.5, +, 16.8% elo% vs. v1, avg. reward: -3.755, 1.513 sec/game, 1.6 min. total, 492.3 MB
stack_squall v2 79 games, 55177 moves, e=0.945, loss: 89.8, -, 16.4% elo% vs. v1, avg. reward: -3.761, 1.526 sec/game, 1.6 min. total, 492.2 MB
stack_squall v2 80 games, 55940 moves, e=0.945, loss: 95.0, -, 16.0% elo% vs. v1, avg. reward: -3.729, 1.529 sec/game, 1.6 min. total, 492.3 MB
stack_squall v2 81 games, 56538 moves, e=0.944, loss: 97.2, -, 15.6% elo% vs. v1, avg. reward: -3.742, 1.528 sec/game, 1.7 min. total, 492.6 MB
stack_squall v2 82 games, 57254 moves, e=0.943, loss: 94.7, -, 15.2% elo% vs. v1, avg. reward: -3.750, 1.528 sec/game, 1.7 min. total, 492.5 MB
stack_squall v2 83 games, 57938 moves, e=0.943, loss: 105.9, -, 14.9% elo% vs. v1, avg. reward: -3.793, 1.528 sec/game, 1.7 min. total, 492.5 MB
stack_squall v2 84 games, 58702 moves, e=0.942, loss: 103.5, -, 14.5% elo% vs. v1, avg. reward: -3.788, 1.523 sec/game, 1.7 min. total, 494.5 MB
stack_squall v2 85 games, 59412 moves, e=0.941, loss: 98.0, -, 14.2% elo% vs. v1, avg. reward: -3.780, 1.498 sec/game, 1.8 min. total, 494.5 MB
stack_squall v2 86 games, 60160 moves, e=0.940, loss: 102.1, -, 13.9% elo% vs. v1, avg. reward: -3.753, 1.510 sec/game, 1.8 min. total, 494.4 MB
stack_squall v2 87 games, 60933 moves, e=0.940, loss: 100.1, -, 13.6% elo% vs. v1, avg. reward: -3.763, 1.531 sec/game, 1.8 min. total, 494.6 MB
stack_squall v2 88 games, 61718 moves, e=0.939, loss: 97.5, -, 13.3% elo% vs. v1, avg. reward: -3.753, 1.535 sec/game, 1.8 min. total, 494.5 MB
stack_squall v2 89 games, 62430 moves, e=0.938, loss: 97.6, -, 13.0% elo% vs. v1, avg. reward: -3.790, 1.515 sec/game, 1.9 min. total, 494.6 MB
stack_squall v2 90 games, 63136 moves, e=0.937, loss: 108.4, -, 12.7% elo% vs. v1, avg. reward: -3.811, 1.525 sec/game, 1.9 min. total, 494.6 MB
stack_squall v2 91 games, 63874 moves, e=0.937, loss: 112.6, -, 12.5% elo% vs. v1, avg. reward: -3.764, 1.532 sec/game, 1.9 min. total, 495.4 MB
stack_squall v2 92 games, 64624 moves, e=0.936, loss: 115.8, -, 12.2% elo% vs. v1, avg. reward: -3.749, 1.531 sec/game, 1.9 min. total, 497.0 MB
stack_squall v2 93 games, 65420 moves, e=0.935, loss: 113.9, -, 12.0% elo% vs. v1, avg. reward: -3.726, 1.549 sec/game, 2.0 min. total, 497.1 MB
stack_squall v2 94 games, 66131 moves, e=0.935, loss: 114.5, -, 11.8% elo% vs. v1, avg. reward: -3.704, 1.564 sec/game, 2.0 min. total, 495.1 MB
stack_squall v2 95 games, 66911 moves, e=0.934, loss: 111.1, -, 11.5% elo% vs. v1, avg. reward: -3.690, 1.576 sec/game, 2.0 min. total, 497.2 MB
