fifth_squid v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
fifth_squid v2 47 games, 32151 moves, e=0.968, loss: 239.4, +, 64.6% elo% vs. guard_bot, avg. reward: 14.263, 1.269 sec/game, 0.8 min. total, 441.0 MB
fifth_squid v2 48 games, 32870 moves, e=0.967, loss: 248.2, +, 66.1% elo% vs. guard_bot, avg. reward: 14.247, 1.271 sec/game, 0.8 min. total, 440.6 MB
fifth_squid v2 49 games, 33662 moves, e=0.967, loss: 256.4, +, 67.5% elo% vs. guard_bot, avg. reward: 14.238, 1.274 sec/game, 0.8 min. total, 440.2 MB
fifth_squid v2 50 games, 34406 moves, e=0.966, loss: 272.2, ., 66.7% elo% vs. guard_bot, avg. reward: 14.231, 1.288 sec/game, 0.8 min. total, 440.8 MB
fifth_squid v2 51 games, 35144 moves, e=0.965, loss: 290.2, +, 68.1% elo% vs. guard_bot, avg. reward: 14.247, 1.288 sec/game, 0.9 min. total, 440.7 MB
fifth_squid v2 52 games, 35843 moves, e=0.965, loss: 309.6, +, 69.4% elo% vs. guard_bot, avg. reward: 14.220, 1.289 sec/game, 0.9 min. total, 440.7 MB
fifth_squid v2 53 games, 36646 moves, e=0.964, loss: 308.7, +, 70.5% elo% vs. guard_bot, avg. reward: 14.199, 1.295 sec/game, 0.9 min. total, 440.8 MB
fifth_squid v3 54 games, 37381 moves, e=0.963, loss: 305.3, -, 49.9% elo% vs. random_no_suicide, avg. reward: 14.227, 1.307 sec/game, 0.9 min. total, 440.9 MB
fifth_squid v3 55 games, 38103 moves, e=0.962, loss: 315.2, -, 47.6% elo% vs. random_no_suicide, avg. reward: 14.217, 1.307 sec/game, 0.9 min. total, 440.9 MB
fifth_squid v3 56 games, 38764 moves, e=0.962, loss: 334.4, -, 45.4% elo% vs. random_no_suicide, avg. reward: 14.215, 1.303 sec/game, 1.0 min. total, 442.1 MB
