fifth_squid v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
fifth_squid v3 861 games, 831805 moves, e=0.177, loss: 345.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.839, 2.797 sec/game, 28.4 min. total, 689.7 MB
fifth_squid v3 862 games, 833258 moves, e=0.175, loss: 344.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.835, 2.798 sec/game, 28.4 min. total, 689.8 MB
fifth_squid v3 863 games, 834680 moves, e=0.174, loss: 350.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.852, 2.812 sec/game, 28.4 min. total, 689.9 MB
fifth_squid v3 864 games, 836004 moves, e=0.172, loss: 355.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.864, 2.831 sec/game, 28.5 min. total, 690.8 MB
fifth_squid v3 865 games, 837589 moves, e=0.171, loss: 342.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.868, 2.864 sec/game, 28.5 min. total, 690.9 MB
fifth_squid v3 866 games, 838984 moves, e=0.169, loss: 345.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.876, 2.874 sec/game, 28.6 min. total, 690.7 MB
fifth_squid v3 867 games, 840306 moves, e=0.168, loss: 343.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.858, 2.863 sec/game, 28.6 min. total, 691.7 MB
fifth_squid v3 868 games, 841762 moves, e=0.167, loss: 357.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.856, 2.894 sec/game, 28.7 min. total, 691.3 MB
fifth_squid v3 869 games, 843424 moves, e=0.165, loss: 348.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.855, 2.912 sec/game, 28.7 min. total, 691.8 MB
fifth_squid v3 870 games, 844633 moves, e=0.164, loss: 345.6, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.845, 2.882 sec/game, 28.8 min. total, 692.9 MB
fifth_squid v3 871 games, 845812 moves, e=0.163, loss: 345.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.839, 2.896 sec/game, 28.8 min. total, 693.7 MB
fifth_squid v3 872 games, 847141 moves, e=0.161, loss: 353.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.824, 2.888 sec/game, 28.9 min. total, 693.3 MB
fifth_squid v3 873 games, 848619 moves, e=0.160, loss: 348.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.813, 2.889 sec/game, 28.9 min. total, 693.1 MB
fifth_squid v3 874 games, 850054 moves, e=0.158, loss: 322.6, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.814, 2.897 sec/game, 29.0 min. total, 693.7 MB
fifth_squid v3 875 games, 851598 moves, e=0.157, loss: 311.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.805, 2.889 sec/game, 29.0 min. total, 693.0 MB
fifth_squid v3 876 games, 852898 moves, e=0.156, loss: 312.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.805, 2.878 sec/game, 29.1 min. total, 693.4 MB
fifth_squid v3 877 games, 854186 moves, e=0.154, loss: 304.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.794, 2.860 sec/game, 29.1 min. total, 694.6 MB
fifth_squid v3 878 games, 855726 moves, e=0.153, loss: 303.0, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.788, 2.858 sec/game, 29.2 min. total, 695.4 MB
fifth_squid v3 879 games, 857000 moves, e=0.152, loss: 286.6, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.776, 2.871 sec/game, 29.2 min. total, 695.5 MB
fifth_squid v3 880 games, 858317 moves, e=0.150, loss: 279.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.781, 2.873 sec/game, 29.3 min. total, 696.2 MB
fifth_squid v3 881 games, 859741 moves, e=0.149, loss: 277.0, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.770, 2.869 sec/game, 29.3 min. total, 696.5 MB
fifth_squid v3 882 games, 861229 moves, e=0.147, loss: 282.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.777, 2.876 sec/game, 29.4 min. total, 696.1 MB
fifth_squid v3 883 games, 862632 moves, e=0.146, loss: 288.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.764, 2.877 sec/game, 29.4 min. total, 696.2 MB
fifth_squid v3 884 games, 863849 moves, e=0.145, loss: 285.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.760, 2.858 sec/game, 29.4 min. total, 697.3 MB
fifth_squid v3 885 games, 865141 moves, e=0.144, loss: 288.4, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.761, 2.835 sec/game, 29.5 min. total, 699.2 MB
fifth_squid v3 886 games, 866434 moves, e=0.142, loss: 285.4, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.769, 2.846 sec/game, 29.5 min. total, 699.0 MB
fifth_squid v3 887 games, 867668 moves, e=0.141, loss: 295.6, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.760, 2.837 sec/game, 29.6 min. total, 699.1 MB
fifth_squid v3 888 games, 868864 moves, e=0.140, loss: 309.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.771, 2.824 sec/game, 29.6 min. total, 699.0 MB
fifth_squid v3 889 games, 870009 moves, e=0.139, loss: 325.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.767, 2.776 sec/game, 29.7 min. total, 699.3 MB
fifth_squid v3 890 games, 871362 moves, e=0.137, loss: 320.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.773, 2.798 sec/game, 29.7 min. total, 699.3 MB
fifth_squid v3 891 games, 872670 moves, e=0.136, loss: 319.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.762, 2.787 sec/game, 29.8 min. total, 700.2 MB
fifth_squid v3 892 games, 874121 moves, e=0.135, loss: 340.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.766, 2.799 sec/game, 29.8 min. total, 700.8 MB
fifth_squid v3 893 games, 875491 moves, e=0.133, loss: 342.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.770, 2.785 sec/game, 29.9 min. total, 702.6 MB
fifth_squid v3 894 games, 876827 moves, e=0.132, loss: 340.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.763, 2.781 sec/game, 29.9 min. total, 702.4 MB
fifth_squid v3 895 games, 878231 moves, e=0.131, loss: 327.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.783, 2.769 sec/game, 30.0 min. total, 703.3 MB
fifth_squid v3 896 games, 879828 moves, e=0.129, loss: 304.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.786, 2.796 sec/game, 30.0 min. total, 703.7 MB
fifth_squid v3 897 games, 881235 moves, e=0.128, loss: 309.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.789, 2.803 sec/game, 30.1 min. total, 703.5 MB
fifth_squid v3 898 games, 882581 moves, e=0.126, loss: 303.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.783, 2.795 sec/game, 30.1 min. total, 703.8 MB
fifth_squid v3 899 games, 883917 moves, e=0.125, loss: 302.0, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.778, 2.793 sec/game, 30.1 min. total, 704.4 MB
fifth_squid v3 900 games, 885327 moves, e=0.124, loss: 302.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.775, 2.802 sec/game, 30.2 min. total, 704.4 MB
fifth_squid v3 901 games, 886776 moves, e=0.122, loss: 295.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.772, 2.797 sec/game, 30.2 min. total, 704.7 MB
fifth_squid v3 902 games, 888140 moves, e=0.121, loss: 283.4, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.768, 2.789 sec/game, 30.3 min. total, 705.1 MB
fifth_squid v3 903 games, 889601 moves, e=0.119, loss: 286.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.767, 2.795 sec/game, 30.3 min. total, 705.8 MB
fifth_squid v3 904 games, 890895 moves, e=0.118, loss: 299.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.757, 2.808 sec/game, 30.4 min. total, 705.4 MB
fifth_squid v3 905 games, 892226 moves, e=0.117, loss: 301.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.763, 2.807 sec/game, 30.4 min. total, 705.7 MB
fifth_squid v3 906 games, 893419 moves, e=0.116, loss: 315.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.765, 2.773 sec/game, 30.5 min. total, 705.7 MB
fifth_squid v3 907 games, 894721 moves, e=0.114, loss: 321.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.768, 2.802 sec/game, 30.5 min. total, 706.0 MB
fifth_squid v3 908 games, 896037 moves, e=0.113, loss: 321.4, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.773, 2.796 sec/game, 30.6 min. total, 706.4 MB
fifth_squid v3 909 games, 897530 moves, e=0.111, loss: 302.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.778, 2.828 sec/game, 30.6 min. total, 708.0 MB
fifth_squid v3 910 games, 898729 moves, e=0.110, loss: 300.6, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.761, 2.818 sec/game, 30.7 min. total, 708.0 MB
fifth_squid v3 911 games, 900148 moves, e=0.109, loss: 316.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.761, 2.833 sec/game, 30.7 min. total, 708.7 MB
fifth_squid v3 912 games, 901729 moves, e=0.107, loss: 296.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.754, 2.834 sec/game, 30.8 min. total, 708.8 MB
fifth_squid v3 913 games, 903224 moves, e=0.106, loss: 286.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.742, 2.861 sec/game, 30.8 min. total, 708.2 MB
fifth_squid v3 914 games, 904563 moves, e=0.104, loss: 279.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.750, 2.849 sec/game, 30.9 min. total, 708.5 MB
fifth_squid v3 915 games, 906011 moves, e=0.103, loss: 261.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.737, 2.859 sec/game, 30.9 min. total, 709.1 MB
fifth_squid v3 916 games, 907498 moves, e=0.102, loss: 278.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.754, 2.847 sec/game, 31.0 min. total, 710.0 MB
fifth_squid v3 917 games, 908855 moves, e=0.100, loss: 280.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.746, 2.849 sec/game, 31.0 min. total, 711.5 MB
fifth_squid v3 918 games, 910213 moves, e=0.099, loss: 265.0, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.748, 2.851 sec/game, 31.1 min. total, 711.1 MB
fifth_squid v3 919 games, 911494 moves, e=0.098, loss: 283.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.753, 2.864 sec/game, 31.1 min. total, 711.2 MB
fifth_squid v3 920 games, 912729 moves, e=0.096, loss: 306.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.755, 2.844 sec/game, 31.1 min. total, 711.8 MB
fifth_squid v3 921 games, 914109 moves, e=0.095, loss: 320.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.751, 2.850 sec/game, 31.2 min. total, 711.2 MB
fifth_squid v3 922 games, 915414 moves, e=0.094, loss: 328.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.736, 2.840 sec/game, 31.2 min. total, 711.6 MB
fifth_squid v3 923 games, 916772 moves, e=0.092, loss: 345.0, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.741, 2.837 sec/game, 31.3 min. total, 711.9 MB
fifth_squid v3 924 games, 918099 moves, e=0.091, loss: 347.0, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.740, 2.836 sec/game, 31.3 min. total, 713.7 MB
fifth_squid v3 925 games, 919452 moves, e=0.090, loss: 337.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.735, 2.847 sec/game, 31.4 min. total, 714.1 MB
fifth_squid v3 926 games, 920926 moves, e=0.088, loss: 329.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.735, 2.870 sec/game, 31.4 min. total, 714.7 MB
fifth_squid v3 927 games, 922476 moves, e=0.087, loss: 310.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.728, 2.878 sec/game, 31.5 min. total, 714.0 MB
fifth_squid v3 928 games, 924051 moves, e=0.085, loss: 304.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.722, 2.909 sec/game, 31.5 min. total, 714.2 MB
fifth_squid v3 929 games, 925578 moves, e=0.084, loss: 309.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.734, 2.915 sec/game, 31.6 min. total, 714.7 MB
fifth_squid v3 930 games, 927228 moves, e=0.082, loss: 311.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.749, 2.940 sec/game, 31.6 min. total, 714.5 MB
fifth_squid v3 931 games, 929077 moves, e=0.080, loss: 306.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.737, 2.979 sec/game, 31.7 min. total, 715.5 MB
fifth_squid v3 932 games, 930381 moves, e=0.079, loss: 296.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.719, 2.957 sec/game, 31.7 min. total, 717.6 MB
fifth_squid v3 933 games, 932078 moves, e=0.077, loss: 283.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.721, 2.964 sec/game, 31.8 min. total, 718.0 MB
fifth_squid v3 934 games, 933610 moves, e=0.076, loss: 278.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.723, 2.983 sec/game, 31.9 min. total, 718.5 MB
fifth_squid v3 935 games, 935228 moves, e=0.074, loss: 273.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.698, 2.992 sec/game, 31.9 min. total, 718.7 MB
fifth_squid v3 936 games, 936771 moves, e=0.073, loss: 286.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.696, 3.000 sec/game, 32.0 min. total, 719.1 MB
fifth_squid v3 937 games, 938200 moves, e=0.071, loss: 297.4, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.706, 2.998 sec/game, 32.0 min. total, 719.4 MB
fifth_squid v3 938 games, 939648 moves, e=0.070, loss: 282.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.707, 3.006 sec/game, 32.1 min. total, 719.3 MB
fifth_squid v3 939 games, 941050 moves, e=0.068, loss: 280.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.720, 2.994 sec/game, 32.1 min. total, 719.7 MB
fifth_squid v3 940 games, 942466 moves, e=0.067, loss: 287.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.729, 3.027 sec/game, 32.2 min. total, 720.1 MB
fifth_squid v3 941 games, 943853 moves, e=0.066, loss: 302.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.741, 3.016 sec/game, 32.2 min. total, 721.0 MB
fifth_squid v3 942 games, 945221 moves, e=0.064, loss: 325.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.738, 3.028 sec/game, 32.2 min. total, 720.8 MB
fifth_squid v3 943 games, 946592 moves, e=0.063, loss: 323.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.744, 3.025 sec/game, 32.3 min. total, 721.2 MB
fifth_squid v3 944 games, 947942 moves, e=0.062, loss: 338.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.746, 3.024 sec/game, 32.3 min. total, 721.2 MB
fifth_squid v3 945 games, 949301 moves, e=0.060, loss: 340.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.756, 3.027 sec/game, 32.4 min. total, 721.4 MB
fifth_squid v3 946 games, 950664 moves, e=0.059, loss: 361.9, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.764, 3.025 sec/game, 32.4 min. total, 721.5 MB
fifth_squid v3 947 games, 952076 moves, e=0.057, loss: 376.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.755, 3.010 sec/game, 32.5 min. total, 724.8 MB
fifth_squid v3 948 games, 953451 moves, e=0.056, loss: 376.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.758, 2.984 sec/game, 32.5 min. total, 724.3 MB
fifth_squid v3 949 games, 954857 moves, e=0.055, loss: 368.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.761, 2.976 sec/game, 32.6 min. total, 724.3 MB
fifth_squid v3 950 games, 956234 moves, e=0.053, loss: 371.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.760, 2.960 sec/game, 32.6 min. total, 724.6 MB
fifth_squid v3 951 games, 957441 moves, e=0.052, loss: 388.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.772, 2.905 sec/game, 32.7 min. total, 724.6 MB
fifth_squid v3 952 games, 958651 moves, e=0.051, loss: 367.4, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.772, 2.894 sec/game, 32.7 min. total, 725.0 MB
fifth_squid v3 953 games, 960008 moves, e=0.050, loss: 368.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.768, 2.868 sec/game, 32.8 min. total, 724.9 MB
fifth_squid v3 954 games, 961659 moves, e=0.048, loss: 351.3, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.762, 2.883 sec/game, 32.8 min. total, 726.1 MB
fifth_squid v3 955 games, 963344 moves, e=0.046, loss: 329.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.769, 2.906 sec/game, 32.9 min. total, 726.0 MB
fifth_squid v3 956 games, 964798 moves, e=0.045, loss: 313.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.763, 2.896 sec/game, 32.9 min. total, 726.3 MB
fifth_squid v3 957 games, 966498 moves, e=0.043, loss: 302.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.774, 2.931 sec/game, 33.0 min. total, 726.6 MB
fifth_squid v3 958 games, 967711 moves, e=0.042, loss: 293.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.770, 2.909 sec/game, 33.0 min. total, 726.8 MB
fifth_squid v3 959 games, 968966 moves, e=0.041, loss: 292.6, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.791, 2.908 sec/game, 33.1 min. total, 726.6 MB
fifth_squid v3 960 games, 970283 moves, e=0.039, loss: 303.7, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.779, 2.885 sec/game, 33.1 min. total, 726.8 MB
fifth_squid v3 961 games, 971594 moves, e=0.038, loss: 293.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.780, 2.877 sec/game, 33.2 min. total, 727.6 MB
fifth_squid v3 962 games, 973122 moves, e=0.037, loss: 284.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.778, 2.892 sec/game, 33.2 min. total, 729.7 MB
fifth_squid v3 963 games, 974564 moves, e=0.035, loss: 274.5, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.766, 2.894 sec/game, 33.3 min. total, 729.8 MB
fifth_squid v3 964 games, 975965 moves, e=0.034, loss: 283.6, -, 0.7% elo% vs. random_no_suicide, avg. reward: 11.765, 2.907 sec/game, 33.3 min. total, 729.8 MB
fifth_squid v3 965 games, 977602 moves, e=0.032, loss: 271.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.764, 2.930 sec/game, 33.4 min. total, 730.2 MB
fifth_squid v3 966 games, 979286 moves, e=0.031, loss: 267.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.765, 2.953 sec/game, 33.4 min. total, 730.1 MB
fifth_squid v3 967 games, 980787 moves, e=0.029, loss: 276.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.785, 2.962 sec/game, 33.5 min. total, 730.2 MB
fifth_squid v3 968 games, 982249 moves, e=0.028, loss: 274.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.790, 2.969 sec/game, 33.5 min. total, 730.2 MB
fifth_squid v3 969 games, 983742 moves, e=0.026, loss: 280.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.789, 2.977 sec/game, 33.6 min. total, 732.2 MB
fifth_squid v3 970 games, 985136 moves, e=0.025, loss: 268.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.799, 2.977 sec/game, 33.6 min. total, 733.0 MB
fifth_squid v3 971 games, 986652 moves, e=0.023, loss: 260.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.816, 3.000 sec/game, 33.7 min. total, 733.7 MB
fifth_squid v3 972 games, 988127 moves, e=0.022, loss: 280.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.824, 3.022 sec/game, 33.7 min. total, 734.0 MB
fifth_squid v3 973 games, 989536 moves, e=0.020, loss: 296.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.836, 3.028 sec/game, 33.8 min. total, 734.2 MB
fifth_squid v3 974 games, 990835 moves, e=0.019, loss: 282.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.845, 2.997 sec/game, 33.8 min. total, 734.1 MB
fifth_squid v3 975 games, 992267 moves, e=0.018, loss: 289.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.851, 2.964 sec/game, 33.9 min. total, 734.2 MB
fifth_squid v3 976 games, 993900 moves, e=0.016, loss: 294.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.863, 2.980 sec/game, 33.9 min. total, 734.7 MB
fifth_squid v3 977 games, 995403 moves, e=0.015, loss: 325.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.878, 2.957 sec/game, 34.0 min. total, 736.6 MB
fifth_squid v3 978 games, 996995 moves, e=0.013, loss: 344.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.878, 2.993 sec/game, 34.0 min. total, 736.7 MB
fifth_squid v3 979 games, 998432 moves, e=0.012, loss: 332.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.884, 3.010 sec/game, 34.1 min. total, 737.2 MB
fifth_squid v3 980 games, 999925 moves, e=0.010, loss: 312.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.884, 3.021 sec/game, 34.1 min. total, 737.0 MB
fifth_squid v3 981 games, 1001281 moves, e=0.010, loss: 271.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.880, 3.033 sec/game, 34.2 min. total, 737.3 MB
fifth_squid v3 982 games, 1002651 moves, e=0.010, loss: 245.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.885, 3.015 sec/game, 34.2 min. total, 737.3 MB
fifth_squid v3 983 games, 1004140 moves, e=0.010, loss: 241.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.882, 3.017 sec/game, 34.3 min. total, 736.9 MB
fifth_squid v3 984 games, 1005512 moves, e=0.010, loss: 234.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.876, 3.015 sec/game, 34.3 min. total, 738.1 MB
fifth_squid v3 985 games, 1006747 moves, e=0.010, loss: 226.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.876, 2.993 sec/game, 34.4 min. total, 738.8 MB
fifth_squid v3 986 games, 1008076 moves, e=0.010, loss: 231.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.864, 2.962 sec/game, 34.4 min. total, 738.6 MB
fifth_squid v3 987 games, 1009704 moves, e=0.010, loss: 241.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.883, 2.980 sec/game, 34.5 min. total, 738.8 MB
fifth_squid v3 988 games, 1011145 moves, e=0.010, loss: 255.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.890, 2.978 sec/game, 34.5 min. total, 738.4 MB
fifth_squid v3 989 games, 1012562 moves, e=0.010, loss: 265.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.896, 2.971 sec/game, 34.6 min. total, 738.9 MB
fifth_squid v3 990 games, 1013906 moves, e=0.010, loss: 286.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.896, 2.972 sec/game, 34.6 min. total, 739.4 MB
fifth_squid v3 991 games, 1015278 moves, e=0.010, loss: 280.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.904, 2.953 sec/game, 34.7 min. total, 740.2 MB
fifth_squid v3 992 games, 1016797 moves, e=0.010, loss: 273.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.914, 2.963 sec/game, 34.7 min. total, 741.5 MB
fifth_squid v3 993 games, 1018141 moves, e=0.010, loss: 278.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.914, 2.964 sec/game, 34.8 min. total, 742.4 MB
fifth_squid v3 994 games, 1019433 moves, e=0.010, loss: 280.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.906, 2.959 sec/game, 34.8 min. total, 741.9 MB
fifth_squid v3 995 games, 1020940 moves, e=0.010, loss: 254.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.897, 2.958 sec/game, 34.8 min. total, 742.6 MB
fifth_squid v3 996 games, 1022179 moves, e=0.010, loss: 240.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.893, 2.920 sec/game, 34.9 min. total, 742.4 MB
fifth_squid v3 997 games, 1023165 moves, e=0.010, loss: 228.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.845, 2.875 sec/game, 34.9 min. total, 743.3 MB
fifth_squid v3 998 games, 1024274 moves, e=0.010, loss: 229.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.828, 2.824 sec/game, 35.0 min. total, 743.4 MB
fifth_squid v3 999 games, 1025836 moves, e=0.010, loss: 209.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.812, 2.830 sec/game, 35.0 min. total, 743.8 MB
fifth_squid v3 1000 games, 1027304 moves, e=0.010, loss: 192.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.814, 2.857 sec/game, 35.1 min. total, 743.8 MB
fifth_squid v3 1001 games, 1028807 moves, e=0.010, loss: 178.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.829, 2.879 sec/game, 35.1 min. total, 744.4 MB
fifth_squid v3 1002 games, 1030220 moves, e=0.010, loss: 182.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.828, 2.896 sec/game, 35.2 min. total, 744.4 MB
fifth_squid v3 1003 games, 1031709 moves, e=0.010, loss: 205.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.837, 2.913 sec/game, 35.2 min. total, 744.0 MB
fifth_squid v3 1004 games, 1033183 moves, e=0.010, loss: 225.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.849, 2.930 sec/game, 35.3 min. total, 744.7 MB
fifth_squid v3 1005 games, 1034636 moves, e=0.010, loss: 241.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.841, 2.949 sec/game, 35.3 min. total, 745.5 MB
fifth_squid v3 1006 games, 1035902 moves, e=0.010, loss: 251.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.844, 2.947 sec/game, 35.4 min. total, 746.3 MB
fifth_squid v3 1007 games, 1037333 moves, e=0.010, loss: 283.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.848, 2.940 sec/game, 35.4 min. total, 747.0 MB
fifth_squid v3 1008 games, 1038680 moves, e=0.010, loss: 289.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.850, 2.942 sec/game, 35.5 min. total, 747.9 MB
fifth_squid v3 1009 games, 1039984 moves, e=0.010, loss: 297.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 11.857, 2.938 sec/game, 35.5 min. total, 747.8 MB
